commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getUrl() {     return url. }
false;public;1;3;;public void setUrl(String url) {     this.url = url. }
false;public;0;3;;public String getDatacenter() {     return datacenter. }
false;public;1;3;;public void setDatacenter(String datacenter) {     this.datacenter = datacenter. }
false;public;0;3;;public String getSslContextParameters() {     return sslContextParameters. }
false;public;1;3;;public void setSslContextParameters(String sslContextParameters) {     this.sslContextParameters = sslContextParameters. }
false;public;0;3;;public Boolean getUseGlobalSslContextParameters() {     return useGlobalSslContextParameters. }
false;public;1;4;;public void setUseGlobalSslContextParameters(Boolean useGlobalSslContextParameters) {     this.useGlobalSslContextParameters = useGlobalSslContextParameters. }
false;public;0;3;;public String getAclToken() {     return aclToken. }
false;public;1;3;;public void setAclToken(String aclToken) {     this.aclToken = aclToken. }
false;public;0;3;;public String getUserName() {     return userName. }
false;public;1;3;;public void setUserName(String userName) {     this.userName = userName. }
false;public;0;3;;public String getPassword() {     return password. }
false;public;1;3;;public void setPassword(String password) {     this.password = password. }
false;public;0;3;;public ConsulConfigurationNestedConfiguration getConfiguration() {     return configuration. }
false;public;1;4;;public void setConfiguration(ConsulConfigurationNestedConfiguration configuration) {     this.configuration = configuration. }
false;public;0;3;;public Boolean getResolvePropertyPlaceholders() {     return resolvePropertyPlaceholders. }
false;public;1;4;;public void setResolvePropertyPlaceholders(Boolean resolvePropertyPlaceholders) {     this.resolvePropertyPlaceholders = resolvePropertyPlaceholders. }
false;public;0;3;;public String getAction() {     return action. }
false;public;1;3;;public void setAction(String action) {     this.action = action. }
false;public;0;3;;public Boolean getValueAsString() {     return valueAsString. }
false;public;1;3;;public void setValueAsString(Boolean valueAsString) {     this.valueAsString = valueAsString. }
false;public;0;3;;public String getKey() {     return key. }
false;public;1;3;;public void setKey(String key) {     this.key = key. }
false;public;0;3;;public Consul getConsulClient() {     return consulClient. }
false;public;1;3;;public void setConsulClient(Consul consulClient) {     this.consulClient = consulClient. }
false;public;0;3;;public String getUrl() {     return url. }
false;public;1;3;;public void setUrl(String url) {     this.url = url. }
false;public;0;5;;@Deprecated @DeprecatedConfigurationProperty public String getDc() {     return dc. }
false;public;1;4;;@Deprecated public void setDc(String dc) {     this.dc = dc. }
false;public;0;3;;public String getDatacenter() {     return datacenter. }
false;public;1;3;;public void setDatacenter(String datacenter) {     this.datacenter = datacenter. }
false;public;0;3;;public String getNearNode() {     return nearNode. }
false;public;1;3;;public void setNearNode(String nearNode) {     this.nearNode = nearNode. }
false;public;0;3;;public List getNodeMeta() {     return nodeMeta. }
false;public;1;3;;public void setNodeMeta(List nodeMeta) {     this.nodeMeta = nodeMeta. }
false;public;0;3;;public ConsistencyMode getConsistencyMode() {     return consistencyMode. }
false;public;1;3;;public void setConsistencyMode(ConsistencyMode consistencyMode) {     this.consistencyMode = consistencyMode. }
false;public;0;3;;public Set getTags() {     return tags. }
false;public;1;3;;public void setTags(Set tags) {     this.tags = tags. }
false;public;0;3;;public SSLContextParameters getSslContextParameters() {     return sslContextParameters. }
false;public;1;4;;public void setSslContextParameters(SSLContextParameters sslContextParameters) {     this.sslContextParameters = sslContextParameters. }
false;public;0;3;;public String getAclToken() {     return aclToken. }
false;public;1;3;;public void setAclToken(String aclToken) {     this.aclToken = aclToken. }
false;public;0;3;;public String getUserName() {     return userName. }
false;public;1;3;;public void setUserName(String userName) {     this.userName = userName. }
false;public;0;3;;public String getPassword() {     return password. }
false;public;1;3;;public void setPassword(String password) {     this.password = password. }
false;public;0;3;;public Long getConnectTimeoutMillis() {     return connectTimeoutMillis. }
false;public;1;3;;public void setConnectTimeoutMillis(Long connectTimeoutMillis) {     this.connectTimeoutMillis = connectTimeoutMillis. }
false;public;0;3;;public Long getReadTimeoutMillis() {     return readTimeoutMillis. }
false;public;1;3;;public void setReadTimeoutMillis(Long readTimeoutMillis) {     this.readTimeoutMillis = readTimeoutMillis. }
false;public;0;3;;public Long getWriteTimeoutMillis() {     return writeTimeoutMillis. }
false;public;1;3;;public void setWriteTimeoutMillis(Long writeTimeoutMillis) {     this.writeTimeoutMillis = writeTimeoutMillis. }
false;public;0;3;;public Boolean getPingInstance() {     return pingInstance. }
false;public;1;3;;public void setPingInstance(Boolean pingInstance) {     this.pingInstance = pingInstance. }
false;public;0;3;;public Integer getBlockSeconds() {     return blockSeconds. }
false;public;1;3;;public void setBlockSeconds(Integer blockSeconds) {     this.blockSeconds = blockSeconds. }
false;public;0;3;;public BigInteger getFirstIndex() {     return firstIndex. }
false;public;1;3;;public void setFirstIndex(BigInteger firstIndex) {     this.firstIndex = firstIndex. }
false;public;0;3;;public Boolean getRecursive() {     return recursive. }
false;public;1;3;;public void setRecursive(Boolean recursive) {     this.recursive = recursive. }
