# id;timestamp;commentText;codeText;commentWords;codeWords
FlinkUntypedActor -> abstract protected UUID getLeaderSessionID()_;1441011751;Returns the current leader session ID associcated with this actor._@return;abstract protected UUID getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;abstract,protected,uuid,get,leader,session,id
FlinkUntypedActor -> abstract protected UUID getLeaderSessionID()_;1459248687;Returns the current leader session ID associcated with this actor._@return;abstract protected UUID getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;abstract,protected,uuid,get,leader,session,id
FlinkUntypedActor -> abstract protected UUID getLeaderSessionID()_;1480585463;Returns the current leader session ID associcated with this actor._@return;abstract protected UUID getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;abstract,protected,uuid,get,leader,session,id
FlinkUntypedActor -> abstract protected UUID getLeaderSessionID()_;1490174800;Returns the current leader session ID associcated with this actor._@return;abstract protected UUID getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;abstract,protected,uuid,get,leader,session,id
FlinkUntypedActor -> protected abstract Option<UUID> getLeaderSessionID()_;1437665997;Returns the current leader session ID associcated with this actor._@return;protected abstract Option<UUID> getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;protected,abstract,option,uuid,get,leader,session,id
FlinkUntypedActor -> protected abstract Option<UUID> getLeaderSessionID()_;1439993791;Returns the current leader session ID associcated with this actor._@return;protected abstract Option<UUID> getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;protected,abstract,option,uuid,get,leader,session,id
FlinkUntypedActor -> protected abstract Option<UUID> getLeaderSessionID()_;1440951699;Returns the current leader session ID associcated with this actor._@return;protected abstract Option<UUID> getLeaderSessionID()_;returns,the,current,leader,session,id,associcated,with,this,actor,return;protected,abstract,option,uuid,get,leader,session,id
FlinkUntypedActor -> protected abstract void handleMessage(Object message) throws Exception_;1437665997;This method contains the actor logic which defines how to react to incoming messages.__@param message Incoming message_@throws Exception;protected abstract void handleMessage(Object message) throws Exception_;this,method,contains,the,actor,logic,which,defines,how,to,react,to,incoming,messages,param,message,incoming,message,throws,exception;protected,abstract,void,handle,message,object,message,throws,exception
FlinkUntypedActor -> protected abstract void handleMessage(Object message) throws Exception_;1439993791;This method contains the actor logic which defines how to react to incoming messages.__@param message Incoming message_@throws Exception;protected abstract void handleMessage(Object message) throws Exception_;this,method,contains,the,actor,logic,which,defines,how,to,react,to,incoming,messages,param,message,incoming,message,throws,exception;protected,abstract,void,handle,message,object,message,throws,exception
FlinkUntypedActor -> protected abstract void handleMessage(Object message) throws Exception_;1440951699;This method contains the actor logic which defines how to react to incoming messages.__@param message Incoming message_@throws Exception;protected abstract void handleMessage(Object message) throws Exception_;this,method,contains,the,actor,logic,which,defines,how,to,react,to,incoming,messages,param,message,incoming,message,throws,exception;protected,abstract,void,handle,message,object,message,throws,exception
FlinkUntypedActor -> protected abstract void handleMessage(Object message) throws Exception_;1441011751;This method contains the actor logic which defines how to react to incoming messages.__@param message Incoming message_@throws Exception;protected abstract void handleMessage(Object message) throws Exception_;this,method,contains,the,actor,logic,which,defines,how,to,react,to,incoming,messages,param,message,incoming,message,throws,exception;protected,abstract,void,handle,message,object,message,throws,exception
FlinkUntypedActor -> protected abstract void handleMessage(Object message) throws Exception_;1459248687;This method contains the actor logic which defines how to react to incoming messages.__@param message Incoming message_@throws Exception;protected abstract void handleMessage(Object message) throws Exception_;this,method,contains,the,actor,logic,which,defines,how,to,react,to,incoming,messages,param,message,incoming,message,throws,exception;protected,abstract,void,handle,message,object,message,throws,exception
