commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getOperation() {     return operation. }
false;public;1;3;;public void setOperation(String operation) {     this.operation = operation. }
false;public;0;3;;public String getUsername() {     return username. }
false;public;1;3;;public void setUsername(String username) {     this.username = username. }
false;public;0;3;;public String getPassword() {     return password. }
false;public;1;3;;public void setPassword(String password) {     this.password = password. }
false;public;0;3;;public String getHost() {     return host. }
false;public;1;3;;public void setHost(String host) {     this.host = host. }
false;public;0;3;;public int getPort() {     return port. }
false;public;1;3;;public void setPort(int port) {     this.port = port. }
false;public;0;3;;public boolean isProcessSnapshot() {     return processSnapshot. }
false;public;1;3;;public void setProcessSnapshot(boolean processSnapshot) {     this.processSnapshot = processSnapshot. }
false;public;0;3;;public Class<FlowLogic<?>> getFlowLociClass() {     return flowLociClass. }
false;public;1;3;;public void setFlowLociClass(Class<FlowLogic<?>> flowLociClass) {     this.flowLociClass = flowLociClass. }
false;public;0;3;;public Object[] getArguments() {     return arguments. }
false;public;1;3;;public void setArguments(Object[] arguments) {     this.arguments = arguments. }
false;public;0;3;;public Class<ContractState> getContractStateClass() {     return contractStateClass. }
false;public;1;3;;public void setContractStateClass(Class<ContractState> contractStateClass) {     this.contractStateClass = contractStateClass. }
false;public;0;3;;public QueryCriteria getQueryCriteria() {     return queryCriteria. }
false;public;1;3;;public void setQueryCriteria(QueryCriteria queryCriteria) {     this.queryCriteria = queryCriteria. }
false;public;0;3;;public PageSpecification getPageSpecification() {     return pageSpecification. }
false;public;1;3;;public void setPageSpecification(PageSpecification pageSpecification) {     this.pageSpecification = pageSpecification. }
false;public;0;3;;public Sort getSort() {     return sort. }
false;public;1;3;;public void setSort(Sort sort) {     this.sort = sort. }
false;public;0;7;;public CordaConfiguration copy() {     try {         return (CordaConfiguration) super.clone().     } catch (CloneNotSupportedException e) {         throw new RuntimeCamelException(e).     } }
