commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getUris() {     return uris. }
false;public;1;3;;public void setUris(String uris) {     this.uris = uris. }
false;public;0;3;;public String getUserName() {     return userName. }
false;public;1;3;;public void setUserName(String userName) {     this.userName = userName. }
false;public;0;3;;public String getPassword() {     return password. }
false;public;1;3;;public void setPassword(String password) {     this.password = password. }
false;public;0;3;;public Long getTimeout() {     return timeout. }
false;public;1;3;;public void setTimeout(Long timeout) {     this.timeout = timeout. }
false;public;0;3;;public String getServicePath() {     return servicePath. }
false;public;1;3;;public void setServicePath(String servicePath) {     this.servicePath = servicePath. }
false;public;0;3;;public String getType() {     return type. }
false;public;1;3;;public void setType(String type) {     this.type = type. }
false;public;0;3;;public Map<String, String> getProperties() {     return properties. }
false;public;1;3;;public void setProperties(Map<String, String> properties) {     this.properties = properties. }
