# id;timestamp;commentText;codeText;commentWords;codeWords
DelegatedAuthorizationSupport -> public boolean hasDelegation();1535723122;Are there any realms configured for delegated lookup;public boolean hasDelegation() {_        return this.lookup.hasRealms()__    };are,there,any,realms,configured,for,delegated,lookup;public,boolean,has,delegation,return,this,lookup,has,realms
DelegatedAuthorizationSupport -> public boolean hasDelegation();1540847035;Are there any realms configured for delegated lookup;public boolean hasDelegation() {_        return this.lookup.hasRealms()__    };are,there,any,realms,configured,for,delegated,lookup;public,boolean,has,delegation,return,this,lookup,has,realms
DelegatedAuthorizationSupport -> public boolean hasDelegation();1541476610;Are there any realms configured for delegated lookup;public boolean hasDelegation() {_        return this.lookup.hasRealms()__    };are,there,any,realms,configured,for,delegated,lookup;public,boolean,has,delegation,return,this,lookup,has,realms
DelegatedAuthorizationSupport -> public boolean hasDelegation();1541642262;Are there any realms configured for delegated lookup;public boolean hasDelegation() {_        return this.lookup.hasRealms()__    };are,there,any,realms,configured,for,delegated,lookup;public,boolean,has,delegation,return,this,lookup,has,realms
DelegatedAuthorizationSupport -> public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState);1535723122;Resolves the {@link DelegatedAuthorizationSettings#AUTHZ_REALMS} setting from {@code config} and calls_{@link #DelegatedAuthorizationSupport(Iterable, List, Settings, ThreadContext, XPackLicenseState)};public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState) {_        this(allRealms, DelegatedAuthorizationSettings.AUTHZ_REALMS.get(config.settings()), config.globalSettings(), config.threadContext(),_            licenseState)__    };resolves,the,link,delegated,authorization,settings,setting,from,code,config,and,calls,link,delegated,authorization,support,iterable,list,settings,thread,context,xpack,license,state;public,delegated,authorization,support,iterable,extends,realm,all,realms,realm,config,config,xpack,license,state,license,state,this,all,realms,delegated,authorization,settings,get,config,settings,config,global,settings,config,thread,context,license,state
DelegatedAuthorizationSupport -> public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState);1540847035;Resolves the {@link DelegatedAuthorizationSettings#AUTHZ_REALMS} setting from {@code config} and calls_{@link #DelegatedAuthorizationSupport(Iterable, List, Settings, ThreadContext, XPackLicenseState)};public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState) {_        this(allRealms, DelegatedAuthorizationSettings.AUTHZ_REALMS.get(config.settings()), config.globalSettings(), config.threadContext(),_            licenseState)__    };resolves,the,link,delegated,authorization,settings,setting,from,code,config,and,calls,link,delegated,authorization,support,iterable,list,settings,thread,context,xpack,license,state;public,delegated,authorization,support,iterable,extends,realm,all,realms,realm,config,config,xpack,license,state,license,state,this,all,realms,delegated,authorization,settings,get,config,settings,config,global,settings,config,thread,context,license,state
DelegatedAuthorizationSupport -> public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState);1541476610;Resolves the {@link DelegatedAuthorizationSettings#AUTHZ_REALMS} setting from {@code config} and calls_{@link #DelegatedAuthorizationSupport(Iterable, List, Settings, ThreadContext, XPackLicenseState)};public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState) {_        this(allRealms, config.getSetting(AUTHZ_REALMS), config.globalSettings(), config.threadContext(),_            licenseState)__    };resolves,the,link,delegated,authorization,settings,setting,from,code,config,and,calls,link,delegated,authorization,support,iterable,list,settings,thread,context,xpack,license,state;public,delegated,authorization,support,iterable,extends,realm,all,realms,realm,config,config,xpack,license,state,license,state,this,all,realms,config,get,setting,config,global,settings,config,thread,context,license,state
DelegatedAuthorizationSupport -> public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState);1541642262;Resolves the {@link DelegatedAuthorizationSettings#AUTHZ_REALMS} setting from {@code config} and calls_{@link #DelegatedAuthorizationSupport(Iterable, List, Settings, ThreadContext, XPackLicenseState)};public DelegatedAuthorizationSupport(Iterable<? extends Realm> allRealms, RealmConfig config, XPackLicenseState licenseState) {_        this(allRealms, config.getSetting(AUTHZ_REALMS), config.settings(), config.threadContext(),_            licenseState)__    };resolves,the,link,delegated,authorization,settings,setting,from,code,config,and,calls,link,delegated,authorization,support,iterable,list,settings,thread,context,xpack,license,state;public,delegated,authorization,support,iterable,extends,realm,all,realms,realm,config,config,xpack,license,state,license,state,this,all,realms,config,get,setting,config,settings,config,thread,context,license,state
DelegatedAuthorizationSupport -> private void checkForRealmChains(Iterable<Realm> delegatedRealms, Settings globalSettings);1535723122;Checks for (and rejects) chains of delegation in the provided realms._A chain occurs when "realmA" delegates authorization to "realmB", and realmB also delegates authorization (to any realm)._Since "realmB" does not handle its own authorization, it is not a valid target for delegated authorization._@param delegatedRealms The list of realms that are going to be used for authorization. If is an error if any of these realms are_also configured to delegate their authorization._@throws IllegalArgumentException if a chain is detected;private void checkForRealmChains(Iterable<Realm> delegatedRealms, Settings globalSettings) {_        final Map<String, Settings> settingsByRealm = RealmSettings.getRealmSettings(globalSettings)__        for (Realm realm : delegatedRealms) {_            final Settings realmSettings = settingsByRealm.get(realm.name())__            if (realmSettings != null && DelegatedAuthorizationSettings.AUTHZ_REALMS.exists(realmSettings)) {_                throw new IllegalArgumentException("cannot use realm [" + realm +_                    "] as an authorization realm - it is already delegating authorization to [" +_                    DelegatedAuthorizationSettings.AUTHZ_REALMS.get(realmSettings) + "]")__            }_        }_    };checks,for,and,rejects,chains,of,delegation,in,the,provided,realms,a,chain,occurs,when,realm,a,delegates,authorization,to,realm,b,and,realm,b,also,delegates,authorization,to,any,realm,since,realm,b,does,not,handle,its,own,authorization,it,is,not,a,valid,target,for,delegated,authorization,param,delegated,realms,the,list,of,realms,that,are,going,to,be,used,for,authorization,if,is,an,error,if,any,of,these,realms,are,also,configured,to,delegate,their,authorization,throws,illegal,argument,exception,if,a,chain,is,detected;private,void,check,for,realm,chains,iterable,realm,delegated,realms,settings,global,settings,final,map,string,settings,settings,by,realm,realm,settings,get,realm,settings,global,settings,for,realm,realm,delegated,realms,final,settings,realm,settings,settings,by,realm,get,realm,name,if,realm,settings,null,delegated,authorization,settings,exists,realm,settings,throw,new,illegal,argument,exception,cannot,use,realm,realm,as,an,authorization,realm,it,is,already,delegating,authorization,to,delegated,authorization,settings,get,realm,settings
DelegatedAuthorizationSupport -> private void checkForRealmChains(Iterable<Realm> delegatedRealms, Settings globalSettings);1540847035;Checks for (and rejects) chains of delegation in the provided realms._A chain occurs when "realmA" delegates authorization to "realmB", and realmB also delegates authorization (to any realm)._Since "realmB" does not handle its own authorization, it is not a valid target for delegated authorization._@param delegatedRealms The list of realms that are going to be used for authorization. If is an error if any of these realms are_also configured to delegate their authorization._@throws IllegalArgumentException if a chain is detected;private void checkForRealmChains(Iterable<Realm> delegatedRealms, Settings globalSettings) {_        final Map<String, Settings> settingsByRealm = RealmSettings.getRealmSettings(globalSettings)__        for (Realm realm : delegatedRealms) {_            final Settings realmSettings = settingsByRealm.get(realm.name())__            if (realmSettings != null && DelegatedAuthorizationSettings.AUTHZ_REALMS.exists(realmSettings)) {_                throw new IllegalArgumentException("cannot use realm [" + realm +_                    "] as an authorization realm - it is already delegating authorization to [" +_                    DelegatedAuthorizationSettings.AUTHZ_REALMS.get(realmSettings) + "]")__            }_        }_    };checks,for,and,rejects,chains,of,delegation,in,the,provided,realms,a,chain,occurs,when,realm,a,delegates,authorization,to,realm,b,and,realm,b,also,delegates,authorization,to,any,realm,since,realm,b,does,not,handle,its,own,authorization,it,is,not,a,valid,target,for,delegated,authorization,param,delegated,realms,the,list,of,realms,that,are,going,to,be,used,for,authorization,if,is,an,error,if,any,of,these,realms,are,also,configured,to,delegate,their,authorization,throws,illegal,argument,exception,if,a,chain,is,detected;private,void,check,for,realm,chains,iterable,realm,delegated,realms,settings,global,settings,final,map,string,settings,settings,by,realm,realm,settings,get,realm,settings,global,settings,for,realm,realm,delegated,realms,final,settings,realm,settings,settings,by,realm,get,realm,name,if,realm,settings,null,delegated,authorization,settings,exists,realm,settings,throw,new,illegal,argument,exception,cannot,use,realm,realm,as,an,authorization,realm,it,is,already,delegating,authorization,to,delegated,authorization,settings,get,realm,settings
DelegatedAuthorizationSupport -> private void checkForRealmChains(Iterable<Realm> delegatedRealms, Settings globalSettings);1541476610;Checks for (and rejects) chains of delegation in the provided realms._A chain occurs when "realmA" delegates authorization to "realmB", and realmB also delegates authorization (to any realm)._Since "realmB" does not handle its own authorization, it is not a valid target for delegated authorization._@param delegatedRealms The list of realms that are going to be used for authorization. If is an error if any of these realms are_also configured to delegate their authorization._@throws IllegalArgumentException if a chain is detected;private void checkForRealmChains(Iterable<Realm> delegatedRealms, Settings globalSettings) {_        for (Realm realm : delegatedRealms) {_            Setting<List<String>> realmAuthzSetting = AUTHZ_REALMS.apply(realm.type()).getConcreteSettingForNamespace(realm.name())__            if (realmAuthzSetting.exists(globalSettings)) {_                throw new IllegalArgumentException("cannot use realm [" + realm_                    + "] as an authorization realm - it is already delegating authorization to [" + realmAuthzSetting.get(globalSettings)_                    + "]")__            }_        }_    };checks,for,and,rejects,chains,of,delegation,in,the,provided,realms,a,chain,occurs,when,realm,a,delegates,authorization,to,realm,b,and,realm,b,also,delegates,authorization,to,any,realm,since,realm,b,does,not,handle,its,own,authorization,it,is,not,a,valid,target,for,delegated,authorization,param,delegated,realms,the,list,of,realms,that,are,going,to,be,used,for,authorization,if,is,an,error,if,any,of,these,realms,are,also,configured,to,delegate,their,authorization,throws,illegal,argument,exception,if,a,chain,is,detected;private,void,check,for,realm,chains,iterable,realm,delegated,realms,settings,global,settings,for,realm,realm,delegated,realms,setting,list,string,realm,authz,setting,apply,realm,type,get,concrete,setting,for,namespace,realm,name,if,realm,authz,setting,exists,global,settings,throw,new,illegal,argument,exception,cannot,use,realm,realm,as,an,authorization,realm,it,is,already,delegating,authorization,to,realm,authz,setting,get,global,settings
