# id;timestamp;commentText;codeText;commentWords;codeWords
Operator -> public TypeInformation<OUT> getResultType();1405024514;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1405090423;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1411399886;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1411473593;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1412007396;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1427097830;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1454679829;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1460563153;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1465304462;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1488304750;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1488304750;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1489671807;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1500970016;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public TypeInformation<OUT> getResultType();1514902843;Returns the type of the result of this operator.__@return The result type of the operator.;public TypeInformation<OUT> getResultType() {_		return getType()__	};returns,the,type,of,the,result,of,this,operator,return,the,result,type,of,the,operator;public,type,information,out,get,result,type,return,get,type
Operator -> public int getParallelism();1405024514;Returns the degree of parallelism of this operator.__@return The degree of parallelism of this operator.;public int getParallelism() {_		return this.dop__	};returns,the,degree,of,parallelism,of,this,operator,return,the,degree,of,parallelism,of,this,operator;public,int,get,parallelism,return,this,dop
Operator -> public int getParallelism();1405090423;Returns the degree of parallelism of this operator.__@return The degree of parallelism of this operator.;public int getParallelism() {_		return this.dop__	};returns,the,degree,of,parallelism,of,this,operator,return,the,degree,of,parallelism,of,this,operator;public,int,get,parallelism,return,this,dop
Operator -> public int getParallelism();1411399886;Returns the degree of parallelism of this operator.__@return The degree of parallelism of this operator.;public int getParallelism() {_		return this.dop__	};returns,the,degree,of,parallelism,of,this,operator,return,the,degree,of,parallelism,of,this,operator;public,int,get,parallelism,return,this,dop
Operator -> public int getParallelism();1411473593;Returns the degree of parallelism of this operator.__@return The degree of parallelism of this operator.;public int getParallelism() {_		return this.dop__	};returns,the,degree,of,parallelism,of,this,operator,return,the,degree,of,parallelism,of,this,operator;public,int,get,parallelism,return,this,dop
Operator -> public int getParallelism();1412007396;Returns the degree of parallelism of this operator.__@return The degree of parallelism of this operator.;public int getParallelism() {_		return this.dop__	};returns,the,degree,of,parallelism,of,this,operator,return,the,degree,of,parallelism,of,this,operator;public,int,get,parallelism,return,this,dop
Operator -> public int getParallelism();1427097830;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1454679829;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1460563153;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1465304462;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1488304750;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1488304750;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1489671807;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1500970016;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
Operator -> public int getParallelism();1514902843;Returns the parallelism of this operator.__@return The parallelism of this operator.;public int getParallelism() {_		return this.parallelism__	};returns,the,parallelism,of,this,operator,return,the,parallelism,of,this,operator;public,int,get,parallelism,return,this,parallelism
