# id;timestamp;commentText;codeText;commentWords;codeWords
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1494947249;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1495090293;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1495099662;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1495657626;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1496245714;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1497171758;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1498567133;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1500021711;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1503588494;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1503654807;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1507814432;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
SharedBuffer -> SharedBufferSerializerConfigSnapshot -> public SharedBufferSerializerConfigSnapshot();1512788114;This empty constructor is required for deserializing the configuration.;public SharedBufferSerializerConfigSnapshot() {};this,empty,constructor,is,required,for,deserializing,the,configuration;public,shared,buffer,serializer,config,snapshot
