commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public Filter getFilter() {     return this.filter. }
false;public;0;3;;public Servlet getServlet() {     return this.servlet. }
false;public;0;3;;public Type getType() {     return this.type. }
false;public;1;3;;public void setType(Type type) {     this.type = type. }
false;public;0;3;;public Map<String, String> getInit() {     return this.init. }
false;public;1;3;;public void setInit(Map<String, String> init) {     this.init = init. }
false;public;0;3;;public String getApplicationPath() {     return this.applicationPath. }
false;public;1;3;;public void setApplicationPath(String applicationPath) {     this.applicationPath = applicationPath. }
false;public;0;3;;public int getOrder() {     return this.order. }
false;public;1;3;;public void setOrder(int order) {     this.order = order. }
false;public;0;3;;public int getLoadOnStartup() {     return this.loadOnStartup. }
false;public;1;3;;public void setLoadOnStartup(int loadOnStartup) {     this.loadOnStartup = loadOnStartup. }
