# id;timestamp;commentText;codeText;commentWords;codeWords
GangliaComponent -> public void setMode(GMetric.UDPAddressingMode mode);1470118430;Send the UDP metric packets using MULTICAST or UNICAST_@param mode;public void setMode(GMetric.UDPAddressingMode mode) {_        configuration.setMode(mode)__    };send,the,udp,metric,packets,using,multicast,or,unicast,param,mode;public,void,set,mode,gmetric,udpaddressing,mode,mode,configuration,set,mode,mode
GangliaComponent -> public void setMode(GMetric.UDPAddressingMode mode);1470118430;Send the UDP metric packets using MULTICAST or UNICAST_@param mode;public void setMode(GMetric.UDPAddressingMode mode) {_        configuration.setMode(mode)__    };send,the,udp,metric,packets,using,multicast,or,unicast,param,mode;public,void,set,mode,gmetric,udpaddressing,mode,mode,configuration,set,mode,mode
GangliaComponent -> public void setSpoofHostname(String spoofHostname);1470118430;Spoofing information IP:hostname_@param spoofHostname;public void setSpoofHostname(String spoofHostname) {_        configuration.setSpoofHostname(spoofHostname)__    };spoofing,information,ip,hostname,param,spoof,hostname;public,void,set,spoof,hostname,string,spoof,hostname,configuration,set,spoof,hostname,spoof,hostname
GangliaComponent -> public void setSpoofHostname(String spoofHostname);1470118430;Spoofing information IP:hostname_@param spoofHostname;public void setSpoofHostname(String spoofHostname) {_        configuration.setSpoofHostname(spoofHostname)__    };spoofing,information,ip,hostname,param,spoof,hostname;public,void,set,spoof,hostname,string,spoof,hostname,configuration,set,spoof,hostname,spoof,hostname
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1429877603;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1470118430;To use the shared configuration. Properties of the shared configuration can also be set individually.;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration,properties,of,the,shared,configuration,can,also,be,set,individually;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1470118430;To use the shared configuration. Properties of the shared configuration can also be set individually.;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration,properties,of,the,shared,configuration,can,also,be,set,individually;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1474381874;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1482328198;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1540108158;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
GangliaComponent -> public void setConfiguration(GangliaConfiguration configuration);1540108163;To use the shared configuration;public void setConfiguration(GangliaConfiguration configuration) {_        this.configuration = configuration__    };to,use,the,shared,configuration;public,void,set,configuration,ganglia,configuration,configuration,this,configuration,configuration
