# id;timestamp;commentText;codeText;commentWords;codeWords
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1328020251;Throws a <code>UnsupportedOperationException</code>.__@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,a,code,unsupported,operation,exception,code,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1356735495;Throws a {@code UnsupportedOperationException}.__@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,a,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1362408075;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1385426434;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1395777538;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1398153432;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1495868221;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1496837955;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> @Override 	public void setHandler(ContentHandler handler);1500495740;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setHandler(ContentHandler handler) {_		throw new UnsupportedOperationException("setHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,handler,content,handler,handler,throw,new,unsupported,operation,exception,set,handler,is,not,supported
StaxResult -> XMLStreamWriter getXMLStreamWriter();1328020251;Returns the <code>XMLStreamWriter</code> used by this <code>StaxResult</code>. If this <code>StaxResult</code> was_created with an <code>XMLEventConsumer</code>, the result will be <code>null</code>.__@return the StAX stream writer used by this result_@see #StaxResult(javax.xml.stream.XMLStreamWriter);XMLStreamWriter getXMLStreamWriter() {_		return streamWriter__	};returns,the,code,xmlstream,writer,code,used,by,this,code,stax,result,code,if,this,code,stax,result,code,was,created,with,an,code,xmlevent,consumer,code,the,result,will,be,code,null,code,return,the,st,ax,stream,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlstream,writer;xmlstream,writer,get,xmlstream,writer,return,stream,writer
StaxResult -> XMLStreamWriter getXMLStreamWriter();1356735495;Returns the {@code XMLStreamWriter} used by this {@code StaxResult}. If this {@code StaxResult} was_created with an {@code XMLEventConsumer}, the result will be {@code null}.__@return the StAX stream writer used by this result_@see #StaxResult(javax.xml.stream.XMLStreamWriter);XMLStreamWriter getXMLStreamWriter() {_		return streamWriter__	};returns,the,code,xmlstream,writer,used,by,this,code,stax,result,if,this,code,stax,result,was,created,with,an,code,xmlevent,consumer,the,result,will,be,code,null,return,the,st,ax,stream,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlstream,writer;xmlstream,writer,get,xmlstream,writer,return,stream,writer
StaxResult -> XMLStreamWriter getXMLStreamWriter();1362408075;Return the {@code XMLStreamWriter} used by this {@code StaxResult}. If this {@code StaxResult}_was created with an {@code XMLEventConsumer}, the result will be {@code null}._@return the StAX stream writer used by this result_@see #StaxResult(javax.xml.stream.XMLStreamWriter);XMLStreamWriter getXMLStreamWriter() {_		return this.streamWriter__	};return,the,code,xmlstream,writer,used,by,this,code,stax,result,if,this,code,stax,result,was,created,with,an,code,xmlevent,consumer,the,result,will,be,code,null,return,the,st,ax,stream,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlstream,writer;xmlstream,writer,get,xmlstream,writer,return,this,stream,writer
StaxResult -> XMLStreamWriter getXMLStreamWriter();1385426434;Return the {@code XMLStreamWriter} used by this {@code StaxResult}. If this {@code StaxResult}_was created with an {@code XMLEventConsumer}, the result will be {@code null}._@return the StAX stream writer used by this result_@see #StaxResult(javax.xml.stream.XMLStreamWriter);XMLStreamWriter getXMLStreamWriter() {_		return this.streamWriter__	};return,the,code,xmlstream,writer,used,by,this,code,stax,result,if,this,code,stax,result,was,created,with,an,code,xmlevent,consumer,the,result,will,be,code,null,return,the,st,ax,stream,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlstream,writer;xmlstream,writer,get,xmlstream,writer,return,this,stream,writer
StaxResult -> XMLEventWriter getXMLEventWriter();1328020251;Returns the <code>XMLEventWriter</code> used by this <code>StaxResult</code>. If this <code>StaxResult</code> was_created with an <code>XMLStreamWriter</code>, the result will be <code>null</code>.__@return the StAX event writer used by this result_@see #StaxResult(javax.xml.stream.XMLEventWriter);XMLEventWriter getXMLEventWriter() {_		return eventWriter__	};returns,the,code,xmlevent,writer,code,used,by,this,code,stax,result,code,if,this,code,stax,result,code,was,created,with,an,code,xmlstream,writer,code,the,result,will,be,code,null,code,return,the,st,ax,event,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlevent,writer;xmlevent,writer,get,xmlevent,writer,return,event,writer
StaxResult -> XMLEventWriter getXMLEventWriter();1356735495;Returns the {@code XMLEventWriter} used by this {@code StaxResult}. If this {@code StaxResult} was_created with an {@code XMLStreamWriter}, the result will be {@code null}.__@return the StAX event writer used by this result_@see #StaxResult(javax.xml.stream.XMLEventWriter);XMLEventWriter getXMLEventWriter() {_		return eventWriter__	};returns,the,code,xmlevent,writer,used,by,this,code,stax,result,if,this,code,stax,result,was,created,with,an,code,xmlstream,writer,the,result,will,be,code,null,return,the,st,ax,event,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlevent,writer;xmlevent,writer,get,xmlevent,writer,return,event,writer
StaxResult -> XMLEventWriter getXMLEventWriter();1362408075;Return the {@code XMLEventWriter} used by this {@code StaxResult}. If this {@code StaxResult}_was created with an {@code XMLStreamWriter}, the result will be {@code null}._@return the StAX event writer used by this result_@see #StaxResult(javax.xml.stream.XMLEventWriter);XMLEventWriter getXMLEventWriter() {_		return this.eventWriter__	};return,the,code,xmlevent,writer,used,by,this,code,stax,result,if,this,code,stax,result,was,created,with,an,code,xmlstream,writer,the,result,will,be,code,null,return,the,st,ax,event,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlevent,writer;xmlevent,writer,get,xmlevent,writer,return,this,event,writer
StaxResult -> XMLEventWriter getXMLEventWriter();1385426434;Return the {@code XMLEventWriter} used by this {@code StaxResult}. If this {@code StaxResult}_was created with an {@code XMLStreamWriter}, the result will be {@code null}._@return the StAX event writer used by this result_@see #StaxResult(javax.xml.stream.XMLEventWriter);XMLEventWriter getXMLEventWriter() {_		return this.eventWriter__	};return,the,code,xmlevent,writer,used,by,this,code,stax,result,if,this,code,stax,result,was,created,with,an,code,xmlstream,writer,the,result,will,be,code,null,return,the,st,ax,event,writer,used,by,this,result,see,stax,result,javax,xml,stream,xmlevent,writer;xmlevent,writer,get,xmlevent,writer,return,this,event,writer
StaxResult -> @Override 	public void setLexicalHandler(LexicalHandler handler);1395777538;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setLexicalHandler(LexicalHandler handler) {_		throw new UnsupportedOperationException("setLexicalHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,lexical,handler,lexical,handler,handler,throw,new,unsupported,operation,exception,set,lexical,handler,is,not,supported
StaxResult -> @Override 	public void setLexicalHandler(LexicalHandler handler);1398153432;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setLexicalHandler(LexicalHandler handler) {_		throw new UnsupportedOperationException("setLexicalHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,lexical,handler,lexical,handler,handler,throw,new,unsupported,operation,exception,set,lexical,handler,is,not,supported
StaxResult -> @Override 	public void setLexicalHandler(LexicalHandler handler);1495868221;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setLexicalHandler(LexicalHandler handler) {_		throw new UnsupportedOperationException("setLexicalHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,lexical,handler,lexical,handler,handler,throw,new,unsupported,operation,exception,set,lexical,handler,is,not,supported
StaxResult -> @Override 	public void setLexicalHandler(LexicalHandler handler);1496837955;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setLexicalHandler(LexicalHandler handler) {_		throw new UnsupportedOperationException("setLexicalHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,lexical,handler,lexical,handler,handler,throw,new,unsupported,operation,exception,set,lexical,handler,is,not,supported
StaxResult -> @Override 	public void setLexicalHandler(LexicalHandler handler);1500495740;Throws an {@code UnsupportedOperationException}._@throws UnsupportedOperationException always;@Override_	public void setLexicalHandler(LexicalHandler handler) {_		throw new UnsupportedOperationException("setLexicalHandler is not supported")__	};throws,an,code,unsupported,operation,exception,throws,unsupported,operation,exception,always;override,public,void,set,lexical,handler,lexical,handler,handler,throw,new,unsupported,operation,exception,set,lexical,handler,is,not,supported
StaxResult -> StaxResult(XMLEventWriter eventWriter);1328020251;Constructs a new instance of the <code>StaxResult</code> with the specified <code>XMLEventWriter</code>.__@param eventWriter the <code>XMLEventWriter</code> to write to;StaxResult(XMLEventWriter eventWriter) {_		super.setHandler(new StaxEventContentHandler(eventWriter))__		this.eventWriter = eventWriter__	};constructs,a,new,instance,of,the,code,stax,result,code,with,the,specified,code,xmlevent,writer,code,param,event,writer,the,code,xmlevent,writer,code,to,write,to;stax,result,xmlevent,writer,event,writer,super,set,handler,new,stax,event,content,handler,event,writer,this,event,writer,event,writer
