# id;timestamp;commentText;codeText;commentWords;codeWords
CryptoCmsEndpoint -> public CryptoOperation getCryptoOperation();1500970614;Gets the Crypto operation that was supplied in the the crypto scheme in_the endpoint uri;public CryptoOperation getCryptoOperation() {_        return cryptoOperation__    };gets,the,crypto,operation,that,was,supplied,in,the,the,crypto,scheme,in,the,endpoint,uri;public,crypto,operation,get,crypto,operation,return,crypto,operation
CryptoCmsEndpoint -> public CryptoOperation getCryptoOperation();1503053187;Gets the Crypto operation that was supplied in the the crypto scheme in_the endpoint uri;public CryptoOperation getCryptoOperation() {_        return cryptoOperation__    };gets,the,crypto,operation,that,was,supplied,in,the,the,crypto,scheme,in,the,endpoint,uri;public,crypto,operation,get,crypto,operation,return,crypto,operation
CryptoCmsEndpoint -> public CryptoOperation getCryptoOperation();1529182388;Gets the Crypto operation that was supplied in the crypto scheme in_the endpoint uri;public CryptoOperation getCryptoOperation() {_        return cryptoOperation__    };gets,the,crypto,operation,that,was,supplied,in,the,crypto,scheme,in,the,endpoint,uri;public,crypto,operation,get,crypto,operation,return,crypto,operation
CryptoCmsEndpoint -> public CryptoOperation getCryptoOperation();1540108163;Gets the Crypto operation that was supplied in the crypto scheme in_the endpoint uri;public CryptoOperation getCryptoOperation() {_        return cryptoOperation__    };gets,the,crypto,operation,that,was,supplied,in,the,crypto,scheme,in,the,endpoint,uri;public,crypto,operation,get,crypto,operation,return,crypto,operation
CryptoCmsEndpoint -> public CryptoOperation getCryptoOperation();1547240981;Gets the Crypto operation that was supplied in the crypto scheme in_the endpoint uri;public CryptoOperation getCryptoOperation() {_        return cryptoOperation__    };gets,the,crypto,operation,that,was,supplied,in,the,crypto,scheme,in,the,endpoint,uri;public,crypto,operation,get,crypto,operation,return,crypto,operation
CryptoCmsEndpoint -> public CryptoOperation getCryptoOperation();1547626215;Gets the Crypto operation that was supplied in the crypto scheme in_the endpoint uri;public CryptoOperation getCryptoOperation() {_        return cryptoOperation__    };gets,the,crypto,operation,that,was,supplied,in,the,crypto,scheme,in,the,endpoint,uri;public,crypto,operation,get,crypto,operation,return,crypto,operation
CryptoCmsEndpoint -> public void setCryptoOperation(String operation);1500970614;Set the Crypto operation from that supplied after the crypto scheme in_the endpoint uri e.g. crypto-cms:sign sets sign as the operation._Possible values: "sign", "verify", "encrypt", or "decrypt".;public void setCryptoOperation(String operation) {_        this.cryptoOperation = CryptoOperation.valueOf(operation)__    };set,the,crypto,operation,from,that,supplied,after,the,crypto,scheme,in,the,endpoint,uri,e,g,crypto,cms,sign,sets,sign,as,the,operation,possible,values,sign,verify,encrypt,or,decrypt;public,void,set,crypto,operation,string,operation,this,crypto,operation,crypto,operation,value,of,operation
CryptoCmsEndpoint -> public void setCryptoOperation(String operation);1503053187;Set the Crypto operation from that supplied after the crypto scheme in_the endpoint uri e.g. crypto-cms:sign sets sign as the operation._Possible values: "sign", "verify", "encrypt", or "decrypt".;public void setCryptoOperation(String operation) {_        this.cryptoOperation = CryptoOperation.valueOf(operation)__    };set,the,crypto,operation,from,that,supplied,after,the,crypto,scheme,in,the,endpoint,uri,e,g,crypto,cms,sign,sets,sign,as,the,operation,possible,values,sign,verify,encrypt,or,decrypt;public,void,set,crypto,operation,string,operation,this,crypto,operation,crypto,operation,value,of,operation
CryptoCmsEndpoint -> public void setCryptoOperation(String operation);1529182388;Set the Crypto operation from that supplied after the crypto scheme in_the endpoint uri e.g. crypto-cms:sign sets sign as the operation._Possible values: "sign", "verify", "encrypt", or "decrypt".;public void setCryptoOperation(String operation) {_        this.cryptoOperation = CryptoOperation.valueOf(operation)__    };set,the,crypto,operation,from,that,supplied,after,the,crypto,scheme,in,the,endpoint,uri,e,g,crypto,cms,sign,sets,sign,as,the,operation,possible,values,sign,verify,encrypt,or,decrypt;public,void,set,crypto,operation,string,operation,this,crypto,operation,crypto,operation,value,of,operation
CryptoCmsEndpoint -> public void setCryptoOperation(String operation);1540108163;Set the Crypto operation from that supplied after the crypto scheme in_the endpoint uri e.g. crypto-cms:sign sets sign as the operation._Possible values: "sign", "verify", "encrypt", or "decrypt".;public void setCryptoOperation(String operation) {_        this.cryptoOperation = CryptoOperation.valueOf(operation)__    };set,the,crypto,operation,from,that,supplied,after,the,crypto,scheme,in,the,endpoint,uri,e,g,crypto,cms,sign,sets,sign,as,the,operation,possible,values,sign,verify,encrypt,or,decrypt;public,void,set,crypto,operation,string,operation,this,crypto,operation,crypto,operation,value,of,operation
CryptoCmsEndpoint -> public void setCryptoOperation(String operation);1547240981;Set the Crypto operation from that supplied after the crypto scheme in_the endpoint uri e.g. crypto-cms:sign sets sign as the operation._Possible values: "sign", "verify", "encrypt", or "decrypt".;public void setCryptoOperation(String operation) {_        this.cryptoOperation = CryptoOperation.valueOf(operation)__    };set,the,crypto,operation,from,that,supplied,after,the,crypto,scheme,in,the,endpoint,uri,e,g,crypto,cms,sign,sets,sign,as,the,operation,possible,values,sign,verify,encrypt,or,decrypt;public,void,set,crypto,operation,string,operation,this,crypto,operation,crypto,operation,value,of,operation
CryptoCmsEndpoint -> public void setCryptoOperation(String operation);1547626215;Set the Crypto operation from that supplied after the crypto scheme in_the endpoint uri e.g. crypto-cms:sign sets sign as the operation._Possible values: "sign", "verify", "encrypt", or "decrypt".;public void setCryptoOperation(String operation) {_        this.cryptoOperation = CryptoOperation.valueOf(operation)__    };set,the,crypto,operation,from,that,supplied,after,the,crypto,scheme,in,the,endpoint,uri,e,g,crypto,cms,sign,sets,sign,as,the,operation,possible,values,sign,verify,encrypt,or,decrypt;public,void,set,crypto,operation,string,operation,this,crypto,operation,crypto,operation,value,of,operation
CryptoCmsEndpoint -> public void setName(String name);1500970614;The name part in the URI can be chosen by the user to distinguish between_different signer/verifier/encryptor/decryptor endpoints within the camel_context.;public void setName(String name) {_        this.name = name__    };the,name,part,in,the,uri,can,be,chosen,by,the,user,to,distinguish,between,different,signer,verifier,encryptor,decryptor,endpoints,within,the,camel,context;public,void,set,name,string,name,this,name,name
CryptoCmsEndpoint -> public void setName(String name);1503053187;The name part in the URI can be chosen by the user to distinguish between_different signer/verifier/encryptor/decryptor endpoints within the camel_context.;public void setName(String name) {_        this.name = name__    };the,name,part,in,the,uri,can,be,chosen,by,the,user,to,distinguish,between,different,signer,verifier,encryptor,decryptor,endpoints,within,the,camel,context;public,void,set,name,string,name,this,name,name
CryptoCmsEndpoint -> public void setName(String name);1529182388;The name part in the URI can be chosen by the user to distinguish between_different signer/verifier/encryptor/decryptor endpoints within the camel_context.;public void setName(String name) {_        this.name = name__    };the,name,part,in,the,uri,can,be,chosen,by,the,user,to,distinguish,between,different,signer,verifier,encryptor,decryptor,endpoints,within,the,camel,context;public,void,set,name,string,name,this,name,name
CryptoCmsEndpoint -> public void setName(String name);1540108163;The name part in the URI can be chosen by the user to distinguish between_different signer/verifier/encryptor/decryptor endpoints within the camel_context.;public void setName(String name) {_        this.name = name__    };the,name,part,in,the,uri,can,be,chosen,by,the,user,to,distinguish,between,different,signer,verifier,encryptor,decryptor,endpoints,within,the,camel,context;public,void,set,name,string,name,this,name,name
CryptoCmsEndpoint -> public void setName(String name);1547240981;The name part in the URI can be chosen by the user to distinguish between_different signer/verifier/encryptor/decryptor endpoints within the camel_context.;public void setName(String name) {_        this.name = name__    };the,name,part,in,the,uri,can,be,chosen,by,the,user,to,distinguish,between,different,signer,verifier,encryptor,decryptor,endpoints,within,the,camel,context;public,void,set,name,string,name,this,name,name
