commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public List<String> getPreviousCompanies() {     return previousCompanies. }
false;public;1;3;;public void setPreviousCompanies(List<String> previousCompanies) {     this.previousCompanies = previousCompanies. }
false;public;0;3;;public String getKidsNames() {     return kidsNames. }
false;public;1;3;;public void setKidsNames(String kidsNames) {     this.kidsNames = kidsNames. }
false;public;0;3;;public String getActivatedAt() {     return activatedAt. }
false;public;1;3;;public void setActivatedAt(String activatedAt) {     this.activatedAt = activatedAt. }
false;public;0;3;;public String getInterests() {     return interests. }
false;public;1;3;;public void setInterests(String interests) {     this.interests = interests. }
false;public;0;3;;public String getAdmin() {     return admin. }
false;public;1;3;;public void setAdmin(String admin) {     this.admin = admin. }
false;public;0;3;;public String getFullName() {     return fullName. }
false;public;1;3;;public void setFullName(String fullName) {     this.fullName = fullName. }
false;public;0;3;;public String getName() {     return name. }
false;public;1;3;;public void setName(String name) {     this.name = name. }
false;public;0;3;;public String getLastName() {     return lastName. }
false;public;1;3;;public void setLastName(String lastName) {     this.lastName = lastName. }
false;public;0;3;;public String getMugshotUrlTemplate() {     return mugshotUrlTemplate. }
false;public;1;3;;public void setMugshotUrlTemplate(String mugshotUrlTemplate) {     this.mugshotUrlTemplate = mugshotUrlTemplate. }
false;public;0;3;;public String getType() {     return type. }
false;public;1;3;;public void setType(String type) {     this.type = type. }
false;public;0;3;;public String getMugshotUrl() {     return mugshotUrl. }
false;public;1;3;;public void setMugshotUrl(String mugshotUrl) {     this.mugshotUrl = mugshotUrl. }
false;public;0;3;;public String getBirthDate() {     return birthDate. }
false;public;1;3;;public void setBirthDate(String birthDate) {     this.birthDate = birthDate. }
false;public;0;3;;public String getTimezone() {     return timezone. }
false;public;1;3;;public void setTimezone(String timezone) {     this.timezone = timezone. }
false;public;0;3;;public String getLocation() {     return location. }
false;public;1;3;;public void setLocation(String location) {     this.location = location. }
false;public;0;3;;public String getState() {     return state. }
false;public;1;3;;public void setState(String state) {     this.state = state. }
false;public;0;3;;public String getWebUrl() {     return webUrl. }
false;public;1;3;;public void setWebUrl(String webUrl) {     this.webUrl = webUrl. }
false;public;0;3;;public Stats getStats() {     return stats. }
false;public;1;3;;public void setStats(Stats stats) {     this.stats = stats. }
false;public;0;3;;public Boolean getShowAskForPhoto() {     return showAskForPhoto. }
false;public;1;3;;public void setShowAskForPhoto(Boolean showAskForPhoto) {     this.showAskForPhoto = showAskForPhoto. }
false;public;0;3;;public List<String> getExternalUrls() {     return externalUrls. }
false;public;1;3;;public void setExternalUrls(List<String> externalUrls) {     this.externalUrls = externalUrls. }
false;public;0;3;;public List<String> getSchools() {     return schools. }
false;public;1;3;;public void setSchools(List<String> schools) {     this.schools = schools. }
false;public;0;3;;public String getSummary() {     return summary. }
false;public;1;3;;public void setSummary(String summary) {     this.summary = summary. }
false;public;0;3;;public String getJobTitle() {     return jobTitle. }
false;public;1;3;;public void setJobTitle(String jobTitle) {     this.jobTitle = jobTitle. }
false;public;0;3;;public Long getId() {     return id. }
false;public;1;3;;public void setId(Long id) {     this.id = id. }
false;public;0;3;;public String getExpertise() {     return expertise. }
false;public;1;3;;public void setExpertise(String expertise) {     this.expertise = expertise. }
false;public;0;3;;public List<String> getNetworkDomains() {     return networkDomains. }
false;public;1;3;;public void setNetworkDomains(List<String> networkDomains) {     this.networkDomains = networkDomains. }
false;public;0;3;;public String getNetworkName() {     return networkName. }
false;public;1;3;;public void setNetworkName(String networkName) {     this.networkName = networkName. }
false;public;0;3;;public String getHireDate() {     return hireDate. }
false;public;1;3;;public void setHireDate(String hireDate) {     this.hireDate = hireDate. }
false;public;0;3;;public String getUrl() {     return url. }
false;public;1;3;;public void setUrl(String url) {     this.url = url. }
false;public;0;3;;public String getGuid() {     return guid. }
false;public;1;3;;public void setGuid(String guid) {     this.guid = guid. }
false;public;0;3;;public String getSignificantOther() {     return significantOther. }
false;public;1;3;;public void setSignificantOther(String significantOther) {     this.significantOther = significantOther. }
false;public;0;3;;public String getVerifiedAdmin() {     return verifiedAdmin. }
false;public;1;3;;public void setVerifiedAdmin(String verifiedAdmin) {     this.verifiedAdmin = verifiedAdmin. }
false;public;0;3;;public Settings getSettings() {     return settings. }
false;public;1;3;;public void setSettings(Settings settings) {     this.settings = settings. }
false;public;0;3;;public String getCanBroadcast() {     return canBroadcast. }
false;public;1;3;;public void setCanBroadcast(String canBroadcast) {     this.canBroadcast = canBroadcast. }
false;public;0;3;;public String getFirstName() {     return firstName. }
false;public;1;3;;public void setFirstName(String firstName) {     this.firstName = firstName. }
false;public;0;3;;public String getDepartment() {     return department. }
false;public;1;3;;public void setDepartment(String department) {     this.department = department. }
false;public;0;3;;public Long getNetworkId() {     return networkId. }
false;public;1;3;;public void setNetworkId(Long networkId) {     this.networkId = networkId. }
false;public;0;3;;public Contact getContact() {     return contact. }
false;public;1;3;;public void setContact(Contact contact) {     this.contact = contact. }
false;public;0;9;;@Override public String toString() {     return "User [previousCompanies=" + previousCompanies + ", kidsNames=" + kidsNames + ", activatedAt=" + activatedAt + ", interests=" + interests + ", admin=" + admin + ", fullName=" + fullName + ", name=" + name + ", lastName=" + lastName + ", mugshotUrlTemplate=" + mugshotUrlTemplate + ", type=" + type + ", mugshotUrl=" + mugshotUrl + ", birthDate=" + birthDate + ", timezone=" + timezone + ", location=" + location + ", state=" + state + ", webUrl=" + webUrl + ", stats=" + stats + ", showAskForPhoto=" + showAskForPhoto + ", externalUrls=" + externalUrls + ", schools=" + schools + ", summary=" + summary + ", jobTitle=" + jobTitle + ", id=" + id + ", expertise=" + expertise + ", networkDomains=" + networkDomains + ", networkName=" + networkName + ", hireDate=" + hireDate + ", url=" + url + ", guid=" + guid + ", significantOther=" + significantOther + ", verifiedAdmin=" + verifiedAdmin + ", settings=" + settings + ", canBroadcast=" + canBroadcast + ", firstName=" + firstName + ", department=" + department + ", networkId=" + networkId + ", contact=" + contact + "]". }
