# id;timestamp;commentText;codeText;commentWords;codeWords
WebClientResponseException -> public HttpStatus getStatusCode();1501662058;Return the HTTP status code value.;public HttpStatus getStatusCode() {_		return HttpStatus.valueOf(this.statusCode)__	};return,the,http,status,code,value;public,http,status,get,status,code,return,http,status,value,of,this,status,code
WebClientResponseException -> public HttpStatus getStatusCode();1531415288;Return the HTTP status code value._@throws IllegalArgumentException in case of an unknown HTTP status code;public HttpStatus getStatusCode() {_		return HttpStatus.valueOf(this.statusCode)__	};return,the,http,status,code,value,throws,illegal,argument,exception,in,case,of,an,unknown,http,status,code;public,http,status,get,status,code,return,http,status,value,of,this,status,code
WebClientResponseException -> public HttpStatus getStatusCode();1533731648;Return the HTTP status code value._@throws IllegalArgumentException in case of an unknown HTTP status code;public HttpStatus getStatusCode() {_		return HttpStatus.valueOf(this.statusCode)__	};return,the,http,status,code,value,throws,illegal,argument,exception,in,case,of,an,unknown,http,status,code;public,http,status,get,status,code,return,http,status,value,of,this,status,code
WebClientResponseException -> public HttpStatus getStatusCode();1544177282;Return the HTTP status code value._@throws IllegalArgumentException in case of an unknown HTTP status code;public HttpStatus getStatusCode() {_		return HttpStatus.valueOf(this.statusCode)__	};return,the,http,status,code,value,throws,illegal,argument,exception,in,case,of,an,unknown,http,status,code;public,http,status,get,status,code,return,http,status,value,of,this,status,code
WebClientResponseException -> public HttpStatus getStatusCode();1546963894;Return the HTTP status code value._@throws IllegalArgumentException in case of an unknown HTTP status code;public HttpStatus getStatusCode() {_		return HttpStatus.valueOf(this.statusCode)__	};return,the,http,status,code,value,throws,illegal,argument,exception,in,case,of,an,unknown,http,status,code;public,http,status,get,status,code,return,http,status,value,of,this,status,code
WebClientResponseException -> public static WebClientResponseException create( 			int statusCode, String statusText, HttpHeaders headers, byte[] body, @Nullable Charset charset);1533731648;Create {@code WebClientResponseException} or an HTTP status specific sub-class._@since 5.1;public static WebClientResponseException create(_			int statusCode, String statusText, HttpHeaders headers, byte[] body, @Nullable Charset charset) {__		HttpStatus httpStatus = HttpStatus.resolve(statusCode)__		if (httpStatus != null) {_			switch (httpStatus) {_				case BAD_REQUEST:_					return new WebClientResponseException.BadRequest(statusText, headers, body, charset)__				case UNAUTHORIZED:_					return new WebClientResponseException.Unauthorized(statusText, headers, body, charset)__				case FORBIDDEN:_					return new WebClientResponseException.Forbidden(statusText, headers, body, charset)__				case NOT_FOUND:_					return new WebClientResponseException.NotFound(statusText, headers, body, charset)__				case METHOD_NOT_ALLOWED:_					return new WebClientResponseException.MethodNotAllowed(statusText, headers, body, charset)__				case NOT_ACCEPTABLE:_					return new WebClientResponseException.NotAcceptable(statusText, headers, body, charset)__				case CONFLICT:_					return new WebClientResponseException.Conflict(statusText, headers, body, charset)__				case GONE:_					return new WebClientResponseException.Gone(statusText, headers, body, charset)__				case UNSUPPORTED_MEDIA_TYPE:_					return new WebClientResponseException.UnsupportedMediaType(statusText, headers, body, charset)__				case TOO_MANY_REQUESTS:_					return new WebClientResponseException.TooManyRequests(statusText, headers, body, charset)__				case UNPROCESSABLE_ENTITY:_					return new WebClientResponseException.UnprocessableEntity(statusText, headers, body, charset)__				case INTERNAL_SERVER_ERROR:_					return new WebClientResponseException.InternalServerError(statusText, headers, body, charset)__				case NOT_IMPLEMENTED:_					return new WebClientResponseException.NotImplemented(statusText, headers, body, charset)__				case BAD_GATEWAY:_					return new WebClientResponseException.BadGateway(statusText, headers, body, charset)__				case SERVICE_UNAVAILABLE:_					return new WebClientResponseException.ServiceUnavailable(statusText, headers, body, charset)__				case GATEWAY_TIMEOUT:_					return new WebClientResponseException.GatewayTimeout(statusText, headers, body, charset)__			}_		}_		return new WebClientResponseException(statusCode, statusText, headers, body, charset)__	};create,code,web,client,response,exception,or,an,http,status,specific,sub,class,since,5,1;public,static,web,client,response,exception,create,int,status,code,string,status,text,http,headers,headers,byte,body,nullable,charset,charset,http,status,http,status,http,status,resolve,status,code,if,http,status,null,switch,http,status,case,return,new,web,client,response,exception,bad,request,status,text,headers,body,charset,case,unauthorized,return,new,web,client,response,exception,unauthorized,status,text,headers,body,charset,case,forbidden,return,new,web,client,response,exception,forbidden,status,text,headers,body,charset,case,return,new,web,client,response,exception,not,found,status,text,headers,body,charset,case,return,new,web,client,response,exception,method,not,allowed,status,text,headers,body,charset,case,return,new,web,client,response,exception,not,acceptable,status,text,headers,body,charset,case,conflict,return,new,web,client,response,exception,conflict,status,text,headers,body,charset,case,gone,return,new,web,client,response,exception,gone,status,text,headers,body,charset,case,return,new,web,client,response,exception,unsupported,media,type,status,text,headers,body,charset,case,return,new,web,client,response,exception,too,many,requests,status,text,headers,body,charset,case,return,new,web,client,response,exception,unprocessable,entity,status,text,headers,body,charset,case,return,new,web,client,response,exception,internal,server,error,status,text,headers,body,charset,case,return,new,web,client,response,exception,not,implemented,status,text,headers,body,charset,case,return,new,web,client,response,exception,bad,gateway,status,text,headers,body,charset,case,return,new,web,client,response,exception,service,unavailable,status,text,headers,body,charset,case,return,new,web,client,response,exception,gateway,timeout,status,text,headers,body,charset,return,new,web,client,response,exception,status,code,status,text,headers,body,charset
WebClientResponseException -> public static WebClientResponseException create( 			int statusCode, String statusText, HttpHeaders headers, byte[] body, @Nullable Charset charset);1544177282;Create {@code WebClientResponseException} or an HTTP status specific sub-class._@since 5.1;public static WebClientResponseException create(_			int statusCode, String statusText, HttpHeaders headers, byte[] body, @Nullable Charset charset) {__		return create(statusCode, statusText, headers, body, charset, null)__	};create,code,web,client,response,exception,or,an,http,status,specific,sub,class,since,5,1;public,static,web,client,response,exception,create,int,status,code,string,status,text,http,headers,headers,byte,body,nullable,charset,charset,return,create,status,code,status,text,headers,body,charset,null
WebClientResponseException -> public static WebClientResponseException create( 			int statusCode, String statusText, HttpHeaders headers, byte[] body, @Nullable Charset charset);1546963894;Create {@code WebClientResponseException} or an HTTP status specific subclass._@since 5.1;public static WebClientResponseException create(_			int statusCode, String statusText, HttpHeaders headers, byte[] body, @Nullable Charset charset) {__		return create(statusCode, statusText, headers, body, charset, null)__	};create,code,web,client,response,exception,or,an,http,status,specific,subclass,since,5,1;public,static,web,client,response,exception,create,int,status,code,string,status,text,http,headers,headers,byte,body,nullable,charset,charset,return,create,status,code,status,text,headers,body,charset,null
WebClientResponseException -> public String getResponseBodyAsString();1501662058;Return the response body as a string.;public String getResponseBodyAsString() {_		return new String(this.responseBody, this.responseCharset)__	};return,the,response,body,as,a,string;public,string,get,response,body,as,string,return,new,string,this,response,body,this,response,charset
WebClientResponseException -> public String getResponseBodyAsString();1531415288;Return the response body as a string.;public String getResponseBodyAsString() {_		return new String(this.responseBody, this.responseCharset)__	};return,the,response,body,as,a,string;public,string,get,response,body,as,string,return,new,string,this,response,body,this,response,charset
WebClientResponseException -> public String getResponseBodyAsString();1533731648;Return the response body as a string.;public String getResponseBodyAsString() {_		return new String(this.responseBody, this.responseCharset)__	};return,the,response,body,as,a,string;public,string,get,response,body,as,string,return,new,string,this,response,body,this,response,charset
