# id;timestamp;commentText;codeText;commentWords;codeWords
KeyedStateBackend -> void dispose()_;1472680767;Closes the backend and releases all resources.;void dispose()_;closes,the,backend,and,releases,all,resources;void,dispose
KeyedStateBackend -> void dispose()_;1475571578;Closes the backend and releases all resources.;void dispose()_;closes,the,backend,and,releases,all,resources;void,dispose
KeyedStateBackend -> void dispose()_;1484317029;Closes the backend and releases all resources.;void dispose()_;closes,the,backend,and,releases,all,resources;void,dispose
KeyedStateBackend -> void dispose()_;1488534675;Closes the backend and releases all resources.;void dispose()_;closes,the,backend,and,releases,all,resources;void,dispose
KeyedStateBackend -> void dispose()_;1505385570;Closes the backend and releases all resources.;void dispose()_;closes,the,backend,and,releases,all,resources;void,dispose
KeyedStateBackend -> void dispose()_;1517239044;Closes the backend and releases all resources.;void dispose()_;closes,the,backend,and,releases,all,resources;void,dispose
KeyedStateBackend -> void setCurrentKey(K newKey)_;1472680767;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1475571578;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1484317029;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1488534675;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1505385570;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1517239044;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1517924641;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1528738487;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1530704629;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> void setCurrentKey(K newKey)_;1538063092;Sets the current key that is used for partitioned state._@param newKey The new current key.;void setCurrentKey(K newKey)_;sets,the,current,key,that,is,used,for,partitioned,state,param,new,key,the,new,current,key;void,set,current,key,k,new,key
KeyedStateBackend -> public TypeSerializer<K> getKeySerializer();1470847490;{@link TypeSerializer} for the state backend key type.;public TypeSerializer<K> getKeySerializer() {_		return keySerializer__	};link,type,serializer,for,the,state,backend,key,type;public,type,serializer,k,get,key,serializer,return,key,serializer
KeyedStateBackend -> public TypeSerializer<K> getKeySerializer();1472464402;{@link TypeSerializer} for the state backend key type.;public TypeSerializer<K> getKeySerializer() {_		return keySerializer__	};link,type,serializer,for,the,state,backend,key,type;public,type,serializer,k,get,key,serializer,return,key,serializer
KeyedStateBackend -> public TypeSerializer<K> getKeySerializer();1474382176;{@link TypeSerializer} for the state backend key type.;public TypeSerializer<K> getKeySerializer() {_		return keySerializer__	};link,type,serializer,for,the,state,backend,key,type;public,type,serializer,k,get,key,serializer,return,key,serializer
KeyedStateBackend -> public TypeSerializer<K> getKeySerializer();1474462558;{@link TypeSerializer} for the state backend key type.;public TypeSerializer<K> getKeySerializer() {_		return keySerializer__	};link,type,serializer,for,the,state,backend,key,type;public,type,serializer,k,get,key,serializer,return,key,serializer
KeyedStateBackend -> <N, S extends State> S getPartitionedState( 			N namespace, 			TypeSerializer<N> namespaceSerializer, 			StateDescriptor<S, ?> stateDescriptor) throws Exception_;1484317029;Creates or retrieves a partitioned state backed by this state backend.__TODO: NOTE: This method does a lot of work caching / retrieving states just to update the namespace._This method should be removed for the sake of namespaces being lazily fetched from the keyed_state backend, or being set on the state directly.__@param stateDescriptor The identifier for the state. This contains name and can create a default state value.__@param <N> The type of the namespace._@param <S> The type of the state.__@return A new key/value state backed by this backend.__@throws Exception Exceptions may occur during initialization of the state and should be forwarded.;<N, S extends State> S getPartitionedState(_			N namespace,_			TypeSerializer<N> namespaceSerializer,_			StateDescriptor<S, ?> stateDescriptor) throws Exception_;creates,or,retrieves,a,partitioned,state,backed,by,this,state,backend,todo,note,this,method,does,a,lot,of,work,caching,retrieving,states,just,to,update,the,namespace,this,method,should,be,removed,for,the,sake,of,namespaces,being,lazily,fetched,from,the,keyed,state,backend,or,being,set,on,the,state,directly,param,state,descriptor,the,identifier,for,the,state,this,contains,name,and,can,create,a,default,state,value,param,n,the,type,of,the,namespace,param,s,the,type,of,the,state,return,a,new,key,value,state,backed,by,this,backend,throws,exception,exceptions,may,occur,during,initialization,of,the,state,and,should,be,forwarded;n,s,extends,state,s,get,partitioned,state,n,namespace,type,serializer,n,namespace,serializer,state,descriptor,s,state,descriptor,throws,exception
KeyedStateBackend -> <N, S extends State> S getPartitionedState( 			N namespace, 			TypeSerializer<N> namespaceSerializer, 			StateDescriptor<S, ?> stateDescriptor) throws Exception_;1488534675;Creates or retrieves a partitioned state backed by this state backend.__TODO: NOTE: This method does a lot of work caching / retrieving states just to update the namespace._This method should be removed for the sake of namespaces being lazily fetched from the keyed_state backend, or being set on the state directly.__@param stateDescriptor The identifier for the state. This contains name and can create a default state value.__@param <N> The type of the namespace._@param <S> The type of the state.__@return A new key/value state backed by this backend.__@throws Exception Exceptions may occur during initialization of the state and should be forwarded.;<N, S extends State> S getPartitionedState(_			N namespace,_			TypeSerializer<N> namespaceSerializer,_			StateDescriptor<S, ?> stateDescriptor) throws Exception_;creates,or,retrieves,a,partitioned,state,backed,by,this,state,backend,todo,note,this,method,does,a,lot,of,work,caching,retrieving,states,just,to,update,the,namespace,this,method,should,be,removed,for,the,sake,of,namespaces,being,lazily,fetched,from,the,keyed,state,backend,or,being,set,on,the,state,directly,param,state,descriptor,the,identifier,for,the,state,this,contains,name,and,can,create,a,default,state,value,param,n,the,type,of,the,namespace,param,s,the,type,of,the,state,return,a,new,key,value,state,backed,by,this,backend,throws,exception,exceptions,may,occur,during,initialization,of,the,state,and,should,be,forwarded;n,s,extends,state,s,get,partitioned,state,n,namespace,type,serializer,n,namespace,serializer,state,descriptor,s,state,descriptor,throws,exception
