# id;timestamp;commentText;codeText;commentWords;codeWords
CustomNumberEditor -> public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException;1328020251;Create a new CustomNumberEditor instance, using the default_<code>valueOf</code> methods for parsing and <code>toString</code>_methods for rendering._<p>The "allowEmpty" parameter states if an empty String should_be allowed for parsing, i.e. get interpreted as <code>null</code> value._Else, an IllegalArgumentException gets thrown in that case._@param numberClass Number subclass to generate_@param allowEmpty if empty strings should be allowed_@throws IllegalArgumentException if an invalid numberClass has been specified_@see org.springframework.util.NumberUtils#parseNumber(String, Class)_@see Integer#valueOf_@see Integer#toString;public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException {_		this(numberClass, null, allowEmpty)__	};create,a,new,custom,number,editor,instance,using,the,default,code,value,of,code,methods,for,parsing,and,code,to,string,code,methods,for,rendering,p,the,allow,empty,parameter,states,if,an,empty,string,should,be,allowed,for,parsing,i,e,get,interpreted,as,code,null,code,value,else,an,illegal,argument,exception,gets,thrown,in,that,case,param,number,class,number,subclass,to,generate,param,allow,empty,if,empty,strings,should,be,allowed,throws,illegal,argument,exception,if,an,invalid,number,class,has,been,specified,see,org,springframework,util,number,utils,parse,number,string,class,see,integer,value,of,see,integer,to,string;public,custom,number,editor,class,extends,number,number,class,boolean,allow,empty,throws,illegal,argument,exception,this,number,class,null,allow,empty
CustomNumberEditor -> public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException;1356735495;Create a new CustomNumberEditor instance, using the default_{@code valueOf} methods for parsing and {@code toString}_methods for rendering._<p>The "allowEmpty" parameter states if an empty String should_be allowed for parsing, i.e. get interpreted as {@code null} value._Else, an IllegalArgumentException gets thrown in that case._@param numberClass Number subclass to generate_@param allowEmpty if empty strings should be allowed_@throws IllegalArgumentException if an invalid numberClass has been specified_@see org.springframework.util.NumberUtils#parseNumber(String, Class)_@see Integer#valueOf_@see Integer#toString;public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException {_		this(numberClass, null, allowEmpty)__	};create,a,new,custom,number,editor,instance,using,the,default,code,value,of,methods,for,parsing,and,code,to,string,methods,for,rendering,p,the,allow,empty,parameter,states,if,an,empty,string,should,be,allowed,for,parsing,i,e,get,interpreted,as,code,null,value,else,an,illegal,argument,exception,gets,thrown,in,that,case,param,number,class,number,subclass,to,generate,param,allow,empty,if,empty,strings,should,be,allowed,throws,illegal,argument,exception,if,an,invalid,number,class,has,been,specified,see,org,springframework,util,number,utils,parse,number,string,class,see,integer,value,of,see,integer,to,string;public,custom,number,editor,class,extends,number,number,class,boolean,allow,empty,throws,illegal,argument,exception,this,number,class,null,allow,empty
CustomNumberEditor -> public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException;1385501137;Create a new CustomNumberEditor instance, using the default_{@code valueOf} methods for parsing and {@code toString}_methods for rendering._<p>The "allowEmpty" parameter states if an empty String should_be allowed for parsing, i.e. get interpreted as {@code null} value._Else, an IllegalArgumentException gets thrown in that case._@param numberClass Number subclass to generate_@param allowEmpty if empty strings should be allowed_@throws IllegalArgumentException if an invalid numberClass has been specified_@see org.springframework.util.NumberUtils#parseNumber(String, Class)_@see Integer#valueOf_@see Integer#toString;public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException {_		this(numberClass, null, allowEmpty)__	};create,a,new,custom,number,editor,instance,using,the,default,code,value,of,methods,for,parsing,and,code,to,string,methods,for,rendering,p,the,allow,empty,parameter,states,if,an,empty,string,should,be,allowed,for,parsing,i,e,get,interpreted,as,code,null,value,else,an,illegal,argument,exception,gets,thrown,in,that,case,param,number,class,number,subclass,to,generate,param,allow,empty,if,empty,strings,should,be,allowed,throws,illegal,argument,exception,if,an,invalid,number,class,has,been,specified,see,org,springframework,util,number,utils,parse,number,string,class,see,integer,value,of,see,integer,to,string;public,custom,number,editor,class,extends,number,number,class,boolean,allow,empty,throws,illegal,argument,exception,this,number,class,null,allow,empty
CustomNumberEditor -> public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException;1496837955;Create a new CustomNumberEditor instance, using the default_{@code valueOf} methods for parsing and {@code toString}_methods for rendering._<p>The "allowEmpty" parameter states if an empty String should_be allowed for parsing, i.e. get interpreted as {@code null} value._Else, an IllegalArgumentException gets thrown in that case._@param numberClass Number subclass to generate_@param allowEmpty if empty strings should be allowed_@throws IllegalArgumentException if an invalid numberClass has been specified_@see org.springframework.util.NumberUtils#parseNumber(String, Class)_@see Integer#valueOf_@see Integer#toString;public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException {_		this(numberClass, null, allowEmpty)__	};create,a,new,custom,number,editor,instance,using,the,default,code,value,of,methods,for,parsing,and,code,to,string,methods,for,rendering,p,the,allow,empty,parameter,states,if,an,empty,string,should,be,allowed,for,parsing,i,e,get,interpreted,as,code,null,value,else,an,illegal,argument,exception,gets,thrown,in,that,case,param,number,class,number,subclass,to,generate,param,allow,empty,if,empty,strings,should,be,allowed,throws,illegal,argument,exception,if,an,invalid,number,class,has,been,specified,see,org,springframework,util,number,utils,parse,number,string,class,see,integer,value,of,see,integer,to,string;public,custom,number,editor,class,extends,number,number,class,boolean,allow,empty,throws,illegal,argument,exception,this,number,class,null,allow,empty
CustomNumberEditor -> public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException;1498780456;Create a new CustomNumberEditor instance, using the default_{@code valueOf} methods for parsing and {@code toString}_methods for rendering._<p>The "allowEmpty" parameter states if an empty String should_be allowed for parsing, i.e. get interpreted as {@code null} value._Else, an IllegalArgumentException gets thrown in that case._@param numberClass Number subclass to generate_@param allowEmpty if empty strings should be allowed_@throws IllegalArgumentException if an invalid numberClass has been specified_@see org.springframework.util.NumberUtils#parseNumber(String, Class)_@see Integer#valueOf_@see Integer#toString;public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException {_		this(numberClass, null, allowEmpty)__	};create,a,new,custom,number,editor,instance,using,the,default,code,value,of,methods,for,parsing,and,code,to,string,methods,for,rendering,p,the,allow,empty,parameter,states,if,an,empty,string,should,be,allowed,for,parsing,i,e,get,interpreted,as,code,null,value,else,an,illegal,argument,exception,gets,thrown,in,that,case,param,number,class,number,subclass,to,generate,param,allow,empty,if,empty,strings,should,be,allowed,throws,illegal,argument,exception,if,an,invalid,number,class,has,been,specified,see,org,springframework,util,number,utils,parse,number,string,class,see,integer,value,of,see,integer,to,string;public,custom,number,editor,class,extends,number,number,class,boolean,allow,empty,throws,illegal,argument,exception,this,number,class,null,allow,empty
CustomNumberEditor -> public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException;1530174524;Create a new CustomNumberEditor instance, using the default_{@code valueOf} methods for parsing and {@code toString}_methods for rendering._<p>The "allowEmpty" parameter states if an empty String should_be allowed for parsing, i.e. get interpreted as {@code null} value._Else, an IllegalArgumentException gets thrown in that case._@param numberClass the Number subclass to generate_@param allowEmpty if empty strings should be allowed_@throws IllegalArgumentException if an invalid numberClass has been specified_@see org.springframework.util.NumberUtils#parseNumber(String, Class)_@see Integer#valueOf_@see Integer#toString;public CustomNumberEditor(Class<? extends Number> numberClass, boolean allowEmpty) throws IllegalArgumentException {_		this(numberClass, null, allowEmpty)__	};create,a,new,custom,number,editor,instance,using,the,default,code,value,of,methods,for,parsing,and,code,to,string,methods,for,rendering,p,the,allow,empty,parameter,states,if,an,empty,string,should,be,allowed,for,parsing,i,e,get,interpreted,as,code,null,value,else,an,illegal,argument,exception,gets,thrown,in,that,case,param,number,class,the,number,subclass,to,generate,param,allow,empty,if,empty,strings,should,be,allowed,throws,illegal,argument,exception,if,an,invalid,number,class,has,been,specified,see,org,springframework,util,number,utils,parse,number,string,class,see,integer,value,of,see,integer,to,string;public,custom,number,editor,class,extends,number,number,class,boolean,allow,empty,throws,illegal,argument,exception,this,number,class,null,allow,empty
CustomNumberEditor -> @Override 	public void setAsText(String text) throws IllegalArgumentException;1328020251;Parse the Number from the given text, using the specified NumberFormat.;@Override_	public void setAsText(String text) throws IllegalArgumentException {_		if (this.allowEmpty && !StringUtils.hasText(text)) {_			_			setValue(null)__		}_		else if (this.numberFormat != null) {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass, this.numberFormat))__		}_		else {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass))__		}_	};parse,the,number,from,the,given,text,using,the,specified,number,format;override,public,void,set,as,text,string,text,throws,illegal,argument,exception,if,this,allow,empty,string,utils,has,text,text,set,value,null,else,if,this,number,format,null,set,value,number,utils,parse,number,text,this,number,class,this,number,format,else,set,value,number,utils,parse,number,text,this,number,class
CustomNumberEditor -> @Override 	public void setAsText(String text) throws IllegalArgumentException;1356735495;Parse the Number from the given text, using the specified NumberFormat.;@Override_	public void setAsText(String text) throws IllegalArgumentException {_		if (this.allowEmpty && !StringUtils.hasText(text)) {_			_			setValue(null)__		}_		else if (this.numberFormat != null) {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass, this.numberFormat))__		}_		else {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass))__		}_	};parse,the,number,from,the,given,text,using,the,specified,number,format;override,public,void,set,as,text,string,text,throws,illegal,argument,exception,if,this,allow,empty,string,utils,has,text,text,set,value,null,else,if,this,number,format,null,set,value,number,utils,parse,number,text,this,number,class,this,number,format,else,set,value,number,utils,parse,number,text,this,number,class
CustomNumberEditor -> @Override 	public void setAsText(String text) throws IllegalArgumentException;1385501137;Parse the Number from the given text, using the specified NumberFormat.;@Override_	public void setAsText(String text) throws IllegalArgumentException {_		if (this.allowEmpty && !StringUtils.hasText(text)) {_			_			setValue(null)__		}_		else if (this.numberFormat != null) {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass, this.numberFormat))__		}_		else {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass))__		}_	};parse,the,number,from,the,given,text,using,the,specified,number,format;override,public,void,set,as,text,string,text,throws,illegal,argument,exception,if,this,allow,empty,string,utils,has,text,text,set,value,null,else,if,this,number,format,null,set,value,number,utils,parse,number,text,this,number,class,this,number,format,else,set,value,number,utils,parse,number,text,this,number,class
CustomNumberEditor -> @Override 	public void setAsText(String text) throws IllegalArgumentException;1496837955;Parse the Number from the given text, using the specified NumberFormat.;@Override_	public void setAsText(String text) throws IllegalArgumentException {_		if (this.allowEmpty && !StringUtils.hasText(text)) {_			_			setValue(null)__		}_		else if (this.numberFormat != null) {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass, this.numberFormat))__		}_		else {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass))__		}_	};parse,the,number,from,the,given,text,using,the,specified,number,format;override,public,void,set,as,text,string,text,throws,illegal,argument,exception,if,this,allow,empty,string,utils,has,text,text,set,value,null,else,if,this,number,format,null,set,value,number,utils,parse,number,text,this,number,class,this,number,format,else,set,value,number,utils,parse,number,text,this,number,class
CustomNumberEditor -> @Override 	public void setAsText(String text) throws IllegalArgumentException;1498780456;Parse the Number from the given text, using the specified NumberFormat.;@Override_	public void setAsText(String text) throws IllegalArgumentException {_		if (this.allowEmpty && !StringUtils.hasText(text)) {_			_			setValue(null)__		}_		else if (this.numberFormat != null) {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass, this.numberFormat))__		}_		else {_			_			setValue(NumberUtils.parseNumber(text, this.numberClass))__		}_	};parse,the,number,from,the,given,text,using,the,specified,number,format;override,public,void,set,as,text,string,text,throws,illegal,argument,exception,if,this,allow,empty,string,utils,has,text,text,set,value,null,else,if,this,number,format,null,set,value,number,utils,parse,number,text,this,number,class,this,number,format,else,set,value,number,utils,parse,number,text,this,number,class
