# id;timestamp;commentText;codeText;commentWords;codeWords
CachingOperationInvoker -> public long getTimeToLive();1516423464;Return the maximum time in milliseconds that a response can be cached._@return the time to live of a response;public long getTimeToLive() {_		return this.timeToLive__	};return,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,the,time,to,live,of,a,response;public,long,get,time,to,live,return,this,time,to,live
CachingOperationInvoker -> public long getTimeToLive();1517417335;Return the maximum time in milliseconds that a response can be cached._@return the time to live of a response;public long getTimeToLive() {_		return this.timeToLive__	};return,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,the,time,to,live,of,a,response;public,long,get,time,to,live,return,this,time,to,live
CachingOperationInvoker -> public long getTimeToLive();1517509533;Return the maximum time in milliseconds that a response can be cached._@return the time to live of a response;public long getTimeToLive() {_		return this.timeToLive__	};return,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,the,time,to,live,of,a,response;public,long,get,time,to,live,return,this,time,to,live
CachingOperationInvoker -> public long getTimeToLive();1518432379;Return the maximum time in milliseconds that a response can be cached._@return the time to live of a response;public long getTimeToLive() {_		return this.timeToLive__	};return,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,the,time,to,live,of,a,response;public,long,get,time,to,live,return,this,time,to,live
CachingOperationInvoker -> public long getTimeToLive();1519045463;Return the maximum time in milliseconds that a response can be cached._@return the time to live of a response;public long getTimeToLive() {_		return this.timeToLive__	};return,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,the,time,to,live,of,a,response;public,long,get,time,to,live,return,this,time,to,live
CachingOperationInvoker -> public long getTimeToLive();1519128725;Return the maximum time in milliseconds that a response can be cached._@return the time to live of a response;public long getTimeToLive() {_		return this.timeToLive__	};return,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,the,time,to,live,of,a,response;public,long,get,time,to,live,return,this,time,to,live
CachingOperationInvoker -> public static OperationInvoker apply(OperationInvoker invoker, long timeToLive);1516423464;Apply caching configuration when appropriate to the given invoker._@param invoker the invoker to wrap_@param timeToLive the maximum time in milliseconds that a response can be cached_@return a caching version of the invoker or the original instance if caching is not_required;public static OperationInvoker apply(OperationInvoker invoker, long timeToLive) {_		if (timeToLive > 0) {_			return new CachingOperationInvoker(invoker, timeToLive)__		}_		return invoker__	};apply,caching,configuration,when,appropriate,to,the,given,invoker,param,invoker,the,invoker,to,wrap,param,time,to,live,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,a,caching,version,of,the,invoker,or,the,original,instance,if,caching,is,not,required;public,static,operation,invoker,apply,operation,invoker,invoker,long,time,to,live,if,time,to,live,0,return,new,caching,operation,invoker,invoker,time,to,live,return,invoker
CachingOperationInvoker -> public static OperationInvoker apply(OperationInvoker invoker, long timeToLive);1517417335;Apply caching configuration when appropriate to the given invoker._@param invoker the invoker to wrap_@param timeToLive the maximum time in milliseconds that a response can be cached_@return a caching version of the invoker or the original instance if caching is not_required;public static OperationInvoker apply(OperationInvoker invoker, long timeToLive) {_		if (timeToLive > 0) {_			return new CachingOperationInvoker(invoker, timeToLive)__		}_		return invoker__	};apply,caching,configuration,when,appropriate,to,the,given,invoker,param,invoker,the,invoker,to,wrap,param,time,to,live,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,a,caching,version,of,the,invoker,or,the,original,instance,if,caching,is,not,required;public,static,operation,invoker,apply,operation,invoker,invoker,long,time,to,live,if,time,to,live,0,return,new,caching,operation,invoker,invoker,time,to,live,return,invoker
CachingOperationInvoker -> public static OperationInvoker apply(OperationInvoker invoker, long timeToLive);1517509533;Apply caching configuration when appropriate to the given invoker._@param invoker the invoker to wrap_@param timeToLive the maximum time in milliseconds that a response can be cached_@return a caching version of the invoker or the original instance if caching is not_required;public static OperationInvoker apply(OperationInvoker invoker, long timeToLive) {_		if (timeToLive > 0) {_			return new CachingOperationInvoker(invoker, timeToLive)__		}_		return invoker__	};apply,caching,configuration,when,appropriate,to,the,given,invoker,param,invoker,the,invoker,to,wrap,param,time,to,live,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,a,caching,version,of,the,invoker,or,the,original,instance,if,caching,is,not,required;public,static,operation,invoker,apply,operation,invoker,invoker,long,time,to,live,if,time,to,live,0,return,new,caching,operation,invoker,invoker,time,to,live,return,invoker
CachingOperationInvoker -> public static OperationInvoker apply(OperationInvoker invoker, long timeToLive);1518432379;Apply caching configuration when appropriate to the given invoker._@param invoker the invoker to wrap_@param timeToLive the maximum time in milliseconds that a response can be cached_@return a caching version of the invoker or the original instance if caching is not_required;public static OperationInvoker apply(OperationInvoker invoker, long timeToLive) {_		if (timeToLive > 0) {_			return new CachingOperationInvoker(invoker, timeToLive)__		}_		return invoker__	};apply,caching,configuration,when,appropriate,to,the,given,invoker,param,invoker,the,invoker,to,wrap,param,time,to,live,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,a,caching,version,of,the,invoker,or,the,original,instance,if,caching,is,not,required;public,static,operation,invoker,apply,operation,invoker,invoker,long,time,to,live,if,time,to,live,0,return,new,caching,operation,invoker,invoker,time,to,live,return,invoker
CachingOperationInvoker -> public static OperationInvoker apply(OperationInvoker invoker, long timeToLive);1519045463;Apply caching configuration when appropriate to the given invoker._@param invoker the invoker to wrap_@param timeToLive the maximum time in milliseconds that a response can be cached_@return a caching version of the invoker or the original instance if caching is not_required;public static OperationInvoker apply(OperationInvoker invoker, long timeToLive) {_		if (timeToLive > 0) {_			return new CachingOperationInvoker(invoker, timeToLive)__		}_		return invoker__	};apply,caching,configuration,when,appropriate,to,the,given,invoker,param,invoker,the,invoker,to,wrap,param,time,to,live,the,maximum,time,in,milliseconds,that,a,response,can,be,cached,return,a,caching,version,of,the,invoker,or,the,original,instance,if,caching,is,not,required;public,static,operation,invoker,apply,operation,invoker,invoker,long,time,to,live,if,time,to,live,0,return,new,caching,operation,invoker,invoker,time,to,live,return,invoker
