# id;timestamp;commentText;codeText;commentWords;codeWords
BlueprintPropertiesParser -> private Class<?> newPlaceholderClass(Class<?> clazz);1528720061;Obtains a {@link Class} instance for "org.apache.aries.blueprint.ext.AbstractPropertyPlaceholderExt"_@param clazz_@return;private Class<?> newPlaceholderClass(Class<?> clazz) {_        Class<?> c = clazz__        while (c != null) {_            if ("org.apache.aries.blueprint.ext.AbstractPropertyPlaceholderExt".equals(c.getName())) {_                return c__            }_            c = c.getSuperclass()__        }_        return null__    };obtains,a,link,class,instance,for,org,apache,aries,blueprint,ext,abstract,property,placeholder,ext,param,clazz,return;private,class,new,placeholder,class,class,clazz,class,c,clazz,while,c,null,if,org,apache,aries,blueprint,ext,abstract,property,placeholder,ext,equals,c,get,name,return,c,c,c,get,superclass,return,null
BlueprintPropertiesParser -> private Class<?> newPlaceholderClass(Class<?> clazz);1540108163;Obtains a {@link Class} instance for "org.apache.aries.blueprint.ext.AbstractPropertyPlaceholderExt"_@param clazz_@return;private Class<?> newPlaceholderClass(Class<?> clazz) {_        Class<?> c = clazz__        while (c != null) {_            if ("org.apache.aries.blueprint.ext.AbstractPropertyPlaceholderExt".equals(c.getName())) {_                return c__            }_            c = c.getSuperclass()__        }_        return null__    };obtains,a,link,class,instance,for,org,apache,aries,blueprint,ext,abstract,property,placeholder,ext,param,clazz,return;private,class,new,placeholder,class,class,clazz,class,c,clazz,while,c,null,if,org,apache,aries,blueprint,ext,abstract,property,placeholder,ext,equals,c,get,name,return,c,c,c,get,superclass,return,null
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1298712293;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1311939546;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1326392736;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1339246630;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1358269142;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1378298859;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1378299570;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1415211488;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
BlueprintPropertiesParser -> public void addPropertyPlaceholder(String id);1417588598;Adds the given Blueprint property placeholder service with the given id__@param id id of the Blueprint property placeholder service to add.;public void addPropertyPlaceholder(String id) {_        Object component = container.getComponentInstance(id)___        if (component instanceof AbstractPropertyPlaceholder) {_            AbstractPropertyPlaceholder placeholder = (AbstractPropertyPlaceholder) component__            placeholders.add(placeholder)___            log.debug("Adding Blueprint PropertyPlaceholder: {}", id)___            if (method == null) {_                try {_                    method = AbstractPropertyPlaceholder.class.getDeclaredMethod("getProperty", String.class)__                    method.setAccessible(true)__                } catch (NoSuchMethodException e) {_                    throw new IllegalStateException("Cannot add blueprint property placeholder: " + id_                            + " as the method getProperty is not accessible", e)__                }_            }_        }_    };adds,the,given,blueprint,property,placeholder,service,with,the,given,id,param,id,id,of,the,blueprint,property,placeholder,service,to,add;public,void,add,property,placeholder,string,id,object,component,container,get,component,instance,id,if,component,instanceof,abstract,property,placeholder,abstract,property,placeholder,placeholder,abstract,property,placeholder,component,placeholders,add,placeholder,log,debug,adding,blueprint,property,placeholder,id,if,method,null,try,method,abstract,property,placeholder,class,get,declared,method,get,property,string,class,method,set,accessible,true,catch,no,such,method,exception,e,throw,new,illegal,state,exception,cannot,add,blueprint,property,placeholder,id,as,the,method,get,property,is,not,accessible,e
