# id;timestamp;commentText;codeText;commentWords;codeWords
RoutingNodes -> UnassignedShards -> public int ignoredSize();1524684173;Returns the size of the temporarily marked as ignored unassigned shards;public int ignoredSize() { return ignored.size()_ };returns,the,size,of,the,temporarily,marked,as,ignored,unassigned,shards;public,int,ignored,size,return,ignored,size
RoutingNodes -> UnassignedShards -> public int ignoredSize();1540847035;Returns the size of the temporarily marked as ignored unassigned shards;public int ignoredSize() { return ignored.size()_ };returns,the,size,of,the,temporarily,marked,as,ignored,unassigned,shards;public,int,ignored,size,return,ignored,size
RoutingNodes -> public boolean allReplicasActive(ShardId shardId, MetaData metaData);1524684173;Returns <code>true</code> iff all replicas are active for the given shard routing. Otherwise <code>false</code>;public boolean allReplicasActive(ShardId shardId, MetaData metaData) {_        final List<ShardRouting> shards = assignedShards(shardId)__        if (shards.isEmpty() || shards.size() < metaData.getIndexSafe(shardId.getIndex()).getNumberOfReplicas() + 1) {_            return false_ _        }_        for (ShardRouting shard : shards) {_            if (!shard.active()) {_                return false__            }_        }_        return true__    };returns,code,true,code,iff,all,replicas,are,active,for,the,given,shard,routing,otherwise,code,false,code;public,boolean,all,replicas,active,shard,id,shard,id,meta,data,meta,data,final,list,shard,routing,shards,assigned,shards,shard,id,if,shards,is,empty,shards,size,meta,data,get,index,safe,shard,id,get,index,get,number,of,replicas,1,return,false,for,shard,routing,shard,shards,if,shard,active,return,false,return,true
RoutingNodes -> public boolean allReplicasActive(ShardId shardId, MetaData metaData);1540847035;Returns <code>true</code> iff all replicas are active for the given shard routing. Otherwise <code>false</code>;public boolean allReplicasActive(ShardId shardId, MetaData metaData) {_        final List<ShardRouting> shards = assignedShards(shardId)__        if (shards.isEmpty() || shards.size() < metaData.getIndexSafe(shardId.getIndex()).getNumberOfReplicas() + 1) {_            return false_ _        }_        for (ShardRouting shard : shards) {_            if (!shard.active()) {_                return false__            }_        }_        return true__    };returns,code,true,code,iff,all,replicas,are,active,for,the,given,shard,routing,otherwise,code,false,code;public,boolean,all,replicas,active,shard,id,shard,id,meta,data,meta,data,final,list,shard,routing,shards,assigned,shards,shard,id,if,shards,is,empty,shards,size,meta,data,get,index,safe,shard,id,get,index,get,number,of,replicas,1,return,false,for,shard,routing,shard,shards,if,shard,active,return,false,return,true
RoutingNodes -> public boolean allReplicasActive(ShardId shardId, MetaData metaData);1541446827;Returns <code>true</code> iff all replicas are active for the given shard routing. Otherwise <code>false</code>;public boolean allReplicasActive(ShardId shardId, MetaData metaData) {_        final List<ShardRouting> shards = assignedShards(shardId)__        if (shards.isEmpty() || shards.size() < metaData.getIndexSafe(shardId.getIndex()).getNumberOfReplicas() + 1) {_            return false_ _        }_        for (ShardRouting shard : shards) {_            if (!shard.active()) {_                return false__            }_        }_        return true__    };returns,code,true,code,iff,all,replicas,are,active,for,the,given,shard,routing,otherwise,code,false,code;public,boolean,all,replicas,active,shard,id,shard,id,meta,data,meta,data,final,list,shard,routing,shards,assigned,shards,shard,id,if,shards,is,empty,shards,size,meta,data,get,index,safe,shard,id,get,index,get,number,of,replicas,1,return,false,for,shard,routing,shard,shards,if,shard,active,return,false,return,true
RoutingNodes -> public boolean allReplicasActive(ShardId shardId, MetaData metaData);1548259585;Returns <code>true</code> iff all replicas are active for the given shard routing. Otherwise <code>false</code>;public boolean allReplicasActive(ShardId shardId, MetaData metaData) {_        final List<ShardRouting> shards = assignedShards(shardId)__        if (shards.isEmpty() || shards.size() < metaData.getIndexSafe(shardId.getIndex()).getNumberOfReplicas() + 1) {_            return false_ _        }_        for (ShardRouting shard : shards) {_            if (!shard.active()) {_                return false__            }_        }_        return true__    };returns,code,true,code,iff,all,replicas,are,active,for,the,given,shard,routing,otherwise,code,false,code;public,boolean,all,replicas,active,shard,id,shard,id,meta,data,meta,data,final,list,shard,routing,shards,assigned,shards,shard,id,if,shards,is,empty,shards,size,meta,data,get,index,safe,shard,id,get,index,get,number,of,replicas,1,return,false,for,shard,routing,shard,shards,if,shard,active,return,false,return,true
RoutingNodes -> public boolean allReplicasActive(ShardId shardId, MetaData metaData);1549912434;Returns <code>true</code> iff all replicas are active for the given shard routing. Otherwise <code>false</code>;public boolean allReplicasActive(ShardId shardId, MetaData metaData) {_        final List<ShardRouting> shards = assignedShards(shardId)__        if (shards.isEmpty() || shards.size() < metaData.getIndexSafe(shardId.getIndex()).getNumberOfReplicas() + 1) {_            return false_ _        }_        for (ShardRouting shard : shards) {_            if (!shard.active()) {_                return false__            }_        }_        return true__    };returns,code,true,code,iff,all,replicas,are,active,for,the,given,shard,routing,otherwise,code,false,code;public,boolean,all,replicas,active,shard,id,shard,id,meta,data,meta,data,final,list,shard,routing,shards,assigned,shards,shard,id,if,shards,is,empty,shards,size,meta,data,get,index,safe,shard,id,get,index,get,number,of,replicas,1,return,false,for,shard,routing,shard,shards,if,shard,active,return,false,return,true
RoutingNodes -> private ShardRouting removeRelocationSource(ShardRouting shard);1524684173;Removes relocation source of an initializing non-primary shard. This allows the replica shard to continue recovery from_the primary even though its non-primary relocation source has failed.;private ShardRouting removeRelocationSource(ShardRouting shard) {_        assert shard.isRelocationTarget() : "only relocation target shards can have their relocation source removed (" + shard + ")"__        ShardRouting relocationMarkerRemoved = shard.removeRelocationSource()__        updateAssigned(shard, relocationMarkerRemoved)__        inactiveShardCount++_ _        return relocationMarkerRemoved__    };removes,relocation,source,of,an,initializing,non,primary,shard,this,allows,the,replica,shard,to,continue,recovery,from,the,primary,even,though,its,non,primary,relocation,source,has,failed;private,shard,routing,remove,relocation,source,shard,routing,shard,assert,shard,is,relocation,target,only,relocation,target,shards,can,have,their,relocation,source,removed,shard,shard,routing,relocation,marker,removed,shard,remove,relocation,source,update,assigned,shard,relocation,marker,removed,inactive,shard,count,return,relocation,marker,removed
RoutingNodes -> private ShardRouting removeRelocationSource(ShardRouting shard);1540847035;Removes relocation source of an initializing non-primary shard. This allows the replica shard to continue recovery from_the primary even though its non-primary relocation source has failed.;private ShardRouting removeRelocationSource(ShardRouting shard) {_        assert shard.isRelocationTarget() : "only relocation target shards can have their relocation source removed (" + shard + ")"__        ShardRouting relocationMarkerRemoved = shard.removeRelocationSource()__        updateAssigned(shard, relocationMarkerRemoved)__        inactiveShardCount++_ _        return relocationMarkerRemoved__    };removes,relocation,source,of,an,initializing,non,primary,shard,this,allows,the,replica,shard,to,continue,recovery,from,the,primary,even,though,its,non,primary,relocation,source,has,failed;private,shard,routing,remove,relocation,source,shard,routing,shard,assert,shard,is,relocation,target,only,relocation,target,shards,can,have,their,relocation,source,removed,shard,shard,routing,relocation,marker,removed,shard,remove,relocation,source,update,assigned,shard,relocation,marker,removed,inactive,shard,count,return,relocation,marker,removed
RoutingNodes -> private ShardRouting removeRelocationSource(ShardRouting shard);1541446827;Removes relocation source of an initializing non-primary shard. This allows the replica shard to continue recovery from_the primary even though its non-primary relocation source has failed.;private ShardRouting removeRelocationSource(ShardRouting shard) {_        assert shard.isRelocationTarget() : "only relocation target shards can have their relocation source removed (" + shard + ")"__        ShardRouting relocationMarkerRemoved = shard.removeRelocationSource()__        updateAssigned(shard, relocationMarkerRemoved)__        inactiveShardCount++_ _        return relocationMarkerRemoved__    };removes,relocation,source,of,an,initializing,non,primary,shard,this,allows,the,replica,shard,to,continue,recovery,from,the,primary,even,though,its,non,primary,relocation,source,has,failed;private,shard,routing,remove,relocation,source,shard,routing,shard,assert,shard,is,relocation,target,only,relocation,target,shards,can,have,their,relocation,source,removed,shard,shard,routing,relocation,marker,removed,shard,remove,relocation,source,update,assigned,shard,relocation,marker,removed,inactive,shard,count,return,relocation,marker,removed
RoutingNodes -> private ShardRouting removeRelocationSource(ShardRouting shard);1548259585;Removes relocation source of an initializing non-primary shard. This allows the replica shard to continue recovery from_the primary even though its non-primary relocation source has failed.;private ShardRouting removeRelocationSource(ShardRouting shard) {_        assert shard.isRelocationTarget() : "only relocation target shards can have their relocation source removed (" + shard + ")"__        ShardRouting relocationMarkerRemoved = shard.removeRelocationSource()__        updateAssigned(shard, relocationMarkerRemoved)__        inactiveShardCount++_ _        return relocationMarkerRemoved__    };removes,relocation,source,of,an,initializing,non,primary,shard,this,allows,the,replica,shard,to,continue,recovery,from,the,primary,even,though,its,non,primary,relocation,source,has,failed;private,shard,routing,remove,relocation,source,shard,routing,shard,assert,shard,is,relocation,target,only,relocation,target,shards,can,have,their,relocation,source,removed,shard,shard,routing,relocation,marker,removed,shard,remove,relocation,source,update,assigned,shard,relocation,marker,removed,inactive,shard,count,return,relocation,marker,removed
