# id;timestamp;commentText;codeText;commentWords;codeWords
StaticApplicationContext -> @Override 	protected void assertBeanFactoryActive();1368142320;Overridden to turn it into a no-op, to be more lenient towards test cases.;@Override_	protected void assertBeanFactoryActive() {_	};overridden,to,turn,it,into,a,no,op,to,be,more,lenient,towards,test,cases;override,protected,void,assert,bean,factory,active
StaticApplicationContext -> @Override 	protected void assertBeanFactoryActive();1385412762;Overridden to turn it into a no-op, to be more lenient towards test cases.;@Override_	protected void assertBeanFactoryActive() {_	};overridden,to,turn,it,into,a,no,op,to,be,more,lenient,towards,test,cases;override,protected,void,assert,bean,factory,active
StaticApplicationContext -> @Override 	protected void assertBeanFactoryActive();1496837955;Overridden to turn it into a no-op, to be more lenient towards test cases.;@Override_	protected void assertBeanFactoryActive() {_	};overridden,to,turn,it,into,a,no,op,to,be,more,lenient,towards,test,cases;override,protected,void,assert,bean,factory,active
StaticApplicationContext -> public StaticApplicationContext(ApplicationContext parent) throws BeansException;1328020251;Create a new StaticApplicationContext with the given parent._@see #registerSingleton_@see #registerPrototype_@see #registerBeanDefinition_@see #refresh;public StaticApplicationContext(ApplicationContext parent) throws BeansException {_		super(parent)___		_		this.staticMessageSource = new StaticMessageSource()__		getBeanFactory().registerSingleton(MESSAGE_SOURCE_BEAN_NAME, this.staticMessageSource)__	};create,a,new,static,application,context,with,the,given,parent,see,register,singleton,see,register,prototype,see,register,bean,definition,see,refresh;public,static,application,context,application,context,parent,throws,beans,exception,super,parent,this,static,message,source,new,static,message,source,get,bean,factory,register,singleton,this,static,message,source
StaticApplicationContext -> public StaticApplicationContext(ApplicationContext parent) throws BeansException;1368142320;Create a new StaticApplicationContext with the given parent._@see #registerSingleton_@see #registerPrototype_@see #registerBeanDefinition_@see #refresh;public StaticApplicationContext(ApplicationContext parent) throws BeansException {_		super(parent)___		_		this.staticMessageSource = new StaticMessageSource()__		getBeanFactory().registerSingleton(MESSAGE_SOURCE_BEAN_NAME, this.staticMessageSource)__	};create,a,new,static,application,context,with,the,given,parent,see,register,singleton,see,register,prototype,see,register,bean,definition,see,refresh;public,static,application,context,application,context,parent,throws,beans,exception,super,parent,this,static,message,source,new,static,message,source,get,bean,factory,register,singleton,this,static,message,source
StaticApplicationContext -> public StaticApplicationContext(ApplicationContext parent) throws BeansException;1385412762;Create a new StaticApplicationContext with the given parent._@see #registerSingleton_@see #registerPrototype_@see #registerBeanDefinition_@see #refresh;public StaticApplicationContext(ApplicationContext parent) throws BeansException {_		super(parent)___		_		this.staticMessageSource = new StaticMessageSource()__		getBeanFactory().registerSingleton(MESSAGE_SOURCE_BEAN_NAME, this.staticMessageSource)__	};create,a,new,static,application,context,with,the,given,parent,see,register,singleton,see,register,prototype,see,register,bean,definition,see,refresh;public,static,application,context,application,context,parent,throws,beans,exception,super,parent,this,static,message,source,new,static,message,source,get,bean,factory,register,singleton,this,static,message,source
StaticApplicationContext -> public void addMessage(String code, Locale locale, String defaultMessage);1328020251;Associate the given message with the given code._@param code lookup code_@param locale locale message should be found within_@param defaultMessage message associated with this lookup code_@see #getStaticMessageSource;public void addMessage(String code, Locale locale, String defaultMessage) {_		getStaticMessageSource().addMessage(code, locale, defaultMessage)__	};associate,the,given,message,with,the,given,code,param,code,lookup,code,param,locale,locale,message,should,be,found,within,param,default,message,message,associated,with,this,lookup,code,see,get,static,message,source;public,void,add,message,string,code,locale,locale,string,default,message,get,static,message,source,add,message,code,locale,default,message
StaticApplicationContext -> public void addMessage(String code, Locale locale, String defaultMessage);1368142320;Associate the given message with the given code._@param code lookup code_@param locale locale message should be found within_@param defaultMessage message associated with this lookup code_@see #getStaticMessageSource;public void addMessage(String code, Locale locale, String defaultMessage) {_		getStaticMessageSource().addMessage(code, locale, defaultMessage)__	};associate,the,given,message,with,the,given,code,param,code,lookup,code,param,locale,locale,message,should,be,found,within,param,default,message,message,associated,with,this,lookup,code,see,get,static,message,source;public,void,add,message,string,code,locale,locale,string,default,message,get,static,message,source,add,message,code,locale,default,message
StaticApplicationContext -> public void addMessage(String code, Locale locale, String defaultMessage);1385412762;Associate the given message with the given code._@param code lookup code_@param locale locale message should be found within_@param defaultMessage message associated with this lookup code_@see #getStaticMessageSource;public void addMessage(String code, Locale locale, String defaultMessage) {_		getStaticMessageSource().addMessage(code, locale, defaultMessage)__	};associate,the,given,message,with,the,given,code,param,code,lookup,code,param,locale,locale,message,should,be,found,within,param,default,message,message,associated,with,this,lookup,code,see,get,static,message,source;public,void,add,message,string,code,locale,locale,string,default,message,get,static,message,source,add,message,code,locale,default,message
StaticApplicationContext -> public void addMessage(String code, Locale locale, String defaultMessage);1496837955;Associate the given message with the given code._@param code lookup code_@param locale locale message should be found within_@param defaultMessage message associated with this lookup code_@see #getStaticMessageSource;public void addMessage(String code, Locale locale, String defaultMessage) {_		getStaticMessageSource().addMessage(code, locale, defaultMessage)__	};associate,the,given,message,with,the,given,code,param,code,lookup,code,param,locale,locale,message,should,be,found,within,param,default,message,message,associated,with,this,lookup,code,see,get,static,message,source;public,void,add,message,string,code,locale,locale,string,default,message,get,static,message,source,add,message,code,locale,default,message
StaticApplicationContext -> public void registerSingleton(String name, Class<?> clazz, MutablePropertyValues pvs) throws BeansException;1385412762;Register a singleton bean with the underlying bean factory._<p>For more advanced needs, register with the underlying BeanFactory directly._@see #getDefaultListableBeanFactory;public void registerSingleton(String name, Class<?> clazz, MutablePropertyValues pvs) throws BeansException {_		GenericBeanDefinition bd = new GenericBeanDefinition()__		bd.setBeanClass(clazz)__		bd.setPropertyValues(pvs)__		getDefaultListableBeanFactory().registerBeanDefinition(name, bd)__	};register,a,singleton,bean,with,the,underlying,bean,factory,p,for,more,advanced,needs,register,with,the,underlying,bean,factory,directly,see,get,default,listable,bean,factory;public,void,register,singleton,string,name,class,clazz,mutable,property,values,pvs,throws,beans,exception,generic,bean,definition,bd,new,generic,bean,definition,bd,set,bean,class,clazz,bd,set,property,values,pvs,get,default,listable,bean,factory,register,bean,definition,name,bd
