# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1328020251;Actually invoke the <code>afterCompletion</code> methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the <code>registerAfterCompletionWithExistingTransaction</code> callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,code,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,code,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1356735495;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1357119239;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1368482696;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1407763209;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1413473170;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1425660345;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1437567612;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1486062666;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1486719573;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
AbstractPlatformTransactionManager -> protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus);1487371244;Actually invoke the {@code afterCompletion} methods of the_given Spring TransactionSynchronization objects._<p>To be called by this abstract manager itself, or by special implementations_of the {@code registerAfterCompletionWithExistingTransaction} callback._@param synchronizations List of TransactionSynchronization objects_@param completionStatus the completion status according to the_constants in the TransactionSynchronization interface_@see #registerAfterCompletionWithExistingTransaction(Object, java.util.List)_@see TransactionSynchronization#STATUS_COMMITTED_@see TransactionSynchronization#STATUS_ROLLED_BACK_@see TransactionSynchronization#STATUS_UNKNOWN;protected final void invokeAfterCompletion(List<TransactionSynchronization> synchronizations, int completionStatus) {_		TransactionSynchronizationUtils.invokeAfterCompletion(synchronizations, completionStatus)__	};actually,invoke,the,code,after,completion,methods,of,the,given,spring,transaction,synchronization,objects,p,to,be,called,by,this,abstract,manager,itself,or,by,special,implementations,of,the,code,register,after,completion,with,existing,transaction,callback,param,synchronizations,list,of,transaction,synchronization,objects,param,completion,status,the,completion,status,according,to,the,constants,in,the,transaction,synchronization,interface,see,register,after,completion,with,existing,transaction,object,java,util,list,see,transaction,synchronization,see,transaction,synchronization,see,transaction,synchronization;protected,final,void,invoke,after,completion,list,transaction,synchronization,synchronizations,int,completion,status,transaction,synchronization,utils,invoke,after,completion,synchronizations,completion,status
