# id;timestamp;commentText;codeText;commentWords;codeWords
SimpleTransactionStatus -> public SimpleTransactionStatus();1328020251;Create a new instance of the {@link SimpleTransactionStatus} class,_indicating a new transaction.;public SimpleTransactionStatus() {_		this(true)__	};create,a,new,instance,of,the,link,simple,transaction,status,class,indicating,a,new,transaction;public,simple,transaction,status,this,true
SimpleTransactionStatus -> public SimpleTransactionStatus();1356735495;Create a new instance of the {@link SimpleTransactionStatus} class,_indicating a new transaction.;public SimpleTransactionStatus() {_		this(true)__	};create,a,new,instance,of,the,link,simple,transaction,status,class,indicating,a,new,transaction;public,simple,transaction,status,this,true
SimpleTransactionStatus -> public SimpleTransactionStatus();1357119239;Create a new instance of the {@link SimpleTransactionStatus} class,_indicating a new transaction.;public SimpleTransactionStatus() {_		this(true)__	};create,a,new,instance,of,the,link,simple,transaction,status,class,indicating,a,new,transaction;public,simple,transaction,status,this,true
SimpleTransactionStatus -> public SimpleTransactionStatus();1368482696;Create a new instance of the {@link SimpleTransactionStatus} class,_indicating a new transaction.;public SimpleTransactionStatus() {_		this(true)__	};create,a,new,instance,of,the,link,simple,transaction,status,class,indicating,a,new,transaction;public,simple,transaction,status,this,true
SimpleTransactionStatus -> public SimpleTransactionStatus();1533921824;Create a new {@code SimpleTransactionStatus} instance,_indicating a new transaction.;public SimpleTransactionStatus() {_		this(true)__	};create,a,new,code,simple,transaction,status,instance,indicating,a,new,transaction;public,simple,transaction,status,this,true
SimpleTransactionStatus -> public SimpleTransactionStatus(boolean newTransaction);1328020251;Create a new instance of the {@link SimpleTransactionStatus} class._@param newTransaction whether to indicate a new transaction;public SimpleTransactionStatus(boolean newTransaction) {_		this.newTransaction = newTransaction__	};create,a,new,instance,of,the,link,simple,transaction,status,class,param,new,transaction,whether,to,indicate,a,new,transaction;public,simple,transaction,status,boolean,new,transaction,this,new,transaction,new,transaction
SimpleTransactionStatus -> public SimpleTransactionStatus(boolean newTransaction);1356735495;Create a new instance of the {@link SimpleTransactionStatus} class._@param newTransaction whether to indicate a new transaction;public SimpleTransactionStatus(boolean newTransaction) {_		this.newTransaction = newTransaction__	};create,a,new,instance,of,the,link,simple,transaction,status,class,param,new,transaction,whether,to,indicate,a,new,transaction;public,simple,transaction,status,boolean,new,transaction,this,new,transaction,new,transaction
SimpleTransactionStatus -> public SimpleTransactionStatus(boolean newTransaction);1357119239;Create a new instance of the {@link SimpleTransactionStatus} class._@param newTransaction whether to indicate a new transaction;public SimpleTransactionStatus(boolean newTransaction) {_		this.newTransaction = newTransaction__	};create,a,new,instance,of,the,link,simple,transaction,status,class,param,new,transaction,whether,to,indicate,a,new,transaction;public,simple,transaction,status,boolean,new,transaction,this,new,transaction,new,transaction
SimpleTransactionStatus -> public SimpleTransactionStatus(boolean newTransaction);1368482696;Create a new instance of the {@link SimpleTransactionStatus} class._@param newTransaction whether to indicate a new transaction;public SimpleTransactionStatus(boolean newTransaction) {_		this.newTransaction = newTransaction__	};create,a,new,instance,of,the,link,simple,transaction,status,class,param,new,transaction,whether,to,indicate,a,new,transaction;public,simple,transaction,status,boolean,new,transaction,this,new,transaction,new,transaction
SimpleTransactionStatus -> public SimpleTransactionStatus(boolean newTransaction);1533921824;Create a new {@code SimpleTransactionStatus} instance._@param newTransaction whether to indicate a new transaction;public SimpleTransactionStatus(boolean newTransaction) {_		this.newTransaction = newTransaction__	};create,a,new,code,simple,transaction,status,instance,param,new,transaction,whether,to,indicate,a,new,transaction;public,simple,transaction,status,boolean,new,transaction,this,new,transaction,new,transaction
