commented;modifiers;parameterAmount;loc;comment;code
false;public;0;4;;@Override public PersistentTaskResponse newResponse() {     return new PersistentTaskResponse(). }
false;public;1;3;;public void setTaskId(String taskId) {     this.taskId = taskId. }
false;public;1;5;;@Override public void readFrom(StreamInput in) throws IOException {     super.readFrom(in).     taskId = in.readString(). }
false;public;1;5;;@Override public void writeTo(StreamOutput out) throws IOException {     super.writeTo(out).     out.writeString(taskId). }
false;public;0;4;;@Override public ActionRequestValidationException validate() {     return null. }
false;public;1;7;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     Request request = (Request) o.     return Objects.equals(taskId, request.taskId). }
false;public;0;4;;@Override public int hashCode() {     return Objects.hash(taskId). }
false;public,final;1;4;;public final RequestBuilder setTaskId(String taskId) {     request.setTaskId(taskId).     return this. }
false;protected;0;4;;@Override protected String executor() {     return ThreadPool.Names.MANAGEMENT. }
false;protected;0;4;;@Override protected PersistentTaskResponse newResponse() {     return new PersistentTaskResponse(). }
false;protected;2;5;;@Override protected ClusterBlockException checkBlock(Request request, ClusterState state) {     // Cluster is not affected but we look up repositories in metadata     return state.blocks().globalBlockedException(ClusterBlockLevel.METADATA_WRITE). }
false;public;1;4;;@Override public void onResponse(PersistentTask<?> task) {     listener.onResponse(new PersistentTaskResponse(task)). }
false;public;1;4;;@Override public void onFailure(Exception e) {     listener.onFailure(e). }
false;protected,final;3;15;;@Override protected final void masterOperation(final Request request, ClusterState state, final ActionListener<PersistentTaskResponse> listener) {     persistentTasksClusterService.removePersistentTask(request.taskId, new ActionListener<PersistentTask<?>>() {          @Override         public void onResponse(PersistentTask<?> task) {             listener.onResponse(new PersistentTaskResponse(task)).         }          @Override         public void onFailure(Exception e) {             listener.onFailure(e).         }     }). }
