# id;timestamp;commentText;codeText;commentWords;codeWords
AhcBinding -> Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;1307105209;Prepares the AHC {@link Request} to be send.__@param endpoint the endpoint_@param exchange the exchange_@return the request to send using the {@link com.ning.http.client.AsyncHttpClient}_@throws Exception is thrown if error occurred preparing the request;Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;prepares,the,ahc,link,request,to,be,send,param,endpoint,the,endpoint,param,exchange,the,exchange,return,the,request,to,send,using,the,link,com,ning,http,client,async,http,client,throws,exception,is,thrown,if,error,occurred,preparing,the,request;request,prepare,request,ahc,endpoint,endpoint,exchange,exchange,throws,exception
AhcBinding -> Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;1467134546;Prepares the AHC {@link Request} to be send.__@param endpoint the endpoint_@param exchange the exchange_@return the request to send using the {@link com.ning.http.client.AsyncHttpClient}_@throws Exception is thrown if error occurred preparing the request;Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;prepares,the,ahc,link,request,to,be,send,param,endpoint,the,endpoint,param,exchange,the,exchange,return,the,request,to,send,using,the,link,com,ning,http,client,async,http,client,throws,exception,is,thrown,if,error,occurred,preparing,the,request;request,prepare,request,ahc,endpoint,endpoint,exchange,exchange,throws,exception
AhcBinding -> Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;1518084301;Prepares the AHC {@link Request} to be send.__@param endpoint the endpoint_@param exchange the exchange_@return the request to send using the {@link com.ning.http.client.AsyncHttpClient}_@throws Exception is thrown if error occurred preparing the request;Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;prepares,the,ahc,link,request,to,be,send,param,endpoint,the,endpoint,param,exchange,the,exchange,return,the,request,to,send,using,the,link,com,ning,http,client,async,http,client,throws,exception,is,thrown,if,error,occurred,preparing,the,request;request,prepare,request,ahc,endpoint,endpoint,exchange,exchange,throws,exception
AhcBinding -> Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;1518637600;Prepares the AHC {@link Request} to be send.__@param endpoint the endpoint_@param exchange the exchange_@return the request to send using the {@link com.ning.http.client.AsyncHttpClient}_@throws Exception is thrown if error occurred preparing the request;Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;prepares,the,ahc,link,request,to,be,send,param,endpoint,the,endpoint,param,exchange,the,exchange,return,the,request,to,send,using,the,link,com,ning,http,client,async,http,client,throws,exception,is,thrown,if,error,occurred,preparing,the,request;request,prepare,request,ahc,endpoint,endpoint,exchange,exchange,throws,exception
AhcBinding -> Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;1537290824;Prepares the AHC {@link Request} to be send.__@param endpoint the endpoint_@param exchange the exchange_@return the request to send using the {@link com.ning.http.client.AsyncHttpClient}_@throws Exception is thrown if error occurred preparing the request;Request prepareRequest(AhcEndpoint endpoint, Exchange exchange) throws Exception_;prepares,the,ahc,link,request,to,be,send,param,endpoint,the,endpoint,param,exchange,the,exchange,return,the,request,to,send,using,the,link,com,ning,http,client,async,http,client,throws,exception,is,thrown,if,error,occurred,preparing,the,request;request,prepare,request,ahc,endpoint,endpoint,exchange,exchange,throws,exception
AhcBinding -> void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpResponseHeaders headers) throws Exception_;1307105209;Callback from the {@link com.ning.http.client.AsyncHttpClient} when the HTTP headers was received__@param endpoint the endpoint_@param exchange the exchange_@param headers  the HTTP headers_@throws Exception is thrown if error occurred in the callback;void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpResponseHeaders headers) throws Exception_;callback,from,the,link,com,ning,http,client,async,http,client,when,the,http,headers,was,received,param,endpoint,the,endpoint,param,exchange,the,exchange,param,headers,the,http,headers,throws,exception,is,thrown,if,error,occurred,in,the,callback;void,on,headers,received,ahc,endpoint,endpoint,exchange,exchange,http,response,headers,headers,throws,exception
AhcBinding -> void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpResponseHeaders headers) throws Exception_;1467134546;Callback from the {@link com.ning.http.client.AsyncHttpClient} when the HTTP headers was received__@param endpoint the endpoint_@param exchange the exchange_@param headers  the HTTP headers_@throws Exception is thrown if error occurred in the callback;void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpResponseHeaders headers) throws Exception_;callback,from,the,link,com,ning,http,client,async,http,client,when,the,http,headers,was,received,param,endpoint,the,endpoint,param,exchange,the,exchange,param,headers,the,http,headers,throws,exception,is,thrown,if,error,occurred,in,the,callback;void,on,headers,received,ahc,endpoint,endpoint,exchange,exchange,http,response,headers,headers,throws,exception
AhcBinding -> void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpHeaders headers) throws Exception_;1518084301;Callback from the {@link com.ning.http.client.AsyncHttpClient} when the HTTP headers was received__@param endpoint the endpoint_@param exchange the exchange_@param headers  the HTTP headers_@throws Exception is thrown if error occurred in the callback;void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpHeaders headers) throws Exception_;callback,from,the,link,com,ning,http,client,async,http,client,when,the,http,headers,was,received,param,endpoint,the,endpoint,param,exchange,the,exchange,param,headers,the,http,headers,throws,exception,is,thrown,if,error,occurred,in,the,callback;void,on,headers,received,ahc,endpoint,endpoint,exchange,exchange,http,headers,headers,throws,exception
AhcBinding -> void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpHeaders headers) throws Exception_;1518637600;Callback from the {@link com.ning.http.client.AsyncHttpClient} when the HTTP headers was received__@param endpoint the endpoint_@param exchange the exchange_@param headers  the HTTP headers_@throws Exception is thrown if error occurred in the callback;void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpHeaders headers) throws Exception_;callback,from,the,link,com,ning,http,client,async,http,client,when,the,http,headers,was,received,param,endpoint,the,endpoint,param,exchange,the,exchange,param,headers,the,http,headers,throws,exception,is,thrown,if,error,occurred,in,the,callback;void,on,headers,received,ahc,endpoint,endpoint,exchange,exchange,http,headers,headers,throws,exception
AhcBinding -> void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpHeaders headers) throws Exception_;1537290824;Callback from the {@link com.ning.http.client.AsyncHttpClient} when the HTTP headers was received__@param endpoint the endpoint_@param exchange the exchange_@param headers  the HTTP headers_@throws Exception is thrown if error occurred in the callback;void onHeadersReceived(AhcEndpoint endpoint, Exchange exchange, HttpHeaders headers) throws Exception_;callback,from,the,link,com,ning,http,client,async,http,client,when,the,http,headers,was,received,param,endpoint,the,endpoint,param,exchange,the,exchange,param,headers,the,http,headers,throws,exception,is,thrown,if,error,occurred,in,the,callback;void,on,headers,received,ahc,endpoint,endpoint,exchange,exchange,http,headers,headers,throws,exception
AhcBinding -> void onComplete(AhcEndpoint endpoint, Exchange exchange, String url, ByteArrayOutputStream os, int contentLength,                     int statusCode, String statusText) throws Exception_;1307105209;Callback from the {@link com.ning.http.client.AsyncHttpClient} when complete and all the response has been received.___@param endpoint      the endpoint_@param exchange      the exchange_@param url           the url requested_@param os            output stream with the HTTP response body_@param contentLength length of the response body_@param statusCode    the http response code_@param statusText    the http status text_@throws Exception is thrown if error occurred in the callback;void onComplete(AhcEndpoint endpoint, Exchange exchange, String url, ByteArrayOutputStream os, int contentLength,_                    int statusCode, String statusText) throws Exception_;callback,from,the,link,com,ning,http,client,async,http,client,when,complete,and,all,the,response,has,been,received,param,endpoint,the,endpoint,param,exchange,the,exchange,param,url,the,url,requested,param,os,output,stream,with,the,http,response,body,param,content,length,length,of,the,response,body,param,status,code,the,http,response,code,param,status,text,the,http,status,text,throws,exception,is,thrown,if,error,occurred,in,the,callback;void,on,complete,ahc,endpoint,endpoint,exchange,exchange,string,url,byte,array,output,stream,os,int,content,length,int,status,code,string,status,text,throws,exception
