# id;timestamp;commentText;codeText;commentWords;codeWords
StreamEndpoint -> public void setDelay(long delay);1430121382;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1451237129;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1473684123;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1475847630;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1486028039;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1528200424;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1528551496;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1528551765;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1540108158;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1540108160;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1540108163;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1547240981;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1547480087;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setDelay(long delay);1548660891;Initial delay in milliseconds before producing the stream.;public void setDelay(long delay) {_        this.delay = delay__    };initial,delay,in,milliseconds,before,producing,the,stream;public,void,set,delay,long,delay,this,delay,delay
StreamEndpoint -> public void setFile(String file);1213944924;@deprecated use camel-file component. Will be removed in Camel 2.0;public void setFile(String file) {_        this.file = file__    };deprecated,use,camel,file,component,will,be,removed,in,camel,2,0;public,void,set,file,string,file,this,file,file
StreamEndpoint -> public void setFile(String file);1226284843;@deprecated use camel-file component. Will be removed in Camel 2.0;public void setFile(String file) {_        this.file = file__    };deprecated,use,camel,file,component,will,be,removed,in,camel,2,0;public,void,set,file,string,file,this,file,file
StreamEndpoint -> public void setFile(String file);1226296872;@deprecated use camel-file component. Will be removed in Camel 2.0;public void setFile(String file) {_        this.file = file__    };deprecated,use,camel,file,component,will,be,removed,in,camel,2,0;public,void,set,file,string,file,this,file,file
StreamEndpoint -> public void setFile(String file);1226378057;@deprecated use camel-file component. Will be removed in Camel 2.0;public void setFile(String file) {_        this.file = file__    };deprecated,use,camel,file,component,will,be,removed,in,camel,2,0;public,void,set,file,string,file,this,file,file
StreamEndpoint -> public void setInitialPromptDelay(long initialPromptDelay);1430121382;Initial delay in milliseconds before showing the message prompt. This delay occurs only once._Can be used during system startup to avoid message prompts being written while other logging is done to the system out.;public void setInitialPromptDelay(long initialPromptDelay) {_        this.initialPromptDelay = initialPromptDelay__    };initial,delay,in,milliseconds,before,showing,the,message,prompt,this,delay,occurs,only,once,can,be,used,during,system,startup,to,avoid,message,prompts,being,written,while,other,logging,is,done,to,the,system,out;public,void,set,initial,prompt,delay,long,initial,prompt,delay,this,initial,prompt,delay,initial,prompt,delay
StreamEndpoint -> public void setInitialPromptDelay(long initialPromptDelay);1451237129;Initial delay in milliseconds before showing the message prompt. This delay occurs only once._Can be used during system startup to avoid message prompts being written while other logging is done to the system out.;public void setInitialPromptDelay(long initialPromptDelay) {_        this.initialPromptDelay = initialPromptDelay__    };initial,delay,in,milliseconds,before,showing,the,message,prompt,this,delay,occurs,only,once,can,be,used,during,system,startup,to,avoid,message,prompts,being,written,while,other,logging,is,done,to,the,system,out;public,void,set,initial,prompt,delay,long,initial,prompt,delay,this,initial,prompt,delay,initial,prompt,delay
StreamEndpoint -> public void setInitialPromptDelay(long initialPromptDelay);1473684123;Initial delay in milliseconds before showing the message prompt. This delay occurs only once._Can be used during system startup to avoid message prompts being written while other logging is done to the system out.;public void setInitialPromptDelay(long initialPromptDelay) {_        this.initialPromptDelay = initialPromptDelay__    };initial,delay,in,milliseconds,before,showing,the,message,prompt,this,delay,occurs,only,once,can,be,used,during,system,startup,to,avoid,message,prompts,being,written,while,other,logging,is,done,to,the,system,out;public,void,set,initial,prompt,delay,long,initial,prompt,delay,this,initial,prompt,delay,initial,prompt,delay
