# id;timestamp;commentText;codeText;commentWords;codeWords
AbstractPdfView -> protected Document newDocument();1328020251;Create a new document to hold the PDF contents._<p>By default returns an A4 document, but the subclass can specify any_Document, possibly parameterized via bean properties defined on the View._@return the newly created iText Document instance_@see com.lowagie.text.Document#Document(com.lowagie.text.Rectangle);protected Document newDocument() {_		return new Document(PageSize.A4)__	};create,a,new,document,to,hold,the,pdf,contents,p,by,default,returns,an,a4,document,but,the,subclass,can,specify,any,document,possibly,parameterized,via,bean,properties,defined,on,the,view,return,the,newly,created,i,text,document,instance,see,com,lowagie,text,document,document,com,lowagie,text,rectangle;protected,document,new,document,return,new,document,page,size,a4
AbstractPdfView -> protected Document newDocument();1356735495;Create a new document to hold the PDF contents._<p>By default returns an A4 document, but the subclass can specify any_Document, possibly parameterized via bean properties defined on the View._@return the newly created iText Document instance_@see com.lowagie.text.Document#Document(com.lowagie.text.Rectangle);protected Document newDocument() {_		return new Document(PageSize.A4)__	};create,a,new,document,to,hold,the,pdf,contents,p,by,default,returns,an,a4,document,but,the,subclass,can,specify,any,document,possibly,parameterized,via,bean,properties,defined,on,the,view,return,the,newly,created,i,text,document,instance,see,com,lowagie,text,document,document,com,lowagie,text,rectangle;protected,document,new,document,return,new,document,page,size,a4
AbstractPdfView -> protected Document newDocument();1385423968;Create a new document to hold the PDF contents._<p>By default returns an A4 document, but the subclass can specify any_Document, possibly parameterized via bean properties defined on the View._@return the newly created iText Document instance_@see com.lowagie.text.Document#Document(com.lowagie.text.Rectangle);protected Document newDocument() {_		return new Document(PageSize.A4)__	};create,a,new,document,to,hold,the,pdf,contents,p,by,default,returns,an,a4,document,but,the,subclass,can,specify,any,document,possibly,parameterized,via,bean,properties,defined,on,the,view,return,the,newly,created,i,text,document,instance,see,com,lowagie,text,document,document,com,lowagie,text,rectangle;protected,document,new,document,return,new,document,page,size,a4
AbstractPdfView -> protected Document newDocument();1508843693;Create a new document to hold the PDF contents._<p>By default returns an A4 document, but the subclass can specify any_Document, possibly parameterized via bean properties defined on the View._@return the newly created iText Document instance_@see com.lowagie.text.Document#Document(com.lowagie.text.Rectangle);protected Document newDocument() {_		return new Document(PageSize.A4)__	};create,a,new,document,to,hold,the,pdf,contents,p,by,default,returns,an,a4,document,but,the,subclass,can,specify,any,document,possibly,parameterized,via,bean,properties,defined,on,the,view,return,the,newly,created,i,text,document,instance,see,com,lowagie,text,document,document,com,lowagie,text,rectangle;protected,document,new,document,return,new,document,page,size,a4
AbstractPdfView -> protected Document newDocument();1520438925;Create a new document to hold the PDF contents._<p>By default returns an A4 document, but the subclass can specify any_Document, possibly parameterized via bean properties defined on the View._@return the newly created iText Document instance_@see com.lowagie.text.Document#Document(com.lowagie.text.Rectangle);protected Document newDocument() {_		return new Document(PageSize.A4)__	};create,a,new,document,to,hold,the,pdf,contents,p,by,default,returns,an,a4,document,but,the,subclass,can,specify,any,document,possibly,parameterized,via,bean,properties,defined,on,the,view,return,the,newly,created,i,text,document,instance,see,com,lowagie,text,document,document,com,lowagie,text,rectangle;protected,document,new,document,return,new,document,page,size,a4
AbstractPdfView -> protected int getViewerPreferences();1328020251;Return the viewer preferences for the PDF file._<p>By default returns <code>AllowPrinting</code> and_<code>PageLayoutSinglePage</code>, but can be subclassed._The subclass can either have fixed preferences or retrieve_them from bean properties defined on the View._@return an int containing the bits information against PdfWriter definitions_@see com.lowagie.text.pdf.PdfWriter#AllowPrinting_@see com.lowagie.text.pdf.PdfWriter#PageLayoutSinglePage;protected int getViewerPreferences() {_		return PdfWriter.ALLOW_PRINTING | PdfWriter.PageLayoutSinglePage__	};return,the,viewer,preferences,for,the,pdf,file,p,by,default,returns,code,allow,printing,code,and,code,page,layout,single,page,code,but,can,be,subclassed,the,subclass,can,either,have,fixed,preferences,or,retrieve,them,from,bean,properties,defined,on,the,view,return,an,int,containing,the,bits,information,against,pdf,writer,definitions,see,com,lowagie,text,pdf,pdf,writer,allow,printing,see,com,lowagie,text,pdf,pdf,writer,page,layout,single,page;protected,int,get,viewer,preferences,return,pdf,writer,pdf,writer,page,layout,single,page
AbstractPdfView -> protected int getViewerPreferences();1356735495;Return the viewer preferences for the PDF file._<p>By default returns {@code AllowPrinting} and_{@code PageLayoutSinglePage}, but can be subclassed._The subclass can either have fixed preferences or retrieve_them from bean properties defined on the View._@return an int containing the bits information against PdfWriter definitions_@see com.lowagie.text.pdf.PdfWriter#AllowPrinting_@see com.lowagie.text.pdf.PdfWriter#PageLayoutSinglePage;protected int getViewerPreferences() {_		return PdfWriter.ALLOW_PRINTING | PdfWriter.PageLayoutSinglePage__	};return,the,viewer,preferences,for,the,pdf,file,p,by,default,returns,code,allow,printing,and,code,page,layout,single,page,but,can,be,subclassed,the,subclass,can,either,have,fixed,preferences,or,retrieve,them,from,bean,properties,defined,on,the,view,return,an,int,containing,the,bits,information,against,pdf,writer,definitions,see,com,lowagie,text,pdf,pdf,writer,allow,printing,see,com,lowagie,text,pdf,pdf,writer,page,layout,single,page;protected,int,get,viewer,preferences,return,pdf,writer,pdf,writer,page,layout,single,page
AbstractPdfView -> protected int getViewerPreferences();1385423968;Return the viewer preferences for the PDF file._<p>By default returns {@code AllowPrinting} and_{@code PageLayoutSinglePage}, but can be subclassed._The subclass can either have fixed preferences or retrieve_them from bean properties defined on the View._@return an int containing the bits information against PdfWriter definitions_@see com.lowagie.text.pdf.PdfWriter#AllowPrinting_@see com.lowagie.text.pdf.PdfWriter#PageLayoutSinglePage;protected int getViewerPreferences() {_		return PdfWriter.ALLOW_PRINTING | PdfWriter.PageLayoutSinglePage__	};return,the,viewer,preferences,for,the,pdf,file,p,by,default,returns,code,allow,printing,and,code,page,layout,single,page,but,can,be,subclassed,the,subclass,can,either,have,fixed,preferences,or,retrieve,them,from,bean,properties,defined,on,the,view,return,an,int,containing,the,bits,information,against,pdf,writer,definitions,see,com,lowagie,text,pdf,pdf,writer,allow,printing,see,com,lowagie,text,pdf,pdf,writer,page,layout,single,page;protected,int,get,viewer,preferences,return,pdf,writer,pdf,writer,page,layout,single,page
AbstractPdfView -> protected int getViewerPreferences();1508843693;Return the viewer preferences for the PDF file._<p>By default returns {@code AllowPrinting} and_{@code PageLayoutSinglePage}, but can be subclassed._The subclass can either have fixed preferences or retrieve_them from bean properties defined on the View._@return an int containing the bits information against PdfWriter definitions_@see com.lowagie.text.pdf.PdfWriter#AllowPrinting_@see com.lowagie.text.pdf.PdfWriter#PageLayoutSinglePage;protected int getViewerPreferences() {_		return PdfWriter.ALLOW_PRINTING | PdfWriter.PageLayoutSinglePage__	};return,the,viewer,preferences,for,the,pdf,file,p,by,default,returns,code,allow,printing,and,code,page,layout,single,page,but,can,be,subclassed,the,subclass,can,either,have,fixed,preferences,or,retrieve,them,from,bean,properties,defined,on,the,view,return,an,int,containing,the,bits,information,against,pdf,writer,definitions,see,com,lowagie,text,pdf,pdf,writer,allow,printing,see,com,lowagie,text,pdf,pdf,writer,page,layout,single,page;protected,int,get,viewer,preferences,return,pdf,writer,pdf,writer,page,layout,single,page
AbstractPdfView -> protected int getViewerPreferences();1520438925;Return the viewer preferences for the PDF file._<p>By default returns {@code AllowPrinting} and_{@code PageLayoutSinglePage}, but can be subclassed._The subclass can either have fixed preferences or retrieve_them from bean properties defined on the View._@return an int containing the bits information against PdfWriter definitions_@see com.lowagie.text.pdf.PdfWriter#AllowPrinting_@see com.lowagie.text.pdf.PdfWriter#PageLayoutSinglePage;protected int getViewerPreferences() {_		return PdfWriter.ALLOW_PRINTING | PdfWriter.PageLayoutSinglePage__	};return,the,viewer,preferences,for,the,pdf,file,p,by,default,returns,code,allow,printing,and,code,page,layout,single,page,but,can,be,subclassed,the,subclass,can,either,have,fixed,preferences,or,retrieve,them,from,bean,properties,defined,on,the,view,return,an,int,containing,the,bits,information,against,pdf,writer,definitions,see,com,lowagie,text,pdf,pdf,writer,allow,printing,see,com,lowagie,text,pdf,pdf,writer,page,layout,single,page;protected,int,get,viewer,preferences,return,pdf,writer,pdf,writer,page,layout,single,page
AbstractPdfView -> protected void prepareWriter(Map<String, Object> model, PdfWriter writer, HttpServletRequest request) 			throws DocumentException;1328020251;Prepare the given PdfWriter. Called before building the PDF document,_that is, before the call to <code>Document.open()</code>._<p>Useful for registering a page event listener, for example._The default implementation sets the viewer preferences as returned_by this class's <code>getViewerPreferences()</code> method._@param model the model, in case meta information must be populated from it_@param writer the PdfWriter to prepare_@param request in case we need locale etc. Shouldn't look at attributes._@throws DocumentException if thrown during writer preparation_@see com.lowagie.text.Document#open()_@see com.lowagie.text.pdf.PdfWriter#setPageEvent_@see com.lowagie.text.pdf.PdfWriter#setViewerPreferences_@see #getViewerPreferences();protected void prepareWriter(Map<String, Object> model, PdfWriter writer, HttpServletRequest request)_			throws DocumentException {__		writer.setViewerPreferences(getViewerPreferences())__	};prepare,the,given,pdf,writer,called,before,building,the,pdf,document,that,is,before,the,call,to,code,document,open,code,p,useful,for,registering,a,page,event,listener,for,example,the,default,implementation,sets,the,viewer,preferences,as,returned,by,this,class,s,code,get,viewer,preferences,code,method,param,model,the,model,in,case,meta,information,must,be,populated,from,it,param,writer,the,pdf,writer,to,prepare,param,request,in,case,we,need,locale,etc,shouldn,t,look,at,attributes,throws,document,exception,if,thrown,during,writer,preparation,see,com,lowagie,text,document,open,see,com,lowagie,text,pdf,pdf,writer,set,page,event,see,com,lowagie,text,pdf,pdf,writer,set,viewer,preferences,see,get,viewer,preferences;protected,void,prepare,writer,map,string,object,model,pdf,writer,writer,http,servlet,request,request,throws,document,exception,writer,set,viewer,preferences,get,viewer,preferences
