commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public FacebookConfigurationNestedConfiguration getConfiguration() {     return configuration. }
false;public;1;4;;public void setConfiguration(FacebookConfigurationNestedConfiguration configuration) {     this.configuration = configuration. }
false;public;0;3;;public Boolean getResolvePropertyPlaceholders() {     return resolvePropertyPlaceholders. }
false;public;1;4;;public void setResolvePropertyPlaceholders(Boolean resolvePropertyPlaceholders) {     this.resolvePropertyPlaceholders = resolvePropertyPlaceholders. }
false;public;0;3;;public String getOAuthAccessToken() {     return oAuthAccessToken. }
false;public;1;3;;public void setOAuthAccessToken(String oAuthAccessToken) {     this.oAuthAccessToken = oAuthAccessToken. }
false;public;0;3;;public String getOAuthAccessTokenURL() {     return oAuthAccessTokenURL. }
false;public;1;3;;public void setOAuthAccessTokenURL(String oAuthAccessTokenURL) {     this.oAuthAccessTokenURL = oAuthAccessTokenURL. }
false;public;0;3;;public String getOAuthAppId() {     return oAuthAppId. }
false;public;1;3;;public void setOAuthAppId(String oAuthAppId) {     this.oAuthAppId = oAuthAppId. }
false;public;0;3;;public String getOAuthAppSecret() {     return oAuthAppSecret. }
false;public;1;3;;public void setOAuthAppSecret(String oAuthAppSecret) {     this.oAuthAppSecret = oAuthAppSecret. }
false;public;0;3;;public String getOAuthAuthorizationURL() {     return oAuthAuthorizationURL. }
false;public;1;3;;public void setOAuthAuthorizationURL(String oAuthAuthorizationURL) {     this.oAuthAuthorizationURL = oAuthAuthorizationURL. }
false;public;0;3;;public String getClientURL() {     return clientURL. }
false;public;1;3;;public void setClientURL(String clientURL) {     this.clientURL = clientURL. }
false;public;0;3;;public String getClientVersion() {     return clientVersion. }
false;public;1;3;;public void setClientVersion(String clientVersion) {     this.clientVersion = clientVersion. }
false;public;0;3;;public Boolean getDebugEnabled() {     return debugEnabled. }
false;public;1;3;;public void setDebugEnabled(Boolean debugEnabled) {     this.debugEnabled = debugEnabled. }
false;public;0;3;;public Boolean getGzipEnabled() {     return gzipEnabled. }
false;public;1;3;;public void setGzipEnabled(Boolean gzipEnabled) {     this.gzipEnabled = gzipEnabled. }
false;public;0;3;;public Integer getHttpConnectionTimeout() {     return httpConnectionTimeout. }
false;public;1;3;;public void setHttpConnectionTimeout(Integer httpConnectionTimeout) {     this.httpConnectionTimeout = httpConnectionTimeout. }
false;public;0;3;;public Integer getHttpDefaultMaxPerRoute() {     return httpDefaultMaxPerRoute. }
false;public;1;3;;public void setHttpDefaultMaxPerRoute(Integer httpDefaultMaxPerRoute) {     this.httpDefaultMaxPerRoute = httpDefaultMaxPerRoute. }
false;public;0;3;;public Integer getHttpMaxTotalConnections() {     return httpMaxTotalConnections. }
