commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public BindyType getType() {     return type. }
false;public;1;3;;public void setType(BindyType type) {     this.type = type. }
false;public;0;3;;public String getClassType() {     return classType. }
false;public;1;3;;public void setClassType(String classType) {     this.classType = classType. }
false;public;0;3;;public String getLocale() {     return locale. }
false;public;1;3;;public void setLocale(String locale) {     this.locale = locale. }
false;public;0;3;;public Boolean getUnwrapSingleInstance() {     return unwrapSingleInstance. }
false;public;1;3;;public void setUnwrapSingleInstance(Boolean unwrapSingleInstance) {     this.unwrapSingleInstance = unwrapSingleInstance. }
false;public;0;3;;public Boolean getContentTypeHeader() {     return contentTypeHeader. }
false;public;1;3;;public void setContentTypeHeader(Boolean contentTypeHeader) {     this.contentTypeHeader = contentTypeHeader. }
