# id;timestamp;commentText;codeText;commentWords;codeWords
AuditApplicationEvent -> public AuditEvent getAuditEvent();1507173536;Get the audit event._@return the audit event;public AuditEvent getAuditEvent() {_		return this.auditEvent__	};get,the,audit,event,return,the,audit,event;public,audit,event,get,audit,event,return,this,audit,event
AuditApplicationEvent -> public AuditEvent getAuditEvent();1507661773;Get the audit event._@return the audit event;public AuditEvent getAuditEvent() {_		return this.auditEvent__	};get,the,audit,event,return,the,audit,event;public,audit,event,get,audit,event,return,this,audit,event
AuditApplicationEvent -> public AuditEvent getAuditEvent();1515777965;Get the audit event._@return the audit event;public AuditEvent getAuditEvent() {_		return this.auditEvent__	};get,the,audit,event,return,the,audit,event;public,audit,event,get,audit,event,return,this,audit,event
AuditApplicationEvent -> public AuditApplicationEvent(String principal, String type, String... data);1507173536;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(String, String, String...);public AuditApplicationEvent(String principal, String type, String... data) {_		this(new AuditEvent(principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,string,string,string;public,audit,application,event,string,principal,string,type,string,data,this,new,audit,event,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(String principal, String type, String... data);1507661773;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(String, String, String...);public AuditApplicationEvent(String principal, String type, String... data) {_		this(new AuditEvent(principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,string,string,string;public,audit,application,event,string,principal,string,type,string,data,this,new,audit,event,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(String principal, String type, String... data);1515777965;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(String, String, String...);public AuditApplicationEvent(String principal, String type, String... data) {_		this(new AuditEvent(principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,string,string,string;public,audit,application,event,string,principal,string,type,string,data,this,new,audit,event,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(Date timestamp, String principal, String type, 			Map<String, Object> data);1507173536;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param timestamp the time stamp_@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(Date, String, String, Map);public AuditApplicationEvent(Date timestamp, String principal, String type,_			Map<String, Object> data) {_		this(new AuditEvent(timestamp, principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,timestamp,the,time,stamp,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,date,string,string,map;public,audit,application,event,date,timestamp,string,principal,string,type,map,string,object,data,this,new,audit,event,timestamp,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(Date timestamp, String principal, String type, 			Map<String, Object> data);1507661773;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param timestamp the time stamp_@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(Date, String, String, Map);public AuditApplicationEvent(Date timestamp, String principal, String type,_			Map<String, Object> data) {_		this(new AuditEvent(timestamp, principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,timestamp,the,time,stamp,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,date,string,string,map;public,audit,application,event,date,timestamp,string,principal,string,type,map,string,object,data,this,new,audit,event,timestamp,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(AuditEvent auditEvent);1507173536;Create a new {@link AuditApplicationEvent} that wraps the specified_{@link AuditEvent}._@param auditEvent the source of this event;public AuditApplicationEvent(AuditEvent auditEvent) {_		super(auditEvent)__		Assert.notNull(auditEvent, "AuditEvent must not be null")__		this.auditEvent = auditEvent__	};create,a,new,link,audit,application,event,that,wraps,the,specified,link,audit,event,param,audit,event,the,source,of,this,event;public,audit,application,event,audit,event,audit,event,super,audit,event,assert,not,null,audit,event,audit,event,must,not,be,null,this,audit,event,audit,event
AuditApplicationEvent -> public AuditApplicationEvent(AuditEvent auditEvent);1507661773;Create a new {@link AuditApplicationEvent} that wraps the specified_{@link AuditEvent}._@param auditEvent the source of this event;public AuditApplicationEvent(AuditEvent auditEvent) {_		super(auditEvent)__		Assert.notNull(auditEvent, "AuditEvent must not be null")__		this.auditEvent = auditEvent__	};create,a,new,link,audit,application,event,that,wraps,the,specified,link,audit,event,param,audit,event,the,source,of,this,event;public,audit,application,event,audit,event,audit,event,super,audit,event,assert,not,null,audit,event,audit,event,must,not,be,null,this,audit,event,audit,event
AuditApplicationEvent -> public AuditApplicationEvent(AuditEvent auditEvent);1515777965;Create a new {@link AuditApplicationEvent} that wraps the specified_{@link AuditEvent}._@param auditEvent the source of this event;public AuditApplicationEvent(AuditEvent auditEvent) {_		super(auditEvent)__		Assert.notNull(auditEvent, "AuditEvent must not be null")__		this.auditEvent = auditEvent__	};create,a,new,link,audit,application,event,that,wraps,the,specified,link,audit,event,param,audit,event,the,source,of,this,event;public,audit,application,event,audit,event,audit,event,super,audit,event,assert,not,null,audit,event,audit,event,must,not,be,null,this,audit,event,audit,event
AuditApplicationEvent -> public AuditApplicationEvent(String principal, String type, 			Map<String, Object> data);1507173536;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(String, String, Map);public AuditApplicationEvent(String principal, String type,_			Map<String, Object> data) {_		this(new AuditEvent(principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,string,string,map;public,audit,application,event,string,principal,string,type,map,string,object,data,this,new,audit,event,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(String principal, String type, 			Map<String, Object> data);1507661773;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(String, String, Map);public AuditApplicationEvent(String principal, String type,_			Map<String, Object> data) {_		this(new AuditEvent(principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,string,string,map;public,audit,application,event,string,principal,string,type,map,string,object,data,this,new,audit,event,principal,type,data
AuditApplicationEvent -> public AuditApplicationEvent(String principal, String type, 			Map<String, Object> data);1515777965;Create a new {@link AuditApplicationEvent} that wraps a newly created_{@link AuditEvent}._@param principal the principal_@param type the event type_@param data the event data_@see AuditEvent#AuditEvent(String, String, Map);public AuditApplicationEvent(String principal, String type,_			Map<String, Object> data) {_		this(new AuditEvent(principal, type, data))__	};create,a,new,link,audit,application,event,that,wraps,a,newly,created,link,audit,event,param,principal,the,principal,param,type,the,event,type,param,data,the,event,data,see,audit,event,audit,event,string,string,map;public,audit,application,event,string,principal,string,type,map,string,object,data,this,new,audit,event,principal,type,data
