commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String toString() {     return "HBaseCell=[family=" + family + ", qualifier=" + qualifier + ", value=" + value + ", valueType=" + valueType.getName(). }
false;public;0;4;;@XmlAttribute(name = "family") public String getFamily() {     return family. }
false;public;1;3;;public void setFamily(String family) {     this.family = family. }
false;public;0;4;;@XmlAttribute(name = "qualifier") public String getQualifier() {     return qualifier. }
false;public;1;3;;public void setQualifier(String qualifier) {     this.qualifier = qualifier. }
false;public;0;3;;public Object getValue() {     return value. }
false;public;1;3;;public void setValue(Object value) {     this.value = value. }
false;public;0;4;;@XmlAttribute(name = "type") public Class<?> getValueType() {     return valueType. }
false;public;1;6;;public void setValueType(Class<?> valueType) {     if (valueType == null) {         throw new IllegalArgumentException("Value type can not be null").     }     this.valueType = valueType. }
false;public;0;3;;public Long getTimestamp() {     return timestamp. }
false;public;1;3;;public void setTimestamp(Long timestamp) {     this.timestamp = timestamp. }
false;public;1;29;;@Override public boolean equals(Object o) {     if (this == o) {         return true.     }     if (o == null || getClass() != o.getClass()) {         return false.     }     HBaseCell hBaseCell = (HBaseCell) o.     if (family != null ? !family.equals(hBaseCell.family) : hBaseCell.family != null) {         return false.     }     if (qualifier != null ? !qualifier.equals(hBaseCell.qualifier) : hBaseCell.qualifier != null) {         return false.     }     if (timestamp != null ? !timestamp.equals(hBaseCell.timestamp) : hBaseCell.timestamp != null) {         return false.     }     if (value != null ? !value.equals(hBaseCell.value) : hBaseCell.value != null) {         return false.     }     if (valueType != null ? !valueType.equals(hBaseCell.valueType) : hBaseCell.valueType != null) {         return false.     }     return true. }
false;public;0;9;;@Override public int hashCode() {     int result = family != null ? family.hashCode() : 0.     result = 31 * result + (qualifier != null ? qualifier.hashCode() : 0).     result = 31 * result + (value != null ? value.hashCode() : 0).     result = 31 * result + (timestamp != null ? timestamp.hashCode() : 0).     result = 31 * result + (valueType != null ? valueType.hashCode() : 0).     return result. }
