# id;timestamp;commentText;codeText;commentWords;codeWords
GenericFileEndpoint -> public void setAntInclude(String antInclude);1548250802;Ant style filter inclusion._Multiple inclusions may be specified in comma-delimited format.;public void setAntInclude(String antInclude) {_        this.antInclude = antInclude__    };ant,style,filter,inclusion,multiple,inclusions,may,be,specified,in,comma,delimited,format;public,void,set,ant,include,string,ant,include,this,ant,include,ant,include
GenericFileEndpoint -> public void setAntInclude(String antInclude);1549345447;Ant style filter inclusion._Multiple inclusions may be specified in comma-delimited format.;public void setAntInclude(String antInclude) {_        this.antInclude = antInclude__    };ant,style,filter,inclusion,multiple,inclusions,may,be,specified,in,comma,delimited,format;public,void,set,ant,include,string,ant,include,this,ant,include,ant,include
GenericFileEndpoint -> public void setAntInclude(String antInclude);1549345604;Ant style filter inclusion._Multiple inclusions may be specified in comma-delimited format.;public void setAntInclude(String antInclude) {_        this.antInclude = antInclude__    };ant,style,filter,inclusion,multiple,inclusions,may,be,specified,in,comma,delimited,format;public,void,set,ant,include,string,ant,include,this,ant,include,ant,include
GenericFileEndpoint -> public void setAntInclude(String antInclude);1549879447;Ant style filter inclusion._Multiple inclusions may be specified in comma-delimited format.;public void setAntInclude(String antInclude) {_        this.antInclude = antInclude__    };ant,style,filter,inclusion,multiple,inclusions,may,be,specified,in,comma,delimited,format;public,void,set,ant,include,string,ant,include,this,ant,include,ant,include
GenericFileEndpoint -> public void setKeepLastModified(boolean keepLastModified);1548250802;Will keep the last modified timestamp from the source file (if any)._Will use the Exchange.FILE_LAST_MODIFIED header to located the timestamp._This header can contain either a java.util.Date or long with the timestamp._If the timestamp exists and the option is enabled it will set this timestamp on the written file._Note: This option only applies to the file producer. You cannot use this option with any of the ftp producers.;public void setKeepLastModified(boolean keepLastModified) {_        this.keepLastModified = keepLastModified__    };will,keep,the,last,modified,timestamp,from,the,source,file,if,any,will,use,the,exchange,header,to,located,the,timestamp,this,header,can,contain,either,a,java,util,date,or,long,with,the,timestamp,if,the,timestamp,exists,and,the,option,is,enabled,it,will,set,this,timestamp,on,the,written,file,note,this,option,only,applies,to,the,file,producer,you,cannot,use,this,option,with,any,of,the,ftp,producers;public,void,set,keep,last,modified,boolean,keep,last,modified,this,keep,last,modified,keep,last,modified
GenericFileEndpoint -> public void setKeepLastModified(boolean keepLastModified);1549345447;Will keep the last modified timestamp from the source file (if any)._Will use the Exchange.FILE_LAST_MODIFIED header to located the timestamp._This header can contain either a java.util.Date or long with the timestamp._If the timestamp exists and the option is enabled it will set this timestamp on the written file._Note: This option only applies to the file producer. You cannot use this option with any of the ftp producers.;public void setKeepLastModified(boolean keepLastModified) {_        this.keepLastModified = keepLastModified__    };will,keep,the,last,modified,timestamp,from,the,source,file,if,any,will,use,the,exchange,header,to,located,the,timestamp,this,header,can,contain,either,a,java,util,date,or,long,with,the,timestamp,if,the,timestamp,exists,and,the,option,is,enabled,it,will,set,this,timestamp,on,the,written,file,note,this,option,only,applies,to,the,file,producer,you,cannot,use,this,option,with,any,of,the,ftp,producers;public,void,set,keep,last,modified,boolean,keep,last,modified,this,keep,last,modified,keep,last,modified
GenericFileEndpoint -> public void setKeepLastModified(boolean keepLastModified);1549345604;Will keep the last modified timestamp from the source file (if any)._Will use the Exchange.FILE_LAST_MODIFIED header to located the timestamp._This header can contain either a java.util.Date or long with the timestamp._If the timestamp exists and the option is enabled it will set this timestamp on the written file._Note: This option only applies to the file producer. You cannot use this option with any of the ftp producers.;public void setKeepLastModified(boolean keepLastModified) {_        this.keepLastModified = keepLastModified__    };will,keep,the,last,modified,timestamp,from,the,source,file,if,any,will,use,the,exchange,header,to,located,the,timestamp,this,header,can,contain,either,a,java,util,date,or,long,with,the,timestamp,if,the,timestamp,exists,and,the,option,is,enabled,it,will,set,this,timestamp,on,the,written,file,note,this,option,only,applies,to,the,file,producer,you,cannot,use,this,option,with,any,of,the,ftp,producers;public,void,set,keep,last,modified,boolean,keep,last,modified,this,keep,last,modified,keep,last,modified
GenericFileEndpoint -> public void setKeepLastModified(boolean keepLastModified);1549879447;Will keep the last modified timestamp from the source file (if any)._Will use the Exchange.FILE_LAST_MODIFIED header to located the timestamp._This header can contain either a java.util.Date or long with the timestamp._If the timestamp exists and the option is enabled it will set this timestamp on the written file._Note: This option only applies to the file producer. You cannot use this option with any of the ftp producers.;public void setKeepLastModified(boolean keepLastModified) {_        this.keepLastModified = keepLastModified__    };will,keep,the,last,modified,timestamp,from,the,source,file,if,any,will,use,the,exchange,header,to,located,the,timestamp,this,header,can,contain,either,a,java,util,date,or,long,with,the,timestamp,if,the,timestamp,exists,and,the,option,is,enabled,it,will,set,this,timestamp,on,the,written,file,note,this,option,only,applies,to,the,file,producer,you,cannot,use,this,option,with,any,of,the,ftp,producers;public,void,set,keep,last,modified,boolean,keep,last,modified,this,keep,last,modified,keep,last,modified
GenericFileEndpoint -> public void setFilterDirectory(Predicate filterDirectory);1548250802;Filters the directory based on Simple language._For example to filter on current date, you can use a simple date pattern such as ${date:now:yyyMMdd};public void setFilterDirectory(Predicate filterDirectory) {_        this.filterDirectory = filterDirectory__    };filters,the,directory,based,on,simple,language,for,example,to,filter,on,current,date,you,can,use,a,simple,date,pattern,such,as,date,now,yyy,mmdd;public,void,set,filter,directory,predicate,filter,directory,this,filter,directory,filter,directory
GenericFileEndpoint -> public void setFilterDirectory(Predicate filterDirectory);1549345447;Filters the directory based on Simple language._For example to filter on current date, you can use a simple date pattern such as ${date:now:yyyMMdd};public void setFilterDirectory(Predicate filterDirectory) {_        this.filterDirectory = filterDirectory__    };filters,the,directory,based,on,simple,language,for,example,to,filter,on,current,date,you,can,use,a,simple,date,pattern,such,as,date,now,yyy,mmdd;public,void,set,filter,directory,predicate,filter,directory,this,filter,directory,filter,directory
GenericFileEndpoint -> public void setFilterDirectory(Predicate filterDirectory);1549345604;Filters the directory based on Simple language._For example to filter on current date, you can use a simple date pattern such as ${date:now:yyyMMdd};public void setFilterDirectory(Predicate filterDirectory) {_        this.filterDirectory = filterDirectory__    };filters,the,directory,based,on,simple,language,for,example,to,filter,on,current,date,you,can,use,a,simple,date,pattern,such,as,date,now,yyy,mmdd;public,void,set,filter,directory,predicate,filter,directory,this,filter,directory,filter,directory
GenericFileEndpoint -> public void setFilterDirectory(Predicate filterDirectory);1549879447;Filters the directory based on Simple language._For example to filter on current date, you can use a simple date pattern such as ${date:now:yyyMMdd};public void setFilterDirectory(Predicate filterDirectory) {_        this.filterDirectory = filterDirectory__    };filters,the,directory,based,on,simple,language,for,example,to,filter,on,current,date,you,can,use,a,simple,date,pattern,such,as,date,now,yyy,mmdd;public,void,set,filter,directory,predicate,filter,directory,this,filter,directory,filter,directory
GenericFileEndpoint -> public void setDirectoryMustExist(boolean directoryMustExist);1548250802;Similar to startingDirectoryMustExist but this applies during polling recursive sub directories.;public void setDirectoryMustExist(boolean directoryMustExist) {_        this.directoryMustExist = directoryMustExist__    };similar,to,starting,directory,must,exist,but,this,applies,during,polling,recursive,sub,directories;public,void,set,directory,must,exist,boolean,directory,must,exist,this,directory,must,exist,directory,must,exist
GenericFileEndpoint -> public void setDirectoryMustExist(boolean directoryMustExist);1549345447;Similar to startingDirectoryMustExist but this applies during polling recursive sub directories.;public void setDirectoryMustExist(boolean directoryMustExist) {_        this.directoryMustExist = directoryMustExist__    };similar,to,starting,directory,must,exist,but,this,applies,during,polling,recursive,sub,directories;public,void,set,directory,must,exist,boolean,directory,must,exist,this,directory,must,exist,directory,must,exist
GenericFileEndpoint -> public void setDirectoryMustExist(boolean directoryMustExist);1549345604;Similar to startingDirectoryMustExist but this applies during polling recursive sub directories.;public void setDirectoryMustExist(boolean directoryMustExist) {_        this.directoryMustExist = directoryMustExist__    };similar,to,starting,directory,must,exist,but,this,applies,during,polling,recursive,sub,directories;public,void,set,directory,must,exist,boolean,directory,must,exist,this,directory,must,exist,directory,must,exist
GenericFileEndpoint -> public void setDirectoryMustExist(boolean directoryMustExist);1549879447;Similar to the startingDirectoryMustExist option but this applies during polling (after starting the consumer).;public void setDirectoryMustExist(boolean directoryMustExist) {_        this.directoryMustExist = directoryMustExist__    };similar,to,the,starting,directory,must,exist,option,but,this,applies,during,polling,after,starting,the,consumer;public,void,set,directory,must,exist,boolean,directory,must,exist,this,directory,must,exist,directory,must,exist
GenericFileEndpoint -> protected String createDoneFileName(String fileName);1548250802;Creates the associated name of the done file based on the given file name._<p/>_This method should only be invoked if a done filename property has been set on this endpoint.__@param fileName the file name_@return name of the associated done file name;protected String createDoneFileName(String fileName) {_        String pattern = getDoneFileName()__        StringHelper.notEmpty(pattern, "doneFileName", pattern)___        _        String path = FileUtil.onlyPath(fileName)__        String onlyName = Matcher.quoteReplacement(FileUtil.stripPath(fileName))___        pattern = pattern.replaceFirst("\\$\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$simple\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))__        pattern = pattern.replaceFirst("\\$simple\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))___        _        if (StringHelper.hasStartToken(pattern, "simple")) {_            throw new ExpressionIllegalSyntaxException(fileName + ". Cannot resolve reminder: " + pattern)__        }__        String answer = pattern__        if (org.apache.camel.util.ObjectHelper.isNotEmpty(path) && org.apache.camel.util.ObjectHelper.isNotEmpty(pattern)) {_            _            answer = path + getFileSeparator() + pattern__        }__        if (getConfiguration().needToNormalize()) {_            _            answer = FileUtil.normalizePath(answer)__        }__        return answer__    };creates,the,associated,name,of,the,done,file,based,on,the,given,file,name,p,this,method,should,only,be,invoked,if,a,done,filename,property,has,been,set,on,this,endpoint,param,file,name,the,file,name,return,name,of,the,associated,done,file,name;protected,string,create,done,file,name,string,file,name,string,pattern,get,done,file,name,string,helper,not,empty,pattern,done,file,name,pattern,string,path,file,util,only,path,file,name,string,only,name,matcher,quote,replacement,file,util,strip,path,file,name,pattern,pattern,replace,first,file,name,only,name,pattern,pattern,replace,first,simple,file,name,only,name,pattern,pattern,replace,first,file,name,noext,file,util,strip,ext,only,name,true,pattern,pattern,replace,first,simple,file,name,noext,file,util,strip,ext,only,name,true,if,string,helper,has,start,token,pattern,simple,throw,new,expression,illegal,syntax,exception,file,name,cannot,resolve,reminder,pattern,string,answer,pattern,if,org,apache,camel,util,object,helper,is,not,empty,path,org,apache,camel,util,object,helper,is,not,empty,pattern,answer,path,get,file,separator,pattern,if,get,configuration,need,to,normalize,answer,file,util,normalize,path,answer,return,answer
GenericFileEndpoint -> protected String createDoneFileName(String fileName);1549345447;Creates the associated name of the done file based on the given file name._<p/>_This method should only be invoked if a done filename property has been set on this endpoint.__@param fileName the file name_@return name of the associated done file name;protected String createDoneFileName(String fileName) {_        String pattern = getDoneFileName()__        StringHelper.notEmpty(pattern, "doneFileName", pattern)___        _        String path = FileUtil.onlyPath(fileName)__        String onlyName = Matcher.quoteReplacement(FileUtil.stripPath(fileName))___        pattern = pattern.replaceFirst("\\$\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$simple\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))__        pattern = pattern.replaceFirst("\\$simple\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))___        _        if (StringHelper.hasStartToken(pattern, "simple")) {_            throw new ExpressionIllegalSyntaxException(fileName + ". Cannot resolve reminder: " + pattern)__        }__        String answer = pattern__        if (org.apache.camel.util.ObjectHelper.isNotEmpty(path) && org.apache.camel.util.ObjectHelper.isNotEmpty(pattern)) {_            _            answer = path + getFileSeparator() + pattern__        }__        if (getConfiguration().needToNormalize()) {_            _            answer = FileUtil.normalizePath(answer)__        }__        return answer__    };creates,the,associated,name,of,the,done,file,based,on,the,given,file,name,p,this,method,should,only,be,invoked,if,a,done,filename,property,has,been,set,on,this,endpoint,param,file,name,the,file,name,return,name,of,the,associated,done,file,name;protected,string,create,done,file,name,string,file,name,string,pattern,get,done,file,name,string,helper,not,empty,pattern,done,file,name,pattern,string,path,file,util,only,path,file,name,string,only,name,matcher,quote,replacement,file,util,strip,path,file,name,pattern,pattern,replace,first,file,name,only,name,pattern,pattern,replace,first,simple,file,name,only,name,pattern,pattern,replace,first,file,name,noext,file,util,strip,ext,only,name,true,pattern,pattern,replace,first,simple,file,name,noext,file,util,strip,ext,only,name,true,if,string,helper,has,start,token,pattern,simple,throw,new,expression,illegal,syntax,exception,file,name,cannot,resolve,reminder,pattern,string,answer,pattern,if,org,apache,camel,util,object,helper,is,not,empty,path,org,apache,camel,util,object,helper,is,not,empty,pattern,answer,path,get,file,separator,pattern,if,get,configuration,need,to,normalize,answer,file,util,normalize,path,answer,return,answer
GenericFileEndpoint -> protected String createDoneFileName(String fileName);1549345604;Creates the associated name of the done file based on the given file name._<p/>_This method should only be invoked if a done filename property has been set on this endpoint.__@param fileName the file name_@return name of the associated done file name;protected String createDoneFileName(String fileName) {_        String pattern = getDoneFileName()__        StringHelper.notEmpty(pattern, "doneFileName", pattern)___        _        String path = FileUtil.onlyPath(fileName)__        String onlyName = Matcher.quoteReplacement(FileUtil.stripPath(fileName))___        pattern = pattern.replaceFirst("\\$\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$simple\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))__        pattern = pattern.replaceFirst("\\$simple\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))___        _        if (StringHelper.hasStartToken(pattern, "simple")) {_            throw new ExpressionIllegalSyntaxException(fileName + ". Cannot resolve reminder: " + pattern)__        }__        String answer = pattern__        if (org.apache.camel.util.ObjectHelper.isNotEmpty(path) && org.apache.camel.util.ObjectHelper.isNotEmpty(pattern)) {_            _            answer = path + getFileSeparator() + pattern__        }__        if (getConfiguration().needToNormalize()) {_            _            answer = FileUtil.normalizePath(answer)__        }__        return answer__    };creates,the,associated,name,of,the,done,file,based,on,the,given,file,name,p,this,method,should,only,be,invoked,if,a,done,filename,property,has,been,set,on,this,endpoint,param,file,name,the,file,name,return,name,of,the,associated,done,file,name;protected,string,create,done,file,name,string,file,name,string,pattern,get,done,file,name,string,helper,not,empty,pattern,done,file,name,pattern,string,path,file,util,only,path,file,name,string,only,name,matcher,quote,replacement,file,util,strip,path,file,name,pattern,pattern,replace,first,file,name,only,name,pattern,pattern,replace,first,simple,file,name,only,name,pattern,pattern,replace,first,file,name,noext,file,util,strip,ext,only,name,true,pattern,pattern,replace,first,simple,file,name,noext,file,util,strip,ext,only,name,true,if,string,helper,has,start,token,pattern,simple,throw,new,expression,illegal,syntax,exception,file,name,cannot,resolve,reminder,pattern,string,answer,pattern,if,org,apache,camel,util,object,helper,is,not,empty,path,org,apache,camel,util,object,helper,is,not,empty,pattern,answer,path,get,file,separator,pattern,if,get,configuration,need,to,normalize,answer,file,util,normalize,path,answer,return,answer
GenericFileEndpoint -> protected String createDoneFileName(String fileName);1549879447;Creates the associated name of the done file based on the given file name._<p/>_This method should only be invoked if a done filename property has been set on this endpoint.__@param fileName the file name_@return name of the associated done file name;protected String createDoneFileName(String fileName) {_        String pattern = getDoneFileName()__        StringHelper.notEmpty(pattern, "doneFileName", pattern)___        _        String path = FileUtil.onlyPath(fileName)__        String onlyName = Matcher.quoteReplacement(FileUtil.stripPath(fileName))___        pattern = pattern.replaceFirst("\\$\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$simple\\{file:name\\}", onlyName)__        pattern = pattern.replaceFirst("\\$\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))__        pattern = pattern.replaceFirst("\\$simple\\{file:name.noext\\}", FileUtil.stripExt(onlyName, true))___        _        if (StringHelper.hasStartToken(pattern, "simple")) {_            throw new ExpressionIllegalSyntaxException(fileName + ". Cannot resolve reminder: " + pattern)__        }__        String answer = pattern__        if (org.apache.camel.util.ObjectHelper.isNotEmpty(path) && org.apache.camel.util.ObjectHelper.isNotEmpty(pattern)) {_            _            answer = path + getFileSeparator() + pattern__        }__        if (getConfiguration().needToNormalize()) {_            _            answer = FileUtil.normalizePath(answer)__        }__        return answer__    };creates,the,associated,name,of,the,done,file,based,on,the,given,file,name,p,this,method,should,only,be,invoked,if,a,done,filename,property,has,been,set,on,this,endpoint,param,file,name,the,file,name,return,name,of,the,associated,done,file,name;protected,string,create,done,file,name,string,file,name,string,pattern,get,done,file,name,string,helper,not,empty,pattern,done,file,name,pattern,string,path,file,util,only,path,file,name,string,only,name,matcher,quote,replacement,file,util,strip,path,file,name,pattern,pattern,replace,first,file,name,only,name,pattern,pattern,replace,first,simple,file,name,only,name,pattern,pattern,replace,first,file,name,noext,file,util,strip,ext,only,name,true,pattern,pattern,replace,first,simple,file,name,noext,file,util,strip,ext,only,name,true,if,string,helper,has,start,token,pattern,simple,throw,new,expression,illegal,syntax,exception,file,name,cannot,resolve,reminder,pattern,string,answer,pattern,if,org,apache,camel,util,object,helper,is,not,empty,path,org,apache,camel,util,object,helper,is,not,empty,pattern,answer,path,get,file,separator,pattern,if,get,configuration,need,to,normalize,answer,file,util,normalize,path,answer,return,answer
GenericFileEndpoint -> public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy);1548250802;Strategy (Custom Strategy) used to move file with special naming token to use when fileExist=Move is configured._By default, there is an implementation used if no custom strategy is provided;public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy) {_        this.moveExistingFileStrategy = moveExistingFileStrategy__    };strategy,custom,strategy,used,to,move,file,with,special,naming,token,to,use,when,file,exist,move,is,configured,by,default,there,is,an,implementation,used,if,no,custom,strategy,is,provided;public,void,set,move,existing,file,strategy,file,move,existing,strategy,move,existing,file,strategy,this,move,existing,file,strategy,move,existing,file,strategy
GenericFileEndpoint -> public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy);1549345447;Strategy (Custom Strategy) used to move file with special naming token to use when fileExist=Move is configured._By default, there is an implementation used if no custom strategy is provided;public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy) {_        this.moveExistingFileStrategy = moveExistingFileStrategy__    };strategy,custom,strategy,used,to,move,file,with,special,naming,token,to,use,when,file,exist,move,is,configured,by,default,there,is,an,implementation,used,if,no,custom,strategy,is,provided;public,void,set,move,existing,file,strategy,file,move,existing,strategy,move,existing,file,strategy,this,move,existing,file,strategy,move,existing,file,strategy
GenericFileEndpoint -> public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy);1549345604;Strategy (Custom Strategy) used to move file with special naming token to use when fileExist=Move is configured._By default, there is an implementation used if no custom strategy is provided;public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy) {_        this.moveExistingFileStrategy = moveExistingFileStrategy__    };strategy,custom,strategy,used,to,move,file,with,special,naming,token,to,use,when,file,exist,move,is,configured,by,default,there,is,an,implementation,used,if,no,custom,strategy,is,provided;public,void,set,move,existing,file,strategy,file,move,existing,strategy,move,existing,file,strategy,this,move,existing,file,strategy,move,existing,file,strategy
GenericFileEndpoint -> public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy);1549879447;Strategy (Custom Strategy) used to move file with special naming token to use when fileExist=Move is configured._By default, there is an implementation used if no custom strategy is provided;public void setMoveExistingFileStrategy(FileMoveExistingStrategy moveExistingFileStrategy) {_        this.moveExistingFileStrategy = moveExistingFileStrategy__    };strategy,custom,strategy,used,to,move,file,with,special,naming,token,to,use,when,file,exist,move,is,configured,by,default,there,is,an,implementation,used,if,no,custom,strategy,is,provided;public,void,set,move,existing,file,strategy,file,move,existing,strategy,move,existing,file,strategy,this,move,existing,file,strategy,move,existing,file,strategy
GenericFileEndpoint -> public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler);1548250802;To use a custom {@link org.apache.camel.spi.ExceptionHandler} to handle any thrown exceptions that happens_during the file on completion process where the consumer does either a commit or rollback. The default_implementation will log any exception at WARN level and ignore.;public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler) {_        this.onCompletionExceptionHandler = onCompletionExceptionHandler__    };to,use,a,custom,link,org,apache,camel,spi,exception,handler,to,handle,any,thrown,exceptions,that,happens,during,the,file,on,completion,process,where,the,consumer,does,either,a,commit,or,rollback,the,default,implementation,will,log,any,exception,at,warn,level,and,ignore;public,void,set,on,completion,exception,handler,exception,handler,on,completion,exception,handler,this,on,completion,exception,handler,on,completion,exception,handler
GenericFileEndpoint -> public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler);1549345447;To use a custom {@link org.apache.camel.spi.ExceptionHandler} to handle any thrown exceptions that happens_during the file on completion process where the consumer does either a commit or rollback. The default_implementation will log any exception at WARN level and ignore.;public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler) {_        this.onCompletionExceptionHandler = onCompletionExceptionHandler__    };to,use,a,custom,link,org,apache,camel,spi,exception,handler,to,handle,any,thrown,exceptions,that,happens,during,the,file,on,completion,process,where,the,consumer,does,either,a,commit,or,rollback,the,default,implementation,will,log,any,exception,at,warn,level,and,ignore;public,void,set,on,completion,exception,handler,exception,handler,on,completion,exception,handler,this,on,completion,exception,handler,on,completion,exception,handler
GenericFileEndpoint -> public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler);1549345604;To use a custom {@link org.apache.camel.spi.ExceptionHandler} to handle any thrown exceptions that happens_during the file on completion process where the consumer does either a commit or rollback. The default_implementation will log any exception at WARN level and ignore.;public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler) {_        this.onCompletionExceptionHandler = onCompletionExceptionHandler__    };to,use,a,custom,link,org,apache,camel,spi,exception,handler,to,handle,any,thrown,exceptions,that,happens,during,the,file,on,completion,process,where,the,consumer,does,either,a,commit,or,rollback,the,default,implementation,will,log,any,exception,at,warn,level,and,ignore;public,void,set,on,completion,exception,handler,exception,handler,on,completion,exception,handler,this,on,completion,exception,handler,on,completion,exception,handler
GenericFileEndpoint -> public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler);1549879447;To use a custom {@link org.apache.camel.spi.ExceptionHandler} to handle any thrown exceptions that happens_during the file on completion process where the consumer does either a commit or rollback. The default_implementation will log any exception at WARN level and ignore.;public void setOnCompletionExceptionHandler(ExceptionHandler onCompletionExceptionHandler) {_        this.onCompletionExceptionHandler = onCompletionExceptionHandler__    };to,use,a,custom,link,org,apache,camel,spi,exception,handler,to,handle,any,thrown,exceptions,that,happens,during,the,file,on,completion,process,where,the,consumer,does,either,a,commit,or,rollback,the,default,implementation,will,log,any,exception,at,warn,level,and,ignore;public,void,set,on,completion,exception,handler,exception,handler,on,completion,exception,handler,this,on,completion,exception,handler,on,completion,exception,handler
GenericFileEndpoint -> protected boolean isDoneFile(String fileName);1548250802;Is the given file a done file?_<p/>_This method should only be invoked if a done filename property has been set on this endpoint.__@param fileName the file name_@return <tt>true</tt> if its a done file, <tt>false</tt> otherwise;protected boolean isDoneFile(String fileName) {_        String pattern = getDoneFileName()__        StringHelper.notEmpty(pattern, "doneFileName", pattern)___        if (!StringHelper.hasStartToken(pattern, "simple")) {_            _            return pattern.equals(fileName)__        }__        _        _        boolean prefix = pattern.indexOf("${") > 0___        _        pattern = pattern.replaceFirst("\\$\\{file:name\\}", "")__        pattern = pattern.replaceFirst("\\$simple\\{file:name\\}", "")__        pattern = pattern.replaceFirst("\\$\\{file:name.noext\\}", "")__        pattern = pattern.replaceFirst("\\$simple\\{file:name.noext\\}", "")___        _        if (StringHelper.hasStartToken(pattern, "simple")) {_            throw new ExpressionIllegalSyntaxException(fileName + ". Cannot resolve reminder: " + pattern)__        }__        if (prefix) {_            return fileName.startsWith(pattern)__        } else {_            return fileName.endsWith(pattern)__        }_    };is,the,given,file,a,done,file,p,this,method,should,only,be,invoked,if,a,done,filename,property,has,been,set,on,this,endpoint,param,file,name,the,file,name,return,tt,true,tt,if,its,a,done,file,tt,false,tt,otherwise;protected,boolean,is,done,file,string,file,name,string,pattern,get,done,file,name,string,helper,not,empty,pattern,done,file,name,pattern,if,string,helper,has,start,token,pattern,simple,return,pattern,equals,file,name,boolean,prefix,pattern,index,of,0,pattern,pattern,replace,first,file,name,pattern,pattern,replace,first,simple,file,name,pattern,pattern,replace,first,file,name,noext,pattern,pattern,replace,first,simple,file,name,noext,if,string,helper,has,start,token,pattern,simple,throw,new,expression,illegal,syntax,exception,file,name,cannot,resolve,reminder,pattern,if,prefix,return,file,name,starts,with,pattern,else,return,file,name,ends,with,pattern
GenericFileEndpoint -> protected boolean isDoneFile(String fileName);1549345447;Is the given file a done file?_<p/>_This method should only be invoked if a done filename property has been set on this endpoint.__@param fileName the file name_@return <tt>true</tt> if its a done file, <tt>false</tt> otherwise;protected boolean isDoneFile(String fileName) {_        String pattern = getDoneFileName()__        StringHelper.notEmpty(pattern, "doneFileName", pattern)___        if (!StringHelper.hasStartToken(pattern, "simple")) {_            _            return pattern.equals(fileName)__        }__        _        _        boolean prefix = pattern.indexOf("${") > 0___        _        pattern = pattern.replaceFirst("\\$\\{file:name\\}", "")__        pattern = pattern.replaceFirst("\\$simple\\{file:name\\}", "")__        pattern = pattern.replaceFirst("\\$\\{file:name.noext\\}", "")__        pattern = pattern.replaceFirst("\\$simple\\{file:name.noext\\}", "")___        _        if (StringHelper.hasStartToken(pattern, "simple")) {_            throw new ExpressionIllegalSyntaxException(fileName + ". Cannot resolve reminder: " + pattern)__        }__        if (prefix) {_            return fileName.startsWith(pattern)__        } else {_            return fileName.endsWith(pattern)__        }_    };is,the,given,file,a,done,file,p,this,method,should,only,be,invoked,if,a,done,filename,property,has,been,set,on,this,endpoint,param,file,name,the,file,name,return,tt,true,tt,if,its,a,done,file,tt,false,tt,otherwise;protected,boolean,is,done,file,string,file,name,string,pattern,get,done,file,name,string,helper,not,empty,pattern,done,file,name,pattern,if,string,helper,has,start,token,pattern,simple,return,pattern,equals,file,name,boolean,prefix,pattern,index,of,0,pattern,pattern,replace,first,file,name,pattern,pattern,replace,first,simple,file,name,pattern,pattern,replace,first,file,name,noext,pattern,pattern,replace,first,simple,file,name,noext,if,string,helper,has,start,token,pattern,simple,throw,new,expression,illegal,syntax,exception,file,name,cannot,resolve,reminder,pattern,if,prefix,return,file,name,starts,with,pattern,else,return,file,name,ends,with,pattern
