# id;timestamp;commentText;codeText;commentWords;codeWords
DefaultDeserializer -> public Object deserialize(InputStream inputStream) throws IOException;1328020251;Reads the input stream and deserializes into an object.;public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ObjectInputStream(inputStream)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};reads,the,input,stream,and,deserializes,into,an,object;public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,object,input,stream,input,stream,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> public Object deserialize(InputStream inputStream) throws IOException;1357119239;Reads the input stream and deserializes into an object.;public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ObjectInputStream(inputStream)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};reads,the,input,stream,and,deserializes,into,an,object;public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,object,input,stream,input,stream,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> public DefaultDeserializer(ClassLoader classLoader);1441035101;Create a {@code DefaultDeserializer} for using an {@link ObjectInputStream}_with the given {@code ClassLoader}._@since 4.2.1_@see ConfigurableObjectInputStream#ConfigurableObjectInputStream(InputStream, ClassLoader);public DefaultDeserializer(ClassLoader classLoader) {_		this.classLoader = classLoader__	};create,a,code,default,deserializer,for,using,an,link,object,input,stream,with,the,given,code,class,loader,since,4,2,1,see,configurable,object,input,stream,configurable,object,input,stream,input,stream,class,loader;public,default,deserializer,class,loader,class,loader,this,class,loader,class,loader
DefaultDeserializer -> public DefaultDeserializer(ClassLoader classLoader);1441200310;Create a {@code DefaultDeserializer} for using an {@link ObjectInputStream}_with the given {@code ClassLoader}._@since 4.2.1_@see ConfigurableObjectInputStream#ConfigurableObjectInputStream(InputStream, ClassLoader);public DefaultDeserializer(ClassLoader classLoader) {_		this.classLoader = classLoader__	};create,a,code,default,deserializer,for,using,an,link,object,input,stream,with,the,given,code,class,loader,since,4,2,1,see,configurable,object,input,stream,configurable,object,input,stream,input,stream,class,loader;public,default,deserializer,class,loader,class,loader,this,class,loader,class,loader
DefaultDeserializer -> @Override 	@SuppressWarnings("resource") 	public Object deserialize(InputStream inputStream) throws IOException;1441200310;Read from the supplied {@code InputStream} and deserialize the contents_into an object._@see ObjectInputStream#readObject();@Override_	@SuppressWarnings("resource")_	public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ConfigurableObjectInputStream(inputStream, this.classLoader)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};read,from,the,supplied,code,input,stream,and,deserialize,the,contents,into,an,object,see,object,input,stream,read,object;override,suppress,warnings,resource,public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,configurable,object,input,stream,input,stream,this,class,loader,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> @Override 	@SuppressWarnings("resource") 	public Object deserialize(InputStream inputStream) throws IOException;1498780456;Read from the supplied {@code InputStream} and deserialize the contents_into an object._@see ObjectInputStream#readObject();@Override_	@SuppressWarnings("resource")_	public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ConfigurableObjectInputStream(inputStream, this.classLoader)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};read,from,the,supplied,code,input,stream,and,deserialize,the,contents,into,an,object,see,object,input,stream,read,object;override,suppress,warnings,resource,public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,configurable,object,input,stream,input,stream,this,class,loader,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> @Override 	public Object deserialize(InputStream inputStream) throws IOException;1356735495;Reads the input stream and deserializes into an object.;@Override_	public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ObjectInputStream(inputStream)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};reads,the,input,stream,and,deserializes,into,an,object;override,public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,object,input,stream,input,stream,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> @Override 	public Object deserialize(InputStream inputStream) throws IOException;1368482696;Reads the input stream and deserializes into an object.;@Override_	public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ObjectInputStream(inputStream)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};reads,the,input,stream,and,deserializes,into,an,object;override,public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,object,input,stream,input,stream,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> @Override 	public Object deserialize(InputStream inputStream) throws IOException;1441035101;Reads the input stream and deserializes into an object._@see ObjectInputStream#readObject();@Override_	public Object deserialize(InputStream inputStream) throws IOException {_		ObjectInputStream objectInputStream = new ConfigurableObjectInputStream(inputStream, this.classLoader)__		try {_			return objectInputStream.readObject()__		}_		catch (ClassNotFoundException ex) {_			throw new NestedIOException("Failed to deserialize object type", ex)__		}_	};reads,the,input,stream,and,deserializes,into,an,object,see,object,input,stream,read,object;override,public,object,deserialize,input,stream,input,stream,throws,ioexception,object,input,stream,object,input,stream,new,configurable,object,input,stream,input,stream,this,class,loader,try,return,object,input,stream,read,object,catch,class,not,found,exception,ex,throw,new,nested,ioexception,failed,to,deserialize,object,type,ex
DefaultDeserializer -> public DefaultDeserializer();1441035101;Create a {@code DefaultDeserializer} with default {@link ObjectInputStream}_configuration, using the "latest user-defined ClassLoader".;public DefaultDeserializer() {_		this.classLoader = null__	};create,a,code,default,deserializer,with,default,link,object,input,stream,configuration,using,the,latest,user,defined,class,loader;public,default,deserializer,this,class,loader,null
DefaultDeserializer -> public DefaultDeserializer();1441200310;Create a {@code DefaultDeserializer} with default {@link ObjectInputStream}_configuration, using the "latest user-defined ClassLoader".;public DefaultDeserializer() {_		this.classLoader = null__	};create,a,code,default,deserializer,with,default,link,object,input,stream,configuration,using,the,latest,user,defined,class,loader;public,default,deserializer,this,class,loader,null
