commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public String getPermissions() {     return permissions. }
false;public;1;3;;public void setPermissions(String permissions) {     this.permissions = permissions. }
false;public;0;3;;public String getEncoding() {     return encoding. }
false;public;1;3;;public void setEncoding(String encoding) {     this.encoding = encoding. }
false;public;0;3;;public String getDriver() {     return driver. }
false;public;1;3;;public void setDriver(String driver) {     this.driver = driver. }
false;public;0;3;;public String getDriverRef() {     return driverRef. }
false;public;1;3;;public void setDriverRef(String driverRef) {     this.driverRef = driverRef. }
false;public;0;3;;public String getMode() {     return mode. }
false;public;1;3;;public void setMode(String mode) {     this.mode = mode. }
false;public;0;3;;public List<String> getConverters() {     return converters. }
false;public;1;3;;public void setConverters(List<String> converters) {     this.converters = converters. }
false;public;0;3;;public String getAliases() {     return aliases. }
false;public;1;3;;public void setAliases(String aliases) {     this.aliases = aliases. }
false;public;0;3;;public String getOmitFields() {     return omitFields. }
false;public;1;3;;public void setOmitFields(String omitFields) {     this.omitFields = omitFields. }
false;public;0;3;;public String getImplicitCollections() {     return implicitCollections. }
false;public;1;3;;public void setImplicitCollections(String implicitCollections) {     this.implicitCollections = implicitCollections. }
false;public;0;3;;public Boolean getContentTypeHeader() {     return contentTypeHeader. }
false;public;1;3;;public void setContentTypeHeader(Boolean contentTypeHeader) {     this.contentTypeHeader = contentTypeHeader. }
