commented;modifiers;parameterAmount;loc;comment;code
false;public;0;3;;public MQConfigurationNestedConfiguration getConfiguration() {     return configuration. }
false;public;1;4;;public void setConfiguration(MQConfigurationNestedConfiguration configuration) {     this.configuration = configuration. }
false;public;0;3;;public String getAccessKey() {     return accessKey. }
false;public;1;3;;public void setAccessKey(String accessKey) {     this.accessKey = accessKey. }
false;public;0;3;;public String getSecretKey() {     return secretKey. }
false;public;1;3;;public void setSecretKey(String secretKey) {     this.secretKey = secretKey. }
false;public;0;3;;public String getRegion() {     return region. }
false;public;1;3;;public void setRegion(String region) {     this.region = region. }
false;public;0;3;;public Boolean getResolvePropertyPlaceholders() {     return resolvePropertyPlaceholders. }
false;public;1;4;;public void setResolvePropertyPlaceholders(Boolean resolvePropertyPlaceholders) {     this.resolvePropertyPlaceholders = resolvePropertyPlaceholders. }
false;public;0;3;;public AmazonMQ getAmazonMqClient() {     return amazonMqClient. }
false;public;1;3;;public void setAmazonMqClient(AmazonMQ amazonMqClient) {     this.amazonMqClient = amazonMqClient. }
false;public;0;3;;public String getAccessKey() {     return accessKey. }
false;public;1;3;;public void setAccessKey(String accessKey) {     this.accessKey = accessKey. }
false;public;0;3;;public String getSecretKey() {     return secretKey. }
false;public;1;3;;public void setSecretKey(String secretKey) {     this.secretKey = secretKey. }
false;public;0;3;;public MQOperations getOperation() {     return operation. }
false;public;1;3;;public void setOperation(MQOperations operation) {     this.operation = operation. }
false;public;0;3;;public String getProxyHost() {     return proxyHost. }
false;public;1;3;;public void setProxyHost(String proxyHost) {     this.proxyHost = proxyHost. }
false;public;0;3;;public Integer getProxyPort() {     return proxyPort. }
false;public;1;3;;public void setProxyPort(Integer proxyPort) {     this.proxyPort = proxyPort. }
false;public;0;3;;public String getRegion() {     return region. }
false;public;1;3;;public void setRegion(String region) {     this.region = region. }
