# id;timestamp;commentText;codeText;commentWords;codeWords
SimpUserRegistry -> int getUserCount()_;1479759282;Return the count of all connected users._@return the connected user count._@since 4.3.5;int getUserCount()_;return,the,count,of,all,connected,users,return,the,connected,user,count,since,4,3,5;int,get,user,count
SimpUserRegistry -> int getUserCount()_;1479823020;Return the count of all connected users._@return the number of connected users_@since 4.3.5;int getUserCount()_;return,the,count,of,all,connected,users,return,the,number,of,connected,users,since,4,3,5;int,get,user,count
SimpUserRegistry -> int getUserCount()_;1495868221;Return the count of all connected users._@return the number of connected users_@since 4.3.5;int getUserCount()_;return,the,count,of,all,connected,users,return,the,number,of,connected,users,since,4,3,5;int,get,user,count
SimpUserRegistry -> SimpUser getUser(String userName)_;1431458952;Get the user for the given name._@param userName the name of the user to look up_@return the user or {@code null} if not connected;SimpUser getUser(String userName)_;get,the,user,for,the,given,name,param,user,name,the,name,of,the,user,to,look,up,return,the,user,or,code,null,if,not,connected;simp,user,get,user,string,user,name
SimpUserRegistry -> SimpUser getUser(String userName)_;1437512314;Get the user for the given name._@param userName the name of the user to look up_@return the user or {@code null} if not connected;SimpUser getUser(String userName)_;get,the,user,for,the,given,name,param,user,name,the,name,of,the,user,to,look,up,return,the,user,or,code,null,if,not,connected;simp,user,get,user,string,user,name
SimpUserRegistry -> SimpUser getUser(String userName)_;1479759282;Get the user for the given name._@param userName the name of the user to look up_@return the user or {@code null} if not connected;SimpUser getUser(String userName)_;get,the,user,for,the,given,name,param,user,name,the,name,of,the,user,to,look,up,return,the,user,or,code,null,if,not,connected;simp,user,get,user,string,user,name
SimpUserRegistry -> SimpUser getUser(String userName)_;1479823020;Get the user for the given name._@param userName the name of the user to look up_@return the user, or {@code null} if not connected;SimpUser getUser(String userName)_;get,the,user,for,the,given,name,param,user,name,the,name,of,the,user,to,look,up,return,the,user,or,code,null,if,not,connected;simp,user,get,user,string,user,name
SimpUserRegistry -> Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;1431458952;Find subscriptions with the given matcher._@param matcher the matcher to use_@return a set of matching subscriptions or an empty set.;Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;find,subscriptions,with,the,given,matcher,param,matcher,the,matcher,to,use,return,a,set,of,matching,subscriptions,or,an,empty,set;set,simp,subscription,find,subscriptions,simp,subscription,matcher,matcher
SimpUserRegistry -> Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;1437512314;Find subscriptions with the given matcher._@param matcher the matcher to use_@return a set of matching subscriptions or an empty set.;Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;find,subscriptions,with,the,given,matcher,param,matcher,the,matcher,to,use,return,a,set,of,matching,subscriptions,or,an,empty,set;set,simp,subscription,find,subscriptions,simp,subscription,matcher,matcher
SimpUserRegistry -> Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;1479759282;Find subscriptions with the given matcher._@param matcher the matcher to use_@return a set of matching subscriptions or an empty set.;Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;find,subscriptions,with,the,given,matcher,param,matcher,the,matcher,to,use,return,a,set,of,matching,subscriptions,or,an,empty,set;set,simp,subscription,find,subscriptions,simp,subscription,matcher,matcher
SimpUserRegistry -> Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;1479823020;Find subscriptions with the given matcher._@param matcher the matcher to use_@return a set of matching subscriptions, or an empty set if none;Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;find,subscriptions,with,the,given,matcher,param,matcher,the,matcher,to,use,return,a,set,of,matching,subscriptions,or,an,empty,set,if,none;set,simp,subscription,find,subscriptions,simp,subscription,matcher,matcher
SimpUserRegistry -> Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;1495868221;Find subscriptions with the given matcher._@param matcher the matcher to use_@return a set of matching subscriptions, or an empty set if none;Set<SimpSubscription> findSubscriptions(SimpSubscriptionMatcher matcher)_;find,subscriptions,with,the,given,matcher,param,matcher,the,matcher,to,use,return,a,set,of,matching,subscriptions,or,an,empty,set,if,none;set,simp,subscription,find,subscriptions,simp,subscription,matcher,matcher
SimpUserRegistry -> Set<SimpUser> getUsers()_;1431458952;Return a snapshot of all connected users. The returned set is a copy and_will never be modified._@return the connected users or an empty set.;Set<SimpUser> getUsers()_;return,a,snapshot,of,all,connected,users,the,returned,set,is,a,copy,and,will,never,be,modified,return,the,connected,users,or,an,empty,set;set,simp,user,get,users
SimpUserRegistry -> Set<SimpUser> getUsers()_;1437512314;Return a snapshot of all connected users. The returned set is a copy and_will never be modified._@return the connected users or an empty set.;Set<SimpUser> getUsers()_;return,a,snapshot,of,all,connected,users,the,returned,set,is,a,copy,and,will,never,be,modified,return,the,connected,users,or,an,empty,set;set,simp,user,get,users
SimpUserRegistry -> Set<SimpUser> getUsers()_;1479759282;Return a snapshot of all connected users. The returned set is a copy and_will never be modified._@return the connected users or an empty set.;Set<SimpUser> getUsers()_;return,a,snapshot,of,all,connected,users,the,returned,set,is,a,copy,and,will,never,be,modified,return,the,connected,users,or,an,empty,set;set,simp,user,get,users
SimpUserRegistry -> Set<SimpUser> getUsers()_;1479823020;Return a snapshot of all connected users._<p>The returned set is a copy and will not reflect further changes._@return the connected users, or an empty set if none;Set<SimpUser> getUsers()_;return,a,snapshot,of,all,connected,users,p,the,returned,set,is,a,copy,and,will,not,reflect,further,changes,return,the,connected,users,or,an,empty,set,if,none;set,simp,user,get,users
SimpUserRegistry -> Set<SimpUser> getUsers()_;1495868221;Return a snapshot of all connected users._<p>The returned set is a copy and will not reflect further changes._@return the connected users, or an empty set if none;Set<SimpUser> getUsers()_;return,a,snapshot,of,all,connected,users,p,the,returned,set,is,a,copy,and,will,not,reflect,further,changes,return,the,connected,users,or,an,empty,set,if,none;set,simp,user,get,users
