# id;timestamp;commentText;codeText;commentWords;codeWords
CorsRegistration -> public CorsRegistration allowedHeaders(String... headers);1485986572;Set the list of headers that a pre-flight request can list as allowed_for use during an actual request._<p>The special value {@code "*"} may be used to allow all headers._<p>A header name is not required to be listed if it is one of:_{@code Cache-Control}, {@code Content-Language}, {@code Expires},_{@code Last-Modified}, or {@code Pragma} as per the CORS spec._<p>By default all headers are allowed.;public CorsRegistration allowedHeaders(String... headers) {_		this.config.setAllowedHeaders(new ArrayList<>(Arrays.asList(headers)))__		return this__	};set,the,list,of,headers,that,a,pre,flight,request,can,list,as,allowed,for,use,during,an,actual,request,p,the,special,value,code,may,be,used,to,allow,all,headers,p,a,header,name,is,not,required,to,be,listed,if,it,is,one,of,code,cache,control,code,content,language,code,expires,code,last,modified,or,code,pragma,as,per,the,cors,spec,p,by,default,all,headers,are,allowed;public,cors,registration,allowed,headers,string,headers,this,config,set,allowed,headers,new,array,list,arrays,as,list,headers,return,this
CorsRegistration -> public CorsRegistration allowedHeaders(String... headers);1511387204;Set the list of headers that a pre-flight request can list as allowed_for use during an actual request._<p>The special value {@code "*"} may be used to allow all headers._<p>A header name is not required to be listed if it is one of:_{@code Cache-Control}, {@code Content-Language}, {@code Expires},_{@code Last-Modified}, or {@code Pragma} as per the CORS spec._<p>By default all headers are allowed.;public CorsRegistration allowedHeaders(String... headers) {_		this.config.setAllowedHeaders(new ArrayList<>(Arrays.asList(headers)))__		return this__	};set,the,list,of,headers,that,a,pre,flight,request,can,list,as,allowed,for,use,during,an,actual,request,p,the,special,value,code,may,be,used,to,allow,all,headers,p,a,header,name,is,not,required,to,be,listed,if,it,is,one,of,code,cache,control,code,content,language,code,expires,code,last,modified,or,code,pragma,as,per,the,cors,spec,p,by,default,all,headers,are,allowed;public,cors,registration,allowed,headers,string,headers,this,config,set,allowed,headers,new,array,list,arrays,as,list,headers,return,this
CorsRegistration -> public CorsRegistration allowedHeaders(String... headers);1511925367;Set the list of headers that a pre-flight request can list as allowed_for use during an actual request._<p>The special value {@code "*"} may be used to allow all headers._<p>A header name is not required to be listed if it is one of:_{@code Cache-Control}, {@code Content-Language}, {@code Expires},_{@code Last-Modified}, or {@code Pragma} as per the CORS spec._<p>By default all headers are allowed.;public CorsRegistration allowedHeaders(String... headers) {_		this.config.setAllowedHeaders(new ArrayList<>(Arrays.asList(headers)))__		return this__	};set,the,list,of,headers,that,a,pre,flight,request,can,list,as,allowed,for,use,during,an,actual,request,p,the,special,value,code,may,be,used,to,allow,all,headers,p,a,header,name,is,not,required,to,be,listed,if,it,is,one,of,code,cache,control,code,content,language,code,expires,code,last,modified,or,code,pragma,as,per,the,cors,spec,p,by,default,all,headers,are,allowed;public,cors,registration,allowed,headers,string,headers,this,config,set,allowed,headers,new,array,list,arrays,as,list,headers,return,this
CorsRegistration -> public CorsRegistration allowedHeaders(String... headers);1522354261;Set the list of headers that a pre-flight request can list as allowed_for use during an actual request._<p>The special value {@code "*"} may be used to allow all headers._<p>A header name is not required to be listed if it is one of:_{@code Cache-Control}, {@code Content-Language}, {@code Expires},_{@code Last-Modified}, or {@code Pragma} as per the CORS spec._<p>By default all headers are allowed.;public CorsRegistration allowedHeaders(String... headers) {_		this.config.setAllowedHeaders(new ArrayList<>(Arrays.asList(headers)))__		return this__	};set,the,list,of,headers,that,a,pre,flight,request,can,list,as,allowed,for,use,during,an,actual,request,p,the,special,value,code,may,be,used,to,allow,all,headers,p,a,header,name,is,not,required,to,be,listed,if,it,is,one,of,code,cache,control,code,content,language,code,expires,code,last,modified,or,code,pragma,as,per,the,cors,spec,p,by,default,all,headers,are,allowed;public,cors,registration,allowed,headers,string,headers,this,config,set,allowed,headers,new,array,list,arrays,as,list,headers,return,this
CorsRegistration -> public CorsRegistration allowedOrigins(String... origins);1485986572;Set the origins to allow, e.g. {@code "http://domain1.com"}._<p>The special value {@code "*"} allows all domains._<p>By default all origins are allowed.;public CorsRegistration allowedOrigins(String... origins) {_		this.config.setAllowedOrigins(new ArrayList<>(Arrays.asList(origins)))__		return this__	};set,the,origins,to,allow,e,g,code,http,domain1,com,p,the,special,value,code,allows,all,domains,p,by,default,all,origins,are,allowed;public,cors,registration,allowed,origins,string,origins,this,config,set,allowed,origins,new,array,list,arrays,as,list,origins,return,this
CorsRegistration -> public CorsRegistration allowedOrigins(String... origins);1511387204;Set the origins to allow, e.g. {@code "http://domain1.com"}._<p>The special value {@code "*"} allows all domains._<p>By default all origins are allowed.;public CorsRegistration allowedOrigins(String... origins) {_		this.config.setAllowedOrigins(new ArrayList<>(Arrays.asList(origins)))__		return this__	};set,the,origins,to,allow,e,g,code,http,domain1,com,p,the,special,value,code,allows,all,domains,p,by,default,all,origins,are,allowed;public,cors,registration,allowed,origins,string,origins,this,config,set,allowed,origins,new,array,list,arrays,as,list,origins,return,this
CorsRegistration -> public CorsRegistration allowedOrigins(String... origins);1511925367;The list of allowed origins that be specific origins, e.g._{@code "http://domain1.com"}, or {@code "*"} for all origins._<p>A matched origin is listed in the {@code Access-Control-Allow-Origin}_response header of preflight actual CORS requests._<p>By default all origins are allowed.;public CorsRegistration allowedOrigins(String... origins) {_		this.config.setAllowedOrigins(new ArrayList<>(Arrays.asList(origins)))__		return this__	};the,list,of,allowed,origins,that,be,specific,origins,e,g,code,http,domain1,com,or,code,for,all,origins,p,a,matched,origin,is,listed,in,the,code,access,control,allow,origin,response,header,of,preflight,actual,cors,requests,p,by,default,all,origins,are,allowed;public,cors,registration,allowed,origins,string,origins,this,config,set,allowed,origins,new,array,list,arrays,as,list,origins,return,this
CorsRegistration -> public CorsRegistration allowedOrigins(String... origins);1522354261;The list of allowed origins that be specific origins, e.g._{@code "http://domain1.com"}, or {@code "*"} for all origins._<p>A matched origin is listed in the {@code Access-Control-Allow-Origin}_response header of preflight actual CORS requests._<p>By default all origins are allowed._<p><strong>Note:</strong> CORS checks use values from "Forwarded"_(<a href="http://tools.ietf.org/html/rfc7239">RFC 7239</a>),_"X-Forwarded-Host", "X-Forwarded-Port", and "X-Forwarded-Proto" headers,_if present, in order to reflect the client-originated address._Consider using the {@code ForwardedHeaderFilter} in order to choose from a_central place whether to extract and use, or to discard such headers._See the Spring Framework reference for more on this filter.;public CorsRegistration allowedOrigins(String... origins) {_		this.config.setAllowedOrigins(new ArrayList<>(Arrays.asList(origins)))__		return this__	};the,list,of,allowed,origins,that,be,specific,origins,e,g,code,http,domain1,com,or,code,for,all,origins,p,a,matched,origin,is,listed,in,the,code,access,control,allow,origin,response,header,of,preflight,actual,cors,requests,p,by,default,all,origins,are,allowed,p,strong,note,strong,cors,checks,use,values,from,forwarded,a,href,http,tools,ietf,org,html,rfc7239,rfc,7239,a,x,forwarded,host,x,forwarded,port,and,x,forwarded,proto,headers,if,present,in,order,to,reflect,the,client,originated,address,consider,using,the,code,forwarded,header,filter,in,order,to,choose,from,a,central,place,whether,to,extract,and,use,or,to,discard,such,headers,see,the,spring,framework,reference,for,more,on,this,filter;public,cors,registration,allowed,origins,string,origins,this,config,set,allowed,origins,new,array,list,arrays,as,list,origins,return,this
CorsRegistration -> public CorsRegistration allowedMethods(String... methods);1485986572;Set the HTTP methods to allow, e.g. {@code "GET"}, {@code "POST"}, etc._<p>The special value {@code "*"} allows all methods._<p>By default "simple" methods {@code GET}, {@code HEAD}, and {@code POST}_are allowed.;public CorsRegistration allowedMethods(String... methods) {_		this.config.setAllowedMethods(new ArrayList<>(Arrays.asList(methods)))__		return this__	};set,the,http,methods,to,allow,e,g,code,get,code,post,etc,p,the,special,value,code,allows,all,methods,p,by,default,simple,methods,code,get,code,head,and,code,post,are,allowed;public,cors,registration,allowed,methods,string,methods,this,config,set,allowed,methods,new,array,list,arrays,as,list,methods,return,this
CorsRegistration -> public CorsRegistration allowedMethods(String... methods);1511387204;Set the HTTP methods to allow, e.g. {@code "GET"}, {@code "POST"}, etc._<p>The special value {@code "*"} allows all methods._<p>By default "simple" methods {@code GET}, {@code HEAD}, and {@code POST}_are allowed.;public CorsRegistration allowedMethods(String... methods) {_		this.config.setAllowedMethods(new ArrayList<>(Arrays.asList(methods)))__		return this__	};set,the,http,methods,to,allow,e,g,code,get,code,post,etc,p,the,special,value,code,allows,all,methods,p,by,default,simple,methods,code,get,code,head,and,code,post,are,allowed;public,cors,registration,allowed,methods,string,methods,this,config,set,allowed,methods,new,array,list,arrays,as,list,methods,return,this
