# id;timestamp;commentText;codeText;commentWords;codeWords
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1486649520;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		ResourceSpec result = new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)___		return  result__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,resource,spec,result,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb,return,result
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1488304750;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		return new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,return,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1489671807;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		return new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,return,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1513261900;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		ResourceSpec target = new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)__		target.extendedResources.putAll(extendedResources)__		for (Resource resource : other.extendedResources.values()) {_			target.extendedResources.merge(resource.name, resource, (v1, v2) -> v1.merge(v2))__		}_		return target__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,resource,spec,target,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb,target,extended,resources,put,all,extended,resources,for,resource,resource,other,extended,resources,values,target,extended,resources,merge,resource,name,resource,v1,v2,v1,merge,v2,return,target
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1513261900;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		ResourceSpec target = new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)__		target.extendedResources.putAll(extendedResources)__		for (Resource resource : other.extendedResources.values()) {_			target.extendedResources.merge(resource.name, resource, (v1, v2) -> v1.merge(v2))__		}_		return target__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,resource,spec,target,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb,target,extended,resources,put,all,extended,resources,for,resource,resource,other,extended,resources,values,target,extended,resources,merge,resource,name,resource,v1,v2,v1,merge,v2,return,target
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1513263078;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		ResourceSpec target = new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)__		target.extendedResources.putAll(extendedResources)__		for (Resource resource : other.extendedResources.values()) {_			target.extendedResources.merge(resource.name, resource, (v1, v2) -> v1.merge(v2))__		}_		return target__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,resource,spec,target,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb,target,extended,resources,put,all,extended,resources,for,resource,resource,other,extended,resources,values,target,extended,resources,merge,resource,name,resource,v1,v2,v1,merge,v2,return,target
ResourceSpec -> public ResourceSpec merge(ResourceSpec other);1513265143;Used by system internally to merge the other resources of chained operators_when generating the job graph or merge the resource consumed by state backend.__@param other Reference to resource to merge in._@return The new resource with merged values.;public ResourceSpec merge(ResourceSpec other) {_		ResourceSpec target = new ResourceSpec(_				Math.max(this.cpuCores, other.cpuCores),_				this.heapMemoryInMB + other.heapMemoryInMB,_				this.directMemoryInMB + other.directMemoryInMB,_				this.nativeMemoryInMB + other.nativeMemoryInMB,_				this.stateSizeInMB + other.stateSizeInMB)__		target.extendedResources.putAll(extendedResources)__		for (Resource resource : other.extendedResources.values()) {_			target.extendedResources.merge(resource.getName(), resource, (v1, v2) -> v1.merge(v2))__		}_		return target__	};used,by,system,internally,to,merge,the,other,resources,of,chained,operators,when,generating,the,job,graph,or,merge,the,resource,consumed,by,state,backend,param,other,reference,to,resource,to,merge,in,return,the,new,resource,with,merged,values;public,resource,spec,merge,resource,spec,other,resource,spec,target,new,resource,spec,math,max,this,cpu,cores,other,cpu,cores,this,heap,memory,in,mb,other,heap,memory,in,mb,this,direct,memory,in,mb,other,direct,memory,in,mb,this,native,memory,in,mb,other,native,memory,in,mb,this,state,size,in,mb,other,state,size,in,mb,target,extended,resources,put,all,extended,resources,for,resource,resource,other,extended,resources,values,target,extended,resources,merge,resource,get,name,resource,v1,v2,v1,merge,v2,return,target
ResourceSpec -> public boolean lessThanOrEqual(@Nonnull ResourceSpec other);1486649520;Checks the current resource less than or equal with the other resource by comparing_all the fields in the resource.__@param other The resource to compare_@return True if current resource is less than or equal with the other resource, otherwise return false.;public boolean lessThanOrEqual(@Nonnull ResourceSpec other) {_		int cmp1 = Double.compare(this.cpuCores, other.cpuCores)__		int cmp2 = Integer.compare(this.heapMemoryInMB, other.heapMemoryInMB)__		int cmp3 = Integer.compare(this.directMemoryInMB, other.directMemoryInMB)__		int cmp4 = Integer.compare(this.nativeMemoryInMB, other.nativeMemoryInMB)__		int cmp5 = Integer.compare(this.stateSizeInMB, other.stateSizeInMB)__		if (cmp1 <= 0 && cmp2 <= 0 && cmp3 <= 0 && cmp4 <= 0 && cmp5 <= 0) {_			return true__		} else {_			return false__		}_	};checks,the,current,resource,less,than,or,equal,with,the,other,resource,by,comparing,all,the,fields,in,the,resource,param,other,the,resource,to,compare,return,true,if,current,resource,is,less,than,or,equal,with,the,other,resource,otherwise,return,false;public,boolean,less,than,or,equal,nonnull,resource,spec,other,int,cmp1,double,compare,this,cpu,cores,other,cpu,cores,int,cmp2,integer,compare,this,heap,memory,in,mb,other,heap,memory,in,mb,int,cmp3,integer,compare,this,direct,memory,in,mb,other,direct,memory,in,mb,int,cmp4,integer,compare,this,native,memory,in,mb,other,native,memory,in,mb,int,cmp5,integer,compare,this,state,size,in,mb,other,state,size,in,mb,if,cmp1,0,cmp2,0,cmp3,0,cmp4,0,cmp5,0,return,true,else,return,false
ResourceSpec -> public boolean lessThanOrEqual(@Nonnull ResourceSpec other);1488304750;Checks the current resource less than or equal with the other resource by comparing_all the fields in the resource.__@param other The resource to compare_@return True if current resource is less than or equal with the other resource, otherwise return false.;public boolean lessThanOrEqual(@Nonnull ResourceSpec other) {_		int cmp1 = Double.compare(this.cpuCores, other.cpuCores)__		int cmp2 = Integer.compare(this.heapMemoryInMB, other.heapMemoryInMB)__		int cmp3 = Integer.compare(this.directMemoryInMB, other.directMemoryInMB)__		int cmp4 = Integer.compare(this.nativeMemoryInMB, other.nativeMemoryInMB)__		int cmp5 = Integer.compare(this.stateSizeInMB, other.stateSizeInMB)__		return (cmp1 <= 0 && cmp2 <= 0 && cmp3 <= 0 && cmp4 <= 0 && cmp5 <= 0)__	};checks,the,current,resource,less,than,or,equal,with,the,other,resource,by,comparing,all,the,fields,in,the,resource,param,other,the,resource,to,compare,return,true,if,current,resource,is,less,than,or,equal,with,the,other,resource,otherwise,return,false;public,boolean,less,than,or,equal,nonnull,resource,spec,other,int,cmp1,double,compare,this,cpu,cores,other,cpu,cores,int,cmp2,integer,compare,this,heap,memory,in,mb,other,heap,memory,in,mb,int,cmp3,integer,compare,this,direct,memory,in,mb,other,direct,memory,in,mb,int,cmp4,integer,compare,this,native,memory,in,mb,other,native,memory,in,mb,int,cmp5,integer,compare,this,state,size,in,mb,other,state,size,in,mb,return,cmp1,0,cmp2,0,cmp3,0,cmp4,0,cmp5,0
ResourceSpec -> public boolean lessThanOrEqual(@Nonnull ResourceSpec other);1489671807;Checks the current resource less than or equal with the other resource by comparing_all the fields in the resource.__@param other The resource to compare_@return True if current resource is less than or equal with the other resource, otherwise return false.;public boolean lessThanOrEqual(@Nonnull ResourceSpec other) {_		int cmp1 = Double.compare(this.cpuCores, other.cpuCores)__		int cmp2 = Integer.compare(this.heapMemoryInMB, other.heapMemoryInMB)__		int cmp3 = Integer.compare(this.directMemoryInMB, other.directMemoryInMB)__		int cmp4 = Integer.compare(this.nativeMemoryInMB, other.nativeMemoryInMB)__		int cmp5 = Integer.compare(this.stateSizeInMB, other.stateSizeInMB)__		return (cmp1 <= 0 && cmp2 <= 0 && cmp3 <= 0 && cmp4 <= 0 && cmp5 <= 0)__	};checks,the,current,resource,less,than,or,equal,with,the,other,resource,by,comparing,all,the,fields,in,the,resource,param,other,the,resource,to,compare,return,true,if,current,resource,is,less,than,or,equal,with,the,other,resource,otherwise,return,false;public,boolean,less,than,or,equal,nonnull,resource,spec,other,int,cmp1,double,compare,this,cpu,cores,other,cpu,cores,int,cmp2,integer,compare,this,heap,memory,in,mb,other,heap,memory,in,mb,int,cmp3,integer,compare,this,direct,memory,in,mb,other,direct,memory,in,mb,int,cmp4,integer,compare,this,native,memory,in,mb,other,native,memory,in,mb,int,cmp5,integer,compare,this,state,size,in,mb,other,state,size,in,mb,return,cmp1,0,cmp2,0,cmp3,0,cmp4,0,cmp5,0
ResourceSpec -> public boolean lessThanOrEqual(@Nonnull ResourceSpec other);1513261900;Checks the current resource less than or equal with the other resource by comparing_all the fields in the resource.__@param other The resource to compare_@return True if current resource is less than or equal with the other resource, otherwise return false.;public boolean lessThanOrEqual(@Nonnull ResourceSpec other) {_		int cmp1 = Double.compare(this.cpuCores, other.cpuCores)__		int cmp2 = Integer.compare(this.heapMemoryInMB, other.heapMemoryInMB)__		int cmp3 = Integer.compare(this.directMemoryInMB, other.directMemoryInMB)__		int cmp4 = Integer.compare(this.nativeMemoryInMB, other.nativeMemoryInMB)__		int cmp5 = Integer.compare(this.stateSizeInMB, other.stateSizeInMB)__		if (cmp1 <= 0 && cmp2 <= 0 && cmp3 <= 0 && cmp4 <= 0 && cmp5 <= 0) {_			for (Resource resource : extendedResources.values()) {_				if (!other.extendedResources.containsKey(resource.name) ||_						!other.extendedResources.get(resource.name).type.equals(resource.type) ||_						other.extendedResources.get(resource.name).value < resource.value) {_					return false__				}_			}_			return true__		}_		return false__	};checks,the,current,resource,less,than,or,equal,with,the,other,resource,by,comparing,all,the,fields,in,the,resource,param,other,the,resource,to,compare,return,true,if,current,resource,is,less,than,or,equal,with,the,other,resource,otherwise,return,false;public,boolean,less,than,or,equal,nonnull,resource,spec,other,int,cmp1,double,compare,this,cpu,cores,other,cpu,cores,int,cmp2,integer,compare,this,heap,memory,in,mb,other,heap,memory,in,mb,int,cmp3,integer,compare,this,direct,memory,in,mb,other,direct,memory,in,mb,int,cmp4,integer,compare,this,native,memory,in,mb,other,native,memory,in,mb,int,cmp5,integer,compare,this,state,size,in,mb,other,state,size,in,mb,if,cmp1,0,cmp2,0,cmp3,0,cmp4,0,cmp5,0,for,resource,resource,extended,resources,values,if,other,extended,resources,contains,key,resource,name,other,extended,resources,get,resource,name,type,equals,resource,type,other,extended,resources,get,resource,name,value,resource,value,return,false,return,true,return,false
