# id;timestamp;commentText;codeText;commentWords;codeWords
SpanningRecordSerializer -> @Override 	public SerializationResult copyToBufferBuilder(BufferBuilder targetBuffer);1537529044;Copies an intermediate data serialization buffer into the target BufferBuilder.__@param targetBuffer the target BufferBuilder to copy to_@return how much information was written to the target buffer and_whether this buffer is full;@Override_	public SerializationResult copyToBufferBuilder(BufferBuilder targetBuffer) {_		boolean mustCommit = false__		if (lengthBuffer.hasRemaining()) {_			targetBuffer.append(lengthBuffer)__			mustCommit = true__		}__		if (dataBuffer.hasRemaining()) {_			targetBuffer.append(dataBuffer)__			mustCommit = true__		}__		if (mustCommit) {_			targetBuffer.commit()__		}__		return getSerializationResult(targetBuffer)__	};copies,an,intermediate,data,serialization,buffer,into,the,target,buffer,builder,param,target,buffer,the,target,buffer,builder,to,copy,to,return,how,much,information,was,written,to,the,target,buffer,and,whether,this,buffer,is,full;override,public,serialization,result,copy,to,buffer,builder,buffer,builder,target,buffer,boolean,must,commit,false,if,length,buffer,has,remaining,target,buffer,append,length,buffer,must,commit,true,if,data,buffer,has,remaining,target,buffer,append,data,buffer,must,commit,true,if,must,commit,target,buffer,commit,return,get,serialization,result,target,buffer
SpanningRecordSerializer -> @Override 	public SerializationResult copyToBufferBuilder(BufferBuilder targetBuffer);1539781044;Copies an intermediate data serialization buffer into the target BufferBuilder.__@param targetBuffer the target BufferBuilder to copy to_@return how much information was written to the target buffer and_whether this buffer is full;@Override_	public SerializationResult copyToBufferBuilder(BufferBuilder targetBuffer) {_		targetBuffer.append(lengthBuffer)__		targetBuffer.append(dataBuffer)__		targetBuffer.commit()___		return getSerializationResult(targetBuffer)__	};copies,an,intermediate,data,serialization,buffer,into,the,target,buffer,builder,param,target,buffer,the,target,buffer,builder,to,copy,to,return,how,much,information,was,written,to,the,target,buffer,and,whether,this,buffer,is,full;override,public,serialization,result,copy,to,buffer,builder,buffer,builder,target,buffer,target,buffer,append,length,buffer,target,buffer,append,data,buffer,target,buffer,commit,return,get,serialization,result,target,buffer
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1421050512;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1421838095;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1421838095;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1432760698;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1436966346;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1463939897;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1466072697;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1469529015;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
SpanningRecordSerializer -> private void copyToTargetBufferFrom(ByteBuffer source);1477389806;Copies as many bytes as possible from the given {@link ByteBuffer} to the {@link MemorySegment} of the target_{@link Buffer} and advances the current position by the number of written bytes.__@param source the {@link ByteBuffer} to copy data from;private void copyToTargetBufferFrom(ByteBuffer source) {_		if (this.targetBuffer == null) {_			return__		}__		int needed = source.remaining()__		int available = this.limit - this.position__		int toCopy = Math.min(needed, available)___		this.targetBuffer.getMemorySegment().put(this.position, source, toCopy)___		this.position += toCopy__	};copies,as,many,bytes,as,possible,from,the,given,link,byte,buffer,to,the,link,memory,segment,of,the,target,link,buffer,and,advances,the,current,position,by,the,number,of,written,bytes,param,source,the,link,byte,buffer,to,copy,data,from;private,void,copy,to,target,buffer,from,byte,buffer,source,if,this,target,buffer,null,return,int,needed,source,remaining,int,available,this,limit,this,position,int,to,copy,math,min,needed,available,this,target,buffer,get,memory,segment,put,this,position,source,to,copy,this,position,to,copy
