# id;timestamp;commentText;codeText;commentWords;codeWords
JCacheComponent -> public Configuration getCacheConfiguration();1488050758;A {@link Configuration} for the {@link Cache};public Configuration getCacheConfiguration() {_        return cacheConfiguration__    };a,link,configuration,for,the,link,cache;public,configuration,get,cache,configuration,return,cache,configuration
JCacheComponent -> public Configuration getCacheConfiguration();1540108158;A {@link Configuration} for the {@link Cache};public Configuration getCacheConfiguration() {_        return cacheConfiguration__    };a,link,configuration,for,the,link,cache;public,configuration,get,cache,configuration,return,cache,configuration
JCacheComponent -> public Configuration getCacheConfiguration();1540108163;A {@link Configuration} for the {@link Cache};public Configuration getCacheConfiguration() {_        return cacheConfiguration__    };a,link,configuration,for,the,link,cache;public,configuration,get,cache,configuration,return,cache,configuration
JCacheComponent -> public Configuration getCacheConfiguration();1547241305;A {@link Configuration} for the {@link Cache};public Configuration getCacheConfiguration() {_        return cacheConfiguration__    };a,link,configuration,for,the,link,cache;public,configuration,get,cache,configuration,return,cache,configuration
JCacheComponent -> public String getConfigurationUri();1488050758;An implementation specific URI for the {@link CacheManager};public String getConfigurationUri() {_        return configurationUri__    };an,implementation,specific,uri,for,the,link,cache,manager;public,string,get,configuration,uri,return,configuration,uri
JCacheComponent -> public String getConfigurationUri();1540108158;An implementation specific URI for the {@link CacheManager};public String getConfigurationUri() {_        return configurationUri__    };an,implementation,specific,uri,for,the,link,cache,manager;public,string,get,configuration,uri,return,configuration,uri
JCacheComponent -> public String getConfigurationUri();1540108163;An implementation specific URI for the {@link CacheManager};public String getConfigurationUri() {_        return configurationUri__    };an,implementation,specific,uri,for,the,link,cache,manager;public,string,get,configuration,uri,return,configuration,uri
JCacheComponent -> public String getConfigurationUri();1547241305;An implementation specific URI for the {@link CacheManager};public String getConfigurationUri() {_        return configurationUri__    };an,implementation,specific,uri,for,the,link,cache,manager;public,string,get,configuration,uri,return,configuration,uri
JCacheComponent -> public Properties getCacheConfigurationProperties();1488050758;The {@link Properties} for the {@link javax.cache.spi.CachingProvider} to_create the {@link CacheManager};public Properties getCacheConfigurationProperties() {_        return cacheConfigurationProperties__    };the,link,properties,for,the,link,javax,cache,spi,caching,provider,to,create,the,link,cache,manager;public,properties,get,cache,configuration,properties,return,cache,configuration,properties
JCacheComponent -> public Properties getCacheConfigurationProperties();1540108158;The {@link Properties} for the {@link javax.cache.spi.CachingProvider} to_create the {@link CacheManager};public Properties getCacheConfigurationProperties() {_        return cacheConfigurationProperties__    };the,link,properties,for,the,link,javax,cache,spi,caching,provider,to,create,the,link,cache,manager;public,properties,get,cache,configuration,properties,return,cache,configuration,properties
JCacheComponent -> public Properties getCacheConfigurationProperties();1540108163;The {@link Properties} for the {@link javax.cache.spi.CachingProvider} to_create the {@link CacheManager};public Properties getCacheConfigurationProperties() {_        return cacheConfigurationProperties__    };the,link,properties,for,the,link,javax,cache,spi,caching,provider,to,create,the,link,cache,manager;public,properties,get,cache,configuration,properties,return,cache,configuration,properties
JCacheComponent -> public Properties getCacheConfigurationProperties();1547241305;The {@link Properties} for the {@link javax.cache.spi.CachingProvider} to_create the {@link CacheManager};public Properties getCacheConfigurationProperties() {_        return cacheConfigurationProperties__    };the,link,properties,for,the,link,javax,cache,spi,caching,provider,to,create,the,link,cache,manager;public,properties,get,cache,configuration,properties,return,cache,configuration,properties
JCacheComponent -> public String getCachingProvider();1488050758;The fully qualified class name of the {@link javax.cache.spi.CachingProvider};public String getCachingProvider() {_        return cachingProvider__    };the,fully,qualified,class,name,of,the,link,javax,cache,spi,caching,provider;public,string,get,caching,provider,return,caching,provider
JCacheComponent -> public String getCachingProvider();1540108158;The fully qualified class name of the {@link javax.cache.spi.CachingProvider};public String getCachingProvider() {_        return cachingProvider__    };the,fully,qualified,class,name,of,the,link,javax,cache,spi,caching,provider;public,string,get,caching,provider,return,caching,provider
JCacheComponent -> public String getCachingProvider();1540108163;The fully qualified class name of the {@link javax.cache.spi.CachingProvider};public String getCachingProvider() {_        return cachingProvider__    };the,fully,qualified,class,name,of,the,link,javax,cache,spi,caching,provider;public,string,get,caching,provider,return,caching,provider
JCacheComponent -> public String getCachingProvider();1547241305;The fully qualified class name of the {@link javax.cache.spi.CachingProvider};public String getCachingProvider() {_        return cachingProvider__    };the,fully,qualified,class,name,of,the,link,javax,cache,spi,caching,provider;public,string,get,caching,provider,return,caching,provider
