# id;timestamp;commentText;codeText;commentWords;codeWords
ServerResponseResultHandler -> public ServerResponseResultHandler(HandlerStrategies strategies);1485986572;Create a {@code ResponseResultHandler} with the given strategies.;public ServerResponseResultHandler(HandlerStrategies strategies) {_		Assert.notNull(strategies, "'strategies' must not be null")__		this.strategies = strategies__	};create,a,code,response,result,handler,with,the,given,strategies;public,server,response,result,handler,handler,strategies,strategies,assert,not,null,strategies,strategies,must,not,be,null,this,strategies,strategies
ServerResponseResultHandler -> public ServerResponseResultHandler(HandlerStrategies strategies);1494019148;Create a {@code ServerResponseResultHandler} with the given strategies.;public ServerResponseResultHandler(HandlerStrategies strategies) {_		Assert.notNull(strategies, "HandlerStrategies must not be null")__		this.strategies = strategies__	};create,a,code,server,response,result,handler,with,the,given,strategies;public,server,response,result,handler,handler,strategies,strategies,assert,not,null,strategies,handler,strategies,must,not,be,null,this,strategies,strategies
ServerResponseResultHandler -> public ServerResponseResultHandler(HandlerStrategies strategies);1495569915;Create a {@code ServerResponseResultHandler} with the given strategies.;public ServerResponseResultHandler(HandlerStrategies strategies) {_		Assert.notNull(strategies, "HandlerStrategies must not be null")__		this.strategies = strategies__	};create,a,code,server,response,result,handler,with,the,given,strategies;public,server,response,result,handler,handler,strategies,strategies,assert,not,null,strategies,handler,strategies,must,not,be,null,this,strategies,strategies
ServerResponseResultHandler -> public void setMessageWriters(List<HttpMessageWriter<?>> configurer);1501084116;Configure HTTP message writers to serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer}'s default writers.;public void setMessageWriters(List<HttpMessageWriter<?>> configurer) {_		Assert.notNull(messageWriters, "'messageWriters' must not be null")__		this.messageWriters = configurer__	};configure,http,message,writers,to,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,s,default,writers;public,void,set,message,writers,list,http,message,writer,configurer,assert,not,null,message,writers,message,writers,must,not,be,null,this,message,writers,configurer
ServerResponseResultHandler -> public void setMessageWriters(List<HttpMessageWriter<?>> configurer);1517004361;Configure HTTP message writers to serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer}'s default writers.;public void setMessageWriters(List<HttpMessageWriter<?>> configurer) {_		Assert.notNull(messageWriters, "'messageWriters' must not be null")__		this.messageWriters = configurer__	};configure,http,message,writers,to,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,s,default,writers;public,void,set,message,writers,list,http,message,writer,configurer,assert,not,null,message,writers,message,writers,must,not,be,null,this,message,writers,configurer
ServerResponseResultHandler -> public void setMessageWriters(List<HttpMessageWriter<?>> configurer);1524865018;Configure HTTP message writers to serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer}'s default writers.;public void setMessageWriters(List<HttpMessageWriter<?>> configurer) {_		this.messageWriters = configurer__	};configure,http,message,writers,to,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,s,default,writers;public,void,set,message,writers,list,http,message,writer,configurer,this,message,writers,configurer
ServerResponseResultHandler -> public void setMessageWriters(List<HttpMessageWriter<?>> configurer);1530174524;Configure HTTP message writers to serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer}'s default writers.;public void setMessageWriters(List<HttpMessageWriter<?>> configurer) {_		this.messageWriters = configurer__	};configure,http,message,writers,to,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,s,default,writers;public,void,set,message,writers,list,http,message,writer,configurer,this,message,writers,configurer
ServerResponseResultHandler -> public void setMessageWriters(List<HttpMessageWriter<?>> configurer);1532450752;Configure HTTP message writers to serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer}'s default writers.;public void setMessageWriters(List<HttpMessageWriter<?>> configurer) {_		this.messageWriters = configurer__	};configure,http,message,writers,to,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,s,default,writers;public,void,set,message,writers,list,http,message,writer,configurer,this,message,writers,configurer
ServerResponseResultHandler -> public void setOrder(int order);1495618935;Set the order for this result handler relative to others._<p>By default set to {@link Ordered#LOWEST_PRECEDENCE}, however see_Javadoc of sub-classes which may change this default._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,link,ordered,however,see,javadoc,of,sub,classes,which,may,change,this,default,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1495626483;Set the order for this result handler relative to others._<p>By default set to {@link Ordered#LOWEST_PRECEDENCE}, however see_Javadoc of sub-classes which may change this default._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,link,ordered,however,see,javadoc,of,sub,classes,which,may,change,this,default,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1498780456;Set the order for this result handler relative to others._<p>By default set to {@link Ordered#LOWEST_PRECEDENCE}, however see_Javadoc of sub-classes which may change this default._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,link,ordered,however,see,javadoc,of,sub,classes,which,may,change,this,default,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1501084116;Set the order for this result handler relative to others._<p>By default set to {@link Ordered#LOWEST_PRECEDENCE}, however see_Javadoc of sub-classes which may change this default._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,link,ordered,however,see,javadoc,of,sub,classes,which,may,change,this,default,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1517004361;Set the order for this result handler relative to others._<p>By default set to 0. It is generally safe to place it early in the_order as it looks for a concrete return type._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,0,it,is,generally,safe,to,place,it,early,in,the,order,as,it,looks,for,a,concrete,return,type,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1524865018;Set the order for this result handler relative to others._<p>By default set to 0. It is generally safe to place it early in the_order as it looks for a concrete return type._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,0,it,is,generally,safe,to,place,it,early,in,the,order,as,it,looks,for,a,concrete,return,type,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1530174524;Set the order for this result handler relative to others._<p>By default set to 0. It is generally safe to place it early in the_order as it looks for a concrete return type._@param order the order;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,0,it,is,generally,safe,to,place,it,early,in,the,order,as,it,looks,for,a,concrete,return,type,param,order,the,order;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setOrder(int order);1532450752;Set the order for this result handler relative to others._<p>By default set to 0. It is generally safe to place it early in the_order as it looks for a concrete return type.;public void setOrder(int order) {_		this.order = order__	};set,the,order,for,this,result,handler,relative,to,others,p,by,default,set,to,0,it,is,generally,safe,to,place,it,early,in,the,order,as,it,looks,for,a,concrete,return,type;public,void,set,order,int,order,this,order,order
ServerResponseResultHandler -> public void setMessageCodecConfigurer(ServerCodecConfigurer configurer);1495618935;Configure HTTP message readers to de-serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer} with defaults.;public void setMessageCodecConfigurer(ServerCodecConfigurer configurer) {_		this.messageCodecConfigurer = configurer__	};configure,http,message,readers,to,de,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,with,defaults;public,void,set,message,codec,configurer,server,codec,configurer,configurer,this,message,codec,configurer,configurer
ServerResponseResultHandler -> public void setMessageCodecConfigurer(ServerCodecConfigurer configurer);1495626483;Configure HTTP message readers to de-serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer} with defaults.;public void setMessageCodecConfigurer(ServerCodecConfigurer configurer) {_		this.messageCodecConfigurer = configurer__	};configure,http,message,readers,to,de,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,with,defaults;public,void,set,message,codec,configurer,server,codec,configurer,configurer,this,message,codec,configurer,configurer
ServerResponseResultHandler -> public void setMessageCodecConfigurer(ServerCodecConfigurer configurer);1498780456;Configure HTTP message readers to de-serialize the request body with._<p>By default this is set to {@link ServerCodecConfigurer} with defaults.;public void setMessageCodecConfigurer(ServerCodecConfigurer configurer) {_		this.messageCodecConfigurer = configurer__	};configure,http,message,readers,to,de,serialize,the,request,body,with,p,by,default,this,is,set,to,link,server,codec,configurer,with,defaults;public,void,set,message,codec,configurer,server,codec,configurer,configurer,this,message,codec,configurer,configurer
ServerResponseResultHandler -> public ServerResponseResultHandler();1485986572;Create a {@code ResponseResultHandler} with default strategies.;public ServerResponseResultHandler() {_		this(HandlerStrategies.builder().build())__	};create,a,code,response,result,handler,with,default,strategies;public,server,response,result,handler,this,handler,strategies,builder,build
ServerResponseResultHandler -> public ServerResponseResultHandler();1494019148;Create a {@code ServerResponseResultHandler} with default strategies.;public ServerResponseResultHandler() {_		this(HandlerStrategies.builder().build())__	};create,a,code,server,response,result,handler,with,default,strategies;public,server,response,result,handler,this,handler,strategies,builder,build
ServerResponseResultHandler -> public ServerResponseResultHandler();1495569915;Create a {@code ServerResponseResultHandler} with default strategies.;public ServerResponseResultHandler() {_		this(HandlerStrategies.builder().build())__	};create,a,code,server,response,result,handler,with,default,strategies;public,server,response,result,handler,this,handler,strategies,builder,build
