# id;timestamp;commentText;codeText;commentWords;codeWords
MailSorter -> SortTermWithDescending -> public SortTerm getTerm();1415211488;@return Actual search term;public SortTerm getTerm() {_            return term__        };return,actual,search,term;public,sort,term,get,term,return,term
MailSorter -> SortTermWithDescending -> public SortTerm getTerm();1425286479;@return Actual search term;public SortTerm getTerm() {_            return term__        };return,actual,search,term;public,sort,term,get,term,return,term
MailSorter -> SortTermWithDescending -> public SortTerm getTerm();1524063106;@return Actual search term;public SortTerm getTerm() {_            return term__        };return,actual,search,term;public,sort,term,get,term,return,term
MailSorter -> private static List<SortTermWithDescending> getSortTermsWithDescending(SortTerm[] sortTerm);1415211488;Compute the potentially descendingd sort terms from the input list__@param sortTerm Input list_@return Sort terms list including if the respective sort should be sorted in descending order;private static List<SortTermWithDescending> getSortTermsWithDescending(SortTerm[] sortTerm) {_        _        final List<SortTermWithDescending> sortTermsWithDescending = new ArrayList<>(sortTerm.length)__        _        boolean descendingNext = false__        for (SortTerm term : sortTerm) {_            if (term.equals(SortTerm.REVERSE)) {_                if (descendingNext) {_                    throw new IllegalArgumentException("Double reverse in sort term is not allowed")__                }_                descendingNext = true__            } else {_                sortTermsWithDescending.add(new SortTermWithDescending(term, descendingNext))__                descendingNext = false__            }_        }_        return sortTermsWithDescending__    };compute,the,potentially,descendingd,sort,terms,from,the,input,list,param,sort,term,input,list,return,sort,terms,list,including,if,the,respective,sort,should,be,sorted,in,descending,order;private,static,list,sort,term,with,descending,get,sort,terms,with,descending,sort,term,sort,term,final,list,sort,term,with,descending,sort,terms,with,descending,new,array,list,sort,term,length,boolean,descending,next,false,for,sort,term,term,sort,term,if,term,equals,sort,term,reverse,if,descending,next,throw,new,illegal,argument,exception,double,reverse,in,sort,term,is,not,allowed,descending,next,true,else,sort,terms,with,descending,add,new,sort,term,with,descending,term,descending,next,descending,next,false,return,sort,terms,with,descending
MailSorter -> private static List<SortTermWithDescending> getSortTermsWithDescending(SortTerm[] sortTerm);1425286479;Compute the potentially descending sort terms from the input list__@param sortTerm Input list_@return Sort terms list including if the respective sort should be sorted in descending order;private static List<SortTermWithDescending> getSortTermsWithDescending(SortTerm[] sortTerm) {_        _        final List<SortTermWithDescending> sortTermsWithDescending = new ArrayList<SortTermWithDescending>(sortTerm.length)__        _        boolean descendingNext = false__        for (SortTerm term : sortTerm) {_            if (term.equals(SortTerm.REVERSE)) {_                if (descendingNext) {_                    throw new IllegalArgumentException("Double reverse in sort term is not allowed")__                }_                descendingNext = true__            } else {_                sortTermsWithDescending.add(new SortTermWithDescending(term, descendingNext))__                descendingNext = false__            }_        }_        return sortTermsWithDescending__    };compute,the,potentially,descending,sort,terms,from,the,input,list,param,sort,term,input,list,return,sort,terms,list,including,if,the,respective,sort,should,be,sorted,in,descending,order;private,static,list,sort,term,with,descending,get,sort,terms,with,descending,sort,term,sort,term,final,list,sort,term,with,descending,sort,terms,with,descending,new,array,list,sort,term,with,descending,sort,term,length,boolean,descending,next,false,for,sort,term,term,sort,term,if,term,equals,sort,term,reverse,if,descending,next,throw,new,illegal,argument,exception,double,reverse,in,sort,term,is,not,allowed,descending,next,true,else,sort,terms,with,descending,add,new,sort,term,with,descending,term,descending,next,descending,next,false,return,sort,terms,with,descending
MailSorter -> private static List<SortTermWithDescending> getSortTermsWithDescending(SortTerm[] sortTerm);1524063106;Compute the potentially descending sort terms from the input list__@param sortTerm Input list_@return Sort terms list including if the respective sort should be sorted in descending order;private static List<SortTermWithDescending> getSortTermsWithDescending(SortTerm[] sortTerm) {_        _        final List<SortTermWithDescending> sortTermsWithDescending = new ArrayList<>(sortTerm.length)__        _        boolean descendingNext = false__        for (SortTerm term : sortTerm) {_            if (term.equals(SortTerm.REVERSE)) {_                if (descendingNext) {_                    throw new IllegalArgumentException("Double reverse in sort term is not allowed")__                }_                descendingNext = true__            } else {_                sortTermsWithDescending.add(new SortTermWithDescending(term, descendingNext))__                descendingNext = false__            }_        }_        return sortTermsWithDescending__    };compute,the,potentially,descending,sort,terms,from,the,input,list,param,sort,term,input,list,return,sort,terms,list,including,if,the,respective,sort,should,be,sorted,in,descending,order;private,static,list,sort,term,with,descending,get,sort,terms,with,descending,sort,term,sort,term,final,list,sort,term,with,descending,sort,terms,with,descending,new,array,list,sort,term,length,boolean,descending,next,false,for,sort,term,term,sort,term,if,term,equals,sort,term,reverse,if,descending,next,throw,new,illegal,argument,exception,double,reverse,in,sort,term,is,not,allowed,descending,next,true,else,sort,terms,with,descending,add,new,sort,term,with,descending,term,descending,next,descending,next,false,return,sort,terms,with,descending
MailSorter -> SortTermWithDescending -> public boolean isDescending();1415211488;@return true if sorting should be descending, false if it should be ascending;public boolean isDescending() {_            return descending__        };return,true,if,sorting,should,be,descending,false,if,it,should,be,ascending;public,boolean,is,descending,return,descending
MailSorter -> SortTermWithDescending -> public boolean isDescending();1425286479;@return true if sorting should be descending, false if it should be ascending;public boolean isDescending() {_            return descending__        };return,true,if,sorting,should,be,descending,false,if,it,should,be,ascending;public,boolean,is,descending,return,descending
MailSorter -> SortTermWithDescending -> public boolean isDescending();1524063106;@return true if sorting should be descending, false if it should be ascending;public boolean isDescending() {_            return descending__        };return,true,if,sorting,should,be,descending,false,if,it,should,be,ascending;public,boolean,is,descending,return,descending
MailSorter -> private static void sortMessages(Message[] messages, final List<SortTermWithDescending> sortTermsWithDescending);1415211488;Sort messages using the list of properties__@param messages             Messages to sort. Are sorted in place_@param sortTermsWithDescending Sort terms list including if the respective sort should be sorted in descending order;private static void sortMessages(Message[] messages, final List<SortTermWithDescending> sortTermsWithDescending) {_        Arrays.sort(messages, new Comparator<Message>() {_            @Override_            public int compare(Message m1, Message m2) {_                try {_                    for (SortTermWithDescending reversableTerm : sortTermsWithDescending) {_                        int comparison = compareMessageProperty(m1, m2, reversableTerm.getTerm())__                        _                        if (reversableTerm.isDescending()) {_                            comparison = -comparison__                        }_                        _                        if (comparison != 0) {_                            return comparison__                        }_                    }_                    _                    return 0__                } catch (MessagingException e) {_                    throw new IllegalArgumentException(e)__                }_            }_        })__    };sort,messages,using,the,list,of,properties,param,messages,messages,to,sort,are,sorted,in,place,param,sort,terms,with,descending,sort,terms,list,including,if,the,respective,sort,should,be,sorted,in,descending,order;private,static,void,sort,messages,message,messages,final,list,sort,term,with,descending,sort,terms,with,descending,arrays,sort,messages,new,comparator,message,override,public,int,compare,message,m1,message,m2,try,for,sort,term,with,descending,reversable,term,sort,terms,with,descending,int,comparison,compare,message,property,m1,m2,reversable,term,get,term,if,reversable,term,is,descending,comparison,comparison,if,comparison,0,return,comparison,return,0,catch,messaging,exception,e,throw,new,illegal,argument,exception,e
MailSorter -> private static void sortMessages(Message[] messages, final List<SortTermWithDescending> sortTermsWithDescending);1425286479;Sort messages using the list of properties__@param messages             Messages to sort. Are sorted in place_@param sortTermsWithDescending Sort terms list including if the respective sort should be sorted in descending order;private static void sortMessages(Message[] messages, final List<SortTermWithDescending> sortTermsWithDescending) {_        Arrays.sort(messages, new Comparator<Message>() {_            @Override_            public int compare(Message m1, Message m2) {_                try {_                    for (SortTermWithDescending reversableTerm : sortTermsWithDescending) {_                        int comparison = compareMessageProperty(m1, m2, reversableTerm.getTerm())__                        _                        if (reversableTerm.isDescending()) {_                            comparison = -comparison__                        }_                        _                        if (comparison != 0) {_                            return comparison__                        }_                    }_                    _                    return 0__                } catch (MessagingException e) {_                    throw new IllegalArgumentException(e)__                }_            }_        })__    };sort,messages,using,the,list,of,properties,param,messages,messages,to,sort,are,sorted,in,place,param,sort,terms,with,descending,sort,terms,list,including,if,the,respective,sort,should,be,sorted,in,descending,order;private,static,void,sort,messages,message,messages,final,list,sort,term,with,descending,sort,terms,with,descending,arrays,sort,messages,new,comparator,message,override,public,int,compare,message,m1,message,m2,try,for,sort,term,with,descending,reversable,term,sort,terms,with,descending,int,comparison,compare,message,property,m1,m2,reversable,term,get,term,if,reversable,term,is,descending,comparison,comparison,if,comparison,0,return,comparison,return,0,catch,messaging,exception,e,throw,new,illegal,argument,exception,e
