# id;timestamp;commentText;codeText;commentWords;codeWords
AllocationDecider -> public Decision canRebalance(RoutingAllocation allocation);1524684173;Returns a {@link Decision} whether the cluster can execute_re-balanced operations at all._{@link Decision#ALWAYS}.;public Decision canRebalance(RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,cluster,can,execute,re,balanced,operations,at,all,link,decision,always;public,decision,can,rebalance,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canRebalance(RoutingAllocation allocation);1541092382;Returns a {@link Decision} whether the cluster can execute_re-balanced operations at all._{@link Decision#ALWAYS}.;public Decision canRebalance(RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,cluster,can,execute,re,balanced,operations,at,all,link,decision,always;public,decision,can,rebalance,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canRebalance(RoutingAllocation allocation);1542402632;Returns a {@link Decision} whether the cluster can execute_re-balanced operations at all._{@link Decision#ALWAYS}.;public Decision canRebalance(RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,cluster,can,execute,re,balanced,operations,at,all,link,decision,always;public,decision,can,rebalance,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canRemain(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation);1524684173;Returns a {@link Decision} whether the given shard routing can be remain_on the given node. The default is {@link Decision#ALWAYS}.;public Decision canRemain(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,remain,on,the,given,node,the,default,is,link,decision,always;public,decision,can,remain,shard,routing,shard,routing,routing,node,node,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canRemain(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation);1541092382;Returns a {@link Decision} whether the given shard routing can be remain_on the given node. The default is {@link Decision#ALWAYS}.;public Decision canRemain(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,remain,on,the,given,node,the,default,is,link,decision,always;public,decision,can,remain,shard,routing,shard,routing,routing,node,node,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canRemain(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation);1542402632;Returns a {@link Decision} whether the given shard routing can be remain_on the given node. The default is {@link Decision#ALWAYS}.;public Decision canRemain(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,remain,on,the,given,node,the,default,is,link,decision,always;public,decision,can,remain,shard,routing,shard,routing,routing,node,node,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation);1524684173;Returns a {@link Decision} whether the given shard routing can be allocated at all at this state of the_{@link RoutingAllocation}. The default is {@link Decision#ALWAYS}.;public Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,allocated,at,all,at,this,state,of,the,link,routing,allocation,the,default,is,link,decision,always;public,decision,can,allocate,shard,routing,shard,routing,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation);1541092382;Returns a {@link Decision} whether the given shard routing can be allocated at all at this state of the_{@link RoutingAllocation}. The default is {@link Decision#ALWAYS}.;public Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,allocated,at,all,at,this,state,of,the,link,routing,allocation,the,default,is,link,decision,always;public,decision,can,allocate,shard,routing,shard,routing,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation);1542402632;Returns a {@link Decision} whether the given shard routing can be allocated at all at this state of the_{@link RoutingAllocation}. The default is {@link Decision#ALWAYS}.;public Decision canAllocate(ShardRouting shardRouting, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,allocated,at,all,at,this,state,of,the,link,routing,allocation,the,default,is,link,decision,always;public,decision,can,allocate,shard,routing,shard,routing,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canAllocate(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation);1524684173;Returns a {@link Decision} whether the given shard routing can be_allocated on the given node. The default is {@link Decision#ALWAYS}.;public Decision canAllocate(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,allocated,on,the,given,node,the,default,is,link,decision,always;public,decision,can,allocate,shard,routing,shard,routing,routing,node,node,routing,allocation,allocation,return,decision,always
AllocationDecider -> public Decision canAllocate(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation);1541092382;Returns a {@link Decision} whether the given shard routing can be_allocated on the given node. The default is {@link Decision#ALWAYS}.;public Decision canAllocate(ShardRouting shardRouting, RoutingNode node, RoutingAllocation allocation) {_        return Decision.ALWAYS__    };returns,a,link,decision,whether,the,given,shard,routing,can,be,allocated,on,the,given,node,the,default,is,link,decision,always;public,decision,can,allocate,shard,routing,shard,routing,routing,node,node,routing,allocation,allocation,return,decision,always
