# id;timestamp;commentText;codeText;commentWords;codeWords
SqlOutParameter -> public SqlReturnType getSqlReturnType();1328020251;Return the custom return type, if any.;public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> public SqlReturnType getSqlReturnType();1385412762;Return the custom return type, if any.;public SqlReturnType getSqlReturnType() {_		return this.sqlReturnType__	};return,the,custom,return,type,if,any;public,sql,return,type,get,sql,return,type,return,this,sql,return,type
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType);1496837955;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param typeName the type name of the parameter (optional)_@param sqlReturnType custom value handler for complex type (optional);public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType) {_		super(name, sqlType, typeName)__		this.sqlReturnType = sqlReturnType__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,type,name,the,type,name,of,the,parameter,optional,param,sql,return,type,custom,value,handler,for,complex,type,optional;public,sql,out,parameter,string,name,int,sql,type,nullable,string,type,name,nullable,sql,return,type,sql,return,type,super,name,sql,type,type,name,this,sql,return,type,sql,return,type
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType);1498780456;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param typeName the type name of the parameter (optional)_@param sqlReturnType custom value handler for complex type (optional);public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType) {_		super(name, sqlType, typeName)__		this.sqlReturnType = sqlReturnType__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,type,name,the,type,name,of,the,parameter,optional,param,sql,return,type,custom,value,handler,for,complex,type,optional;public,sql,out,parameter,string,name,int,sql,type,nullable,string,type,name,nullable,sql,return,type,sql,return,type,super,name,sql,type,type,name,this,sql,return,type,sql,return,type
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType);1521457504;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType SQL type of the parameter according to java.sql.Types_@param typeName the type name of the parameter (optional)_@param sqlReturnType custom value handler for complex type (optional);public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType) {_		super(name, sqlType, typeName)__		this.sqlReturnType = sqlReturnType__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,sql,type,of,the,parameter,according,to,java,sql,types,param,type,name,the,type,name,of,the,parameter,optional,param,sql,return,type,custom,value,handler,for,complex,type,optional;public,sql,out,parameter,string,name,int,sql,type,nullable,string,type,name,nullable,sql,return,type,sql,return,type,super,name,sql,type,type,name,this,sql,return,type,sql,return,type
SqlOutParameter -> public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType);1530174524;Create a new SqlOutParameter._@param name name of the parameter, as used in input and output maps_@param sqlType the parameter SQL type according to {@code java.sql.Types}_@param typeName the type name of the parameter (optional)_@param sqlReturnType custom value handler for complex type (optional);public SqlOutParameter(String name, int sqlType, @Nullable String typeName, @Nullable SqlReturnType sqlReturnType) {_		super(name, sqlType, typeName)__		this.sqlReturnType = sqlReturnType__	};create,a,new,sql,out,parameter,param,name,name,of,the,parameter,as,used,in,input,and,output,maps,param,sql,type,the,parameter,sql,type,according,to,code,java,sql,types,param,type,name,the,type,name,of,the,parameter,optional,param,sql,return,type,custom,value,handler,for,complex,type,optional;public,sql,out,parameter,string,name,int,sql,type,nullable,string,type,name,nullable,sql,return,type,sql,return,type,super,name,sql,type,type,name,this,sql,return,type,sql,return,type
SqlOutParameter -> public boolean isReturnTypeSupported();1328020251;Return whether this parameter holds a custom return type.;public boolean isReturnTypeSupported() {_		return (this.sqlReturnType != null)__	};return,whether,this,parameter,holds,a,custom,return,type;public,boolean,is,return,type,supported,return,this,sql,return,type,null
SqlOutParameter -> public boolean isReturnTypeSupported();1385412762;Return whether this parameter holds a custom return type.;public boolean isReturnTypeSupported() {_		return (this.sqlReturnType != null)__	};return,whether,this,parameter,holds,a,custom,return,type;public,boolean,is,return,type,supported,return,this,sql,return,type,null
SqlOutParameter -> public boolean isReturnTypeSupported();1495868221;Return whether this parameter holds a custom return type.;public boolean isReturnTypeSupported() {_		return (this.sqlReturnType != null)__	};return,whether,this,parameter,holds,a,custom,return,type;public,boolean,is,return,type,supported,return,this,sql,return,type,null
SqlOutParameter -> public boolean isReturnTypeSupported();1496837955;Return whether this parameter holds a custom return type.;public boolean isReturnTypeSupported() {_		return (this.sqlReturnType != null)__	};return,whether,this,parameter,holds,a,custom,return,type;public,boolean,is,return,type,supported,return,this,sql,return,type,null
SqlOutParameter -> public boolean isReturnTypeSupported();1498780456;Return whether this parameter holds a custom return type.;public boolean isReturnTypeSupported() {_		return (this.sqlReturnType != null)__	};return,whether,this,parameter,holds,a,custom,return,type;public,boolean,is,return,type,supported,return,this,sql,return,type,null
