# id;timestamp;commentText;codeText;commentWords;codeWords
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1403630813;Static factory method to create a new ParameterizedSingleColumnRowMapper_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		SingleColumnRowMapper<T> newInstance = new SingleColumnRowMapper<T>()__		newInstance.setRequiredType(requiredType)__		return newInstance__	};static,factory,method,to,create,a,new,parameterized,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,single,column,row,mapper,t,new,instance,new,single,column,row,mapper,t,new,instance,set,required,type,required,type,return,new,instance
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1432125256;Static factory method to create a new ParameterizedSingleColumnRowMapper_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		SingleColumnRowMapper<T> newInstance = new SingleColumnRowMapper<T>()__		newInstance.setRequiredType(requiredType)__		return newInstance__	};static,factory,method,to,create,a,new,parameterized,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,single,column,row,mapper,t,new,instance,new,single,column,row,mapper,t,new,instance,set,required,type,required,type,return,new,instance
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1436815857;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<T>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,t,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1467730834;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1495868221;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1496837955;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1498780456;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1502974979;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1518385010;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType);1530174524;Static factory method to create a new {@code SingleColumnRowMapper}_(with the required type specified only once)._@param requiredType the type that each result object is expected to match_@since 4.1;public static <T> SingleColumnRowMapper<T> newInstance(Class<T> requiredType) {_		return new SingleColumnRowMapper<>(requiredType)__	};static,factory,method,to,create,a,new,code,single,column,row,mapper,with,the,required,type,specified,only,once,param,required,type,the,type,that,each,result,object,is,expected,to,match,since,4,1;public,static,t,single,column,row,mapper,t,new,instance,class,t,required,type,return,new,single,column,row,mapper,required,type
SingleColumnRowMapper -> @SuppressWarnings("unchecked") 	protected Object convertValueToRequiredType(Object value, Class<?> requiredType);1385412762;Convert the given column value to the specified required type._Only called if the extracted column value does not match already._<p>If the required type is String, the value will simply get stringified_via {@code toString()}. In case of a Number, the value will be_converted into a Number, either through number conversion or through_String parsing (depending on the value type)._@param value the column value as extracted from {@code getColumnValue()}_(never {@code null})_@param requiredType the type that each result object is expected to match_(never {@code null})_@return the converted value_@see #getColumnValue(java.sql.ResultSet, int, Class);@SuppressWarnings("unchecked")_	protected Object convertValueToRequiredType(Object value, Class<?> requiredType) {_		if (String.class.equals(requiredType)) {_			return value.toString()__		}_		else if (Number.class.isAssignableFrom(requiredType)) {_			if (value instanceof Number) {_				_				return NumberUtils.convertNumberToTargetClass(((Number) value), (Class<Number>) requiredType)__			}_			else {_				_				return NumberUtils.parseNumber(value.toString(),(Class<Number>) requiredType)__			}_		}_		else {_			throw new IllegalArgumentException(_					"Value [" + value + "] is of type [" + value.getClass().getName() +_					"] and cannot be converted to required type [" + requiredType.getName() + "]")__		}_	};convert,the,given,column,value,to,the,specified,required,type,only,called,if,the,extracted,column,value,does,not,match,already,p,if,the,required,type,is,string,the,value,will,simply,get,stringified,via,code,to,string,in,case,of,a,number,the,value,will,be,converted,into,a,number,either,through,number,conversion,or,through,string,parsing,depending,on,the,value,type,param,value,the,column,value,as,extracted,from,code,get,column,value,never,code,null,param,required,type,the,type,that,each,result,object,is,expected,to,match,never,code,null,return,the,converted,value,see,get,column,value,java,sql,result,set,int,class;suppress,warnings,unchecked,protected,object,convert,value,to,required,type,object,value,class,required,type,if,string,class,equals,required,type,return,value,to,string,else,if,number,class,is,assignable,from,required,type,if,value,instanceof,number,return,number,utils,convert,number,to,target,class,number,value,class,number,required,type,else,return,number,utils,parse,number,value,to,string,class,number,required,type,else,throw,new,illegal,argument,exception,value,value,is,of,type,value,get,class,get,name,and,cannot,be,converted,to,required,type,required,type,get,name
