# id;timestamp;commentText;codeText;commentWords;codeWords
TimestampedValue -> public T getValue();1479200724;@return The value wrapped in this {@link TimestampedValue}.;public T getValue() {_		return value__	};return,the,value,wrapped,in,this,link,timestamped,value;public,t,get,value,return,value
TimestampedValue -> public T getValue();1493195810;@return The value wrapped in this {@link TimestampedValue}.;public T getValue() {_		return value__	};return,the,value,wrapped,in,this,link,timestamped,value;public,t,get,value,return,value
TimestampedValue -> public T getValue();1495484544;@return The value wrapped in this {@link TimestampedValue}.;public T getValue() {_		return value__	};return,the,value,wrapped,in,this,link,timestamped,value;public,t,get,value,return,value
TimestampedValue -> public boolean hasTimestamp();1479200724;Checks whether this record has a timestamp.__@return True if the record has a timestamp, false if not.;public boolean hasTimestamp() {_		return hasTimestamp__	};checks,whether,this,record,has,a,timestamp,return,true,if,the,record,has,a,timestamp,false,if,not;public,boolean,has,timestamp,return,has,timestamp
TimestampedValue -> public boolean hasTimestamp();1493195810;Checks whether this record has a timestamp.__@return True if the record has a timestamp, false if not.;public boolean hasTimestamp() {_		return hasTimestamp__	};checks,whether,this,record,has,a,timestamp,return,true,if,the,record,has,a,timestamp,false,if,not;public,boolean,has,timestamp,return,has,timestamp
TimestampedValue -> public boolean hasTimestamp();1495484544;Checks whether this record has a timestamp.__@return True if the record has a timestamp, false if not.;public boolean hasTimestamp() {_		return hasTimestamp__	};checks,whether,this,record,has,a,timestamp,return,true,if,the,record,has,a,timestamp,false,if,not;public,boolean,has,timestamp,return,has,timestamp
TimestampedValue -> public long getTimestamp();1479200724;@return The timestamp associated with this stream value in milliseconds.;public long getTimestamp() {_		if (hasTimestamp) {_			return timestamp__		} else {_			throw new IllegalStateException(_					"Record has no timestamp. Is the time characteristic set to 'ProcessingTime', or " +_							"did you forget to call 'DataStream.assignTimestampsAndWatermarks(...)'?")__		}_	};return,the,timestamp,associated,with,this,stream,value,in,milliseconds;public,long,get,timestamp,if,has,timestamp,return,timestamp,else,throw,new,illegal,state,exception,record,has,no,timestamp,is,the,time,characteristic,set,to,processing,time,or,did,you,forget,to,call,data,stream,assign,timestamps,and,watermarks
TimestampedValue -> public long getTimestamp();1493195810;@return The timestamp associated with this stream value in milliseconds.;public long getTimestamp() {_		if (hasTimestamp) {_			return timestamp__		} else {_			throw new IllegalStateException(_					"Record has no timestamp. Is the time characteristic set to 'ProcessingTime', or " +_							"did you forget to call 'DataStream.assignTimestampsAndWatermarks(...)'?")__		}_	};return,the,timestamp,associated,with,this,stream,value,in,milliseconds;public,long,get,timestamp,if,has,timestamp,return,timestamp,else,throw,new,illegal,state,exception,record,has,no,timestamp,is,the,time,characteristic,set,to,processing,time,or,did,you,forget,to,call,data,stream,assign,timestamps,and,watermarks
TimestampedValue -> public long getTimestamp();1495484544;@return The timestamp associated with this stream value in milliseconds.;public long getTimestamp() {_		if (hasTimestamp) {_			return timestamp__		} else {_			throw new IllegalStateException(_					"Record has no timestamp. Is the time characteristic set to 'ProcessingTime', or " +_							"did you forget to call 'DataStream.assignTimestampsAndWatermarks(...)'?")__		}_	};return,the,timestamp,associated,with,this,stream,value,in,milliseconds;public,long,get,timestamp,if,has,timestamp,return,timestamp,else,throw,new,illegal,state,exception,record,has,no,timestamp,is,the,time,characteristic,set,to,processing,time,or,did,you,forget,to,call,data,stream,assign,timestamps,and,watermarks
TimestampedValue -> public TimestampedValue(T value);1479200724;Creates a new TimestampedValue. The record does not have a timestamp.;public TimestampedValue(T value) {_		this.value = value__	};creates,a,new,timestamped,value,the,record,does,not,have,a,timestamp;public,timestamped,value,t,value,this,value,value
TimestampedValue -> public TimestampedValue(T value);1493195810;Creates a new TimestampedValue. The record does not have a timestamp.;public TimestampedValue(T value) {_		this.value = value__	};creates,a,new,timestamped,value,the,record,does,not,have,a,timestamp;public,timestamped,value,t,value,this,value,value
TimestampedValue -> public TimestampedValue(T value);1495484544;Creates a new TimestampedValue. The record does not have a timestamp.;public TimestampedValue(T value) {_		this.value = value__	};creates,a,new,timestamped,value,the,record,does,not,have,a,timestamp;public,timestamped,value,t,value,this,value,value
TimestampedValue -> public StreamRecord<T> getStreamRecord();1479200724;Creates a {@link StreamRecord} from this TimestampedValue.;public StreamRecord<T> getStreamRecord() {_		StreamRecord<T> streamRecord = new StreamRecord<>(value)__		if (hasTimestamp) {_			streamRecord.setTimestamp(timestamp)__		}_		return streamRecord__	};creates,a,link,stream,record,from,this,timestamped,value;public,stream,record,t,get,stream,record,stream,record,t,stream,record,new,stream,record,value,if,has,timestamp,stream,record,set,timestamp,timestamp,return,stream,record
TimestampedValue -> public StreamRecord<T> getStreamRecord();1493195810;Creates a {@link StreamRecord} from this TimestampedValue.;public StreamRecord<T> getStreamRecord() {_		StreamRecord<T> streamRecord = new StreamRecord<>(value)__		if (hasTimestamp) {_			streamRecord.setTimestamp(timestamp)__		}_		return streamRecord__	};creates,a,link,stream,record,from,this,timestamped,value;public,stream,record,t,get,stream,record,stream,record,t,stream,record,new,stream,record,value,if,has,timestamp,stream,record,set,timestamp,timestamp,return,stream,record
TimestampedValue -> public StreamRecord<T> getStreamRecord();1495484544;Creates a {@link StreamRecord} from this TimestampedValue.;public StreamRecord<T> getStreamRecord() {_		StreamRecord<T> streamRecord = new StreamRecord<>(value)__		if (hasTimestamp) {_			streamRecord.setTimestamp(timestamp)__		}_		return streamRecord__	};creates,a,link,stream,record,from,this,timestamped,value;public,stream,record,t,get,stream,record,stream,record,t,stream,record,new,stream,record,value,if,has,timestamp,stream,record,set,timestamp,timestamp,return,stream,record
TimestampedValue -> public TimestampedValue(T value, long timestamp);1479200724;Creates a new TimestampedValue wrapping the given value. The timestamp is set to the_given timestamp.__@param value The value to wrap in this {@link TimestampedValue}_@param timestamp The timestamp in milliseconds;public TimestampedValue(T value, long timestamp) {_		this.value = value__		this.timestamp = timestamp__		this.hasTimestamp = true__	};creates,a,new,timestamped,value,wrapping,the,given,value,the,timestamp,is,set,to,the,given,timestamp,param,value,the,value,to,wrap,in,this,link,timestamped,value,param,timestamp,the,timestamp,in,milliseconds;public,timestamped,value,t,value,long,timestamp,this,value,value,this,timestamp,timestamp,this,has,timestamp,true
