# id;timestamp;commentText;codeText;commentWords;codeWords
PageRank -> Result -> public void setPageRankScore(DoubleValue pageRankScore);1498486910;Set the PageRank score.__@param pageRankScore the PageRank score;public void setPageRankScore(DoubleValue pageRankScore) {_			this.pageRankScore = pageRankScore__		};set,the,page,rank,score,param,page,rank,score,the,page,rank,score;public,void,set,page,rank,score,double,value,page,rank,score,this,page,rank,score,page,rank,score
PageRank -> Result -> public void setPageRankScore(DoubleValue pageRankScore);1498486910;Set the PageRank score.__@param pageRankScore the PageRank score;public void setPageRankScore(DoubleValue pageRankScore) {_			this.pageRankScore = pageRankScore__		};set,the,page,rank,score,param,page,rank,score,the,page,rank,score;public,void,set,page,rank,score,double,value,page,rank,score,this,page,rank,score,page,rank,score
PageRank -> Result -> public void setPageRankScore(DoubleValue pageRankScore);1501064632;Set the PageRank score.__@param pageRankScore the PageRank score;public void setPageRankScore(DoubleValue pageRankScore) {_			this.pageRankScore = pageRankScore__		};set,the,page,rank,score,param,page,rank,score,the,page,rank,score;public,void,set,page,rank,score,double,value,page,rank,score,this,page,rank,score,page,rank,score
PageRank -> Result -> public void setPageRankScore(DoubleValue pageRankScore);1501532946;Set the PageRank score.__@param pageRankScore the PageRank score;public void setPageRankScore(DoubleValue pageRankScore) {_			this.pageRankScore = pageRankScore__		};set,the,page,rank,score,param,page,rank,score,the,page,rank,score;public,void,set,page,rank,score,double,value,page,rank,score,this,page,rank,score,page,rank,score
PageRank -> Result -> public void setPageRankScore(DoubleValue pageRankScore);1526214036;Set the PageRank score.__@param pageRankScore the PageRank score;public void setPageRankScore(DoubleValue pageRankScore) {_			this.pageRankScore = pageRankScore__		};set,the,page,rank,score,param,page,rank,score,the,page,rank,score;public,void,set,page,rank,score,double,value,page,rank,score,this,page,rank,score,page,rank,score
PageRank -> public PageRank<K, VV, EV> setIncludeZeroDegreeVertices(boolean includeZeroDegreeVertices);1501064632;This PageRank implementation properly handles both source and sink_vertices which have, respectively, only outgoing and incoming edges.__<p>Setting this flag includes "zero-degree" vertices in the PageRank_computation and result. These vertices are handled the same as other_"source" vertices (with a consistent score of_<code>(1 - damping factor) / number of vertices</code>) but only_affect the scores of other vertices indirectly through the taking of_this proportional portion of the "random jump" score.__<p>The cost to include zero-degree vertices is a reduce for uniqueness_on the vertex set followed by an outer join on the vertex degree_DataSet.__@param includeZeroDegreeVertices whether to include zero-degree vertices in the iterative computation_@return this;public PageRank<K, VV, EV> setIncludeZeroDegreeVertices(boolean includeZeroDegreeVertices) {_		this.includeZeroDegreeVertices = includeZeroDegreeVertices___		return this__	};this,page,rank,implementation,properly,handles,both,source,and,sink,vertices,which,have,respectively,only,outgoing,and,incoming,edges,p,setting,this,flag,includes,zero,degree,vertices,in,the,page,rank,computation,and,result,these,vertices,are,handled,the,same,as,other,source,vertices,with,a,consistent,score,of,code,1,damping,factor,number,of,vertices,code,but,only,affect,the,scores,of,other,vertices,indirectly,through,the,taking,of,this,proportional,portion,of,the,random,jump,score,p,the,cost,to,include,zero,degree,vertices,is,a,reduce,for,uniqueness,on,the,vertex,set,followed,by,an,outer,join,on,the,vertex,degree,data,set,param,include,zero,degree,vertices,whether,to,include,zero,degree,vertices,in,the,iterative,computation,return,this;public,page,rank,k,vv,ev,set,include,zero,degree,vertices,boolean,include,zero,degree,vertices,this,include,zero,degree,vertices,include,zero,degree,vertices,return,this
PageRank -> public PageRank<K, VV, EV> setIncludeZeroDegreeVertices(boolean includeZeroDegreeVertices);1526214036;This PageRank implementation properly handles both source and sink_vertices which have, respectively, only outgoing and incoming edges.__<p>Setting this flag includes "zero-degree" vertices in the PageRank_computation and result. These vertices are handled the same as other_"source" vertices (with a consistent score of_<code>(1 - damping factor) / number of vertices</code>) but only_affect the scores of other vertices indirectly through the taking of_this proportional portion of the "random jump" score.__<p>The cost to include zero-degree vertices is a reduce for uniqueness_on the vertex set followed by an outer join on the vertex degree_DataSet.__@param includeZeroDegreeVertices whether to include zero-degree vertices in the iterative computation_@return this;public PageRank<K, VV, EV> setIncludeZeroDegreeVertices(boolean includeZeroDegreeVertices) {_		this.includeZeroDegreeVertices = includeZeroDegreeVertices___		return this__	};this,page,rank,implementation,properly,handles,both,source,and,sink,vertices,which,have,respectively,only,outgoing,and,incoming,edges,p,setting,this,flag,includes,zero,degree,vertices,in,the,page,rank,computation,and,result,these,vertices,are,handled,the,same,as,other,source,vertices,with,a,consistent,score,of,code,1,damping,factor,number,of,vertices,code,but,only,affect,the,scores,of,other,vertices,indirectly,through,the,taking,of,this,proportional,portion,of,the,random,jump,score,p,the,cost,to,include,zero,degree,vertices,is,a,reduce,for,uniqueness,on,the,vertex,set,followed,by,an,outer,join,on,the,vertex,degree,data,set,param,include,zero,degree,vertices,whether,to,include,zero,degree,vertices,in,the,iterative,computation,return,this;public,page,rank,k,vv,ev,set,include,zero,degree,vertices,boolean,include,zero,degree,vertices,this,include,zero,degree,vertices,include,zero,degree,vertices,return,this
PageRank -> public PageRank(double dampingFactor, double convergenceThreshold);1495653033;PageRank with a convergence threshold. The algorithm terminates when the_change in score over all vertices falls to or below the given threshold value.__@param dampingFactor probability of following an out-link, otherwise jump to a random vertex_@param convergenceThreshold convergence threshold for sum of scores;public PageRank(double dampingFactor, double convergenceThreshold) {_		this(dampingFactor, Integer.MAX_VALUE, convergenceThreshold)__	};page,rank,with,a,convergence,threshold,the,algorithm,terminates,when,the,change,in,score,over,all,vertices,falls,to,or,below,the,given,threshold,value,param,damping,factor,probability,of,following,an,out,link,otherwise,jump,to,a,random,vertex,param,convergence,threshold,convergence,threshold,for,sum,of,scores;public,page,rank,double,damping,factor,double,convergence,threshold,this,damping,factor,integer,convergence,threshold
PageRank -> public PageRank(double dampingFactor, double convergenceThreshold);1498486910;PageRank with a convergence threshold. The algorithm terminates when the_change in score over all vertices falls to or below the given threshold value.__@param dampingFactor probability of following an out-link, otherwise jump to a random vertex_@param convergenceThreshold convergence threshold for sum of scores;public PageRank(double dampingFactor, double convergenceThreshold) {_		this(dampingFactor, Integer.MAX_VALUE, convergenceThreshold)__	};page,rank,with,a,convergence,threshold,the,algorithm,terminates,when,the,change,in,score,over,all,vertices,falls,to,or,below,the,given,threshold,value,param,damping,factor,probability,of,following,an,out,link,otherwise,jump,to,a,random,vertex,param,convergence,threshold,convergence,threshold,for,sum,of,scores;public,page,rank,double,damping,factor,double,convergence,threshold,this,damping,factor,integer,convergence,threshold
PageRank -> public PageRank(double dampingFactor, double convergenceThreshold);1498486910;PageRank with a convergence threshold. The algorithm terminates when the_change in score over all vertices falls to or below the given threshold value.__@param dampingFactor probability of following an out-link, otherwise jump to a random vertex_@param convergenceThreshold convergence threshold for sum of scores;public PageRank(double dampingFactor, double convergenceThreshold) {_		this(dampingFactor, Integer.MAX_VALUE, convergenceThreshold)__	};page,rank,with,a,convergence,threshold,the,algorithm,terminates,when,the,change,in,score,over,all,vertices,falls,to,or,below,the,given,threshold,value,param,damping,factor,probability,of,following,an,out,link,otherwise,jump,to,a,random,vertex,param,convergence,threshold,convergence,threshold,for,sum,of,scores;public,page,rank,double,damping,factor,double,convergence,threshold,this,damping,factor,integer,convergence,threshold
PageRank -> public PageRank(double dampingFactor, double convergenceThreshold);1501064632;PageRank with a convergence threshold. The algorithm terminates when the_change in score over all vertices falls to or below the given threshold value.__@param dampingFactor probability of following an out-link, otherwise jump to a random vertex_@param convergenceThreshold convergence threshold for sum of scores;public PageRank(double dampingFactor, double convergenceThreshold) {_		this(dampingFactor, Integer.MAX_VALUE, convergenceThreshold)__	};page,rank,with,a,convergence,threshold,the,algorithm,terminates,when,the,change,in,score,over,all,vertices,falls,to,or,below,the,given,threshold,value,param,damping,factor,probability,of,following,an,out,link,otherwise,jump,to,a,random,vertex,param,convergence,threshold,convergence,threshold,for,sum,of,scores;public,page,rank,double,damping,factor,double,convergence,threshold,this,damping,factor,integer,convergence,threshold
