# id;timestamp;commentText;codeText;commentWords;codeWords
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;1524684173;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,throws,ioexception
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;1537806831;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,throws,ioexception
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;1538067637;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,throws,ioexception
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;1547496886;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,throws,ioexception
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;1547508054;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,throws,ioexception
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;1547576245;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps) throws IOException_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,throws,ioexception
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps, ActionListener<Void> listener)_;1548124510;Prepares the target to receive translog operations, after all file have been copied_@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps    total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps, ActionListener<Void> listener)_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,action,listener,void,listener
RecoveryTargetHandler -> void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps, ActionListener<Void> listener)_;1549406621;Prepares the target to receive translog operations, after all file have been copied__@param fileBasedRecovery whether or not this call is part of an file based recovery_@param totalTranslogOps  total translog operations expected to be sent;void prepareForTranslogOperations(boolean fileBasedRecovery, int totalTranslogOps, ActionListener<Void> listener)_;prepares,the,target,to,receive,translog,operations,after,all,file,have,been,copied,param,file,based,recovery,whether,or,not,this,call,is,part,of,an,file,based,recovery,param,total,translog,ops,total,translog,operations,expected,to,be,sent;void,prepare,for,translog,operations,boolean,file,based,recovery,int,total,translog,ops,action,listener,void,listener
RecoveryTargetHandler -> void cleanFiles(int totalTranslogOps, Store.MetadataSnapshot sourceMetaData) throws IOException_;1524684173;After all source files has been sent over, this command is sent to the target so it can clean any local_files that are not part of the source store_@param totalTranslogOps an update number of translog operations that will be replayed later on_@param sourceMetaData meta data of the source store;void cleanFiles(int totalTranslogOps, Store.MetadataSnapshot sourceMetaData) throws IOException_;after,all,source,files,has,been,sent,over,this,command,is,sent,to,the,target,so,it,can,clean,any,local,files,that,are,not,part,of,the,source,store,param,total,translog,ops,an,update,number,of,translog,operations,that,will,be,replayed,later,on,param,source,meta,data,meta,data,of,the,source,store;void,clean,files,int,total,translog,ops,store,metadata,snapshot,source,meta,data,throws,ioexception
RecoveryTargetHandler -> void cleanFiles(int totalTranslogOps, Store.MetadataSnapshot sourceMetaData) throws IOException_;1537806831;After all source files has been sent over, this command is sent to the target so it can clean any local_files that are not part of the source store_@param totalTranslogOps an update number of translog operations that will be replayed later on_@param sourceMetaData meta data of the source store;void cleanFiles(int totalTranslogOps, Store.MetadataSnapshot sourceMetaData) throws IOException_;after,all,source,files,has,been,sent,over,this,command,is,sent,to,the,target,so,it,can,clean,any,local,files,that,are,not,part,of,the,source,store,param,total,translog,ops,an,update,number,of,translog,operations,that,will,be,replayed,later,on,param,source,meta,data,meta,data,of,the,source,store;void,clean,files,int,total,translog,ops,store,metadata,snapshot,source,meta,data,throws,ioexception
RecoveryTargetHandler -> void cleanFiles(int totalTranslogOps, Store.MetadataSnapshot sourceMetaData) throws IOException_;1538067637;After all source files has been sent over, this command is sent to the target so it can clean any local_files that are not part of the source store_@param totalTranslogOps an update number of translog operations that will be replayed later on_@param sourceMetaData meta data of the source store;void cleanFiles(int totalTranslogOps, Store.MetadataSnapshot sourceMetaData) throws IOException_;after,all,source,files,has,been,sent,over,this,command,is,sent,to,the,target,so,it,can,clean,any,local,files,that,are,not,part,of,the,source,store,param,total,translog,ops,an,update,number,of,translog,operations,that,will,be,replayed,later,on,param,source,meta,data,meta,data,of,the,source,store;void,clean,files,int,total,translog,ops,store,metadata,snapshot,source,meta,data,throws,ioexception
