# id;timestamp;commentText;codeText;commentWords;codeWords
JobManagerRunner -> public JobManagerRunner( 			final ResourceID resourceId, 			final JobGraph jobGraph, 			final Configuration configuration, 			final RpcService rpcService, 			final HighAvailabilityServices haServices, 			final HeartbeatServices heartbeatServices, 			final JobManagerSharedServices jobManagerSharedServices, 			final JobManagerJobMetricGroupFactory jobManagerJobMetricGroupFactory, 			final FatalErrorHandler fatalErrorHandler) throws Exception;1548350146;Exceptions that occur while creating the JobManager or JobManagerRunner are directly_thrown and not reported to the given {@code FatalErrorHandler}.__@throws Exception Thrown if the runner cannot be set up, because either one of the_required services could not be started, or the Job could not be initialized.;public JobManagerRunner(_			final ResourceID resourceId,_			final JobGraph jobGraph,_			final Configuration configuration,_			final RpcService rpcService,_			final HighAvailabilityServices haServices,_			final HeartbeatServices heartbeatServices,_			final JobManagerSharedServices jobManagerSharedServices,_			final JobManagerJobMetricGroupFactory jobManagerJobMetricGroupFactory,_			final FatalErrorHandler fatalErrorHandler) throws Exception {__		this.resultFuture = new CompletableFuture<>()__		this.terminationFuture = new CompletableFuture<>()___		_		try {_			this.jobGraph = checkNotNull(jobGraph)__			this.jobManagerSharedServices = checkNotNull(jobManagerSharedServices)__			this.fatalErrorHandler = checkNotNull(fatalErrorHandler)___			checkArgument(jobGraph.getNumberOfVertices() > 0, "The given job is empty")___			_			final LibraryCacheManager libraryCacheManager = jobManagerSharedServices.getLibraryCacheManager()__			try {_				libraryCacheManager.registerJob(_						jobGraph.getJobID(), jobGraph.getUserJarBlobKeys(), jobGraph.getClasspaths())__			} catch (IOException e) {_				throw new Exception("Cannot set up the user code libraries: " + e.getMessage(), e)__			}__			final ClassLoader userCodeLoader = libraryCacheManager.getClassLoader(jobGraph.getJobID())__			if (userCodeLoader == null) {_				throw new Exception("The user code class loader could not be initialized.")__			}__			_			this.runningJobsRegistry = haServices.getRunningJobsRegistry()__			this.leaderElectionService = haServices.getJobManagerLeaderElectionService(jobGraph.getJobID())___			final JobMasterConfiguration jobMasterConfiguration = JobMasterConfiguration.fromConfiguration(configuration)___			this.rpcTimeout = jobMasterConfiguration.getRpcTimeout()___			this.leaderGatewayFuture = new CompletableFuture<>()___			final SlotPoolFactory slotPoolFactory = DefaultSlotPoolFactory.fromConfiguration(_				configuration,_				rpcService)___			_			this.jobMaster = new JobMaster(_				rpcService,_				jobMasterConfiguration,_				resourceId,_				jobGraph,_				haServices,_				slotPoolFactory,_				jobManagerSharedServices,_				heartbeatServices,_				jobManagerJobMetricGroupFactory,_				this,_				fatalErrorHandler,_				userCodeLoader)__		}_		catch (Throwable t) {_			terminationFuture.completeExceptionally(t)__			resultFuture.completeExceptionally(t)___			throw new JobExecutionException(jobGraph.getJobID(), "Could not set up JobManager", t)__		}_	};exceptions,that,occur,while,creating,the,job,manager,or,job,manager,runner,are,directly,thrown,and,not,reported,to,the,given,code,fatal,error,handler,throws,exception,thrown,if,the,runner,cannot,be,set,up,because,either,one,of,the,required,services,could,not,be,started,or,the,job,could,not,be,initialized;public,job,manager,runner,final,resource,id,resource,id,final,job,graph,job,graph,final,configuration,configuration,final,rpc,service,rpc,service,final,high,availability,services,ha,services,final,heartbeat,services,heartbeat,services,final,job,manager,shared,services,job,manager,shared,services,final,job,manager,job,metric,group,factory,job,manager,job,metric,group,factory,final,fatal,error,handler,fatal,error,handler,throws,exception,this,result,future,new,completable,future,this,termination,future,new,completable,future,try,this,job,graph,check,not,null,job,graph,this,job,manager,shared,services,check,not,null,job,manager,shared,services,this,fatal,error,handler,check,not,null,fatal,error,handler,check,argument,job,graph,get,number,of,vertices,0,the,given,job,is,empty,final,library,cache,manager,library,cache,manager,job,manager,shared,services,get,library,cache,manager,try,library,cache,manager,register,job,job,graph,get,job,id,job,graph,get,user,jar,blob,keys,job,graph,get,classpaths,catch,ioexception,e,throw,new,exception,cannot,set,up,the,user,code,libraries,e,get,message,e,final,class,loader,user,code,loader,library,cache,manager,get,class,loader,job,graph,get,job,id,if,user,code,loader,null,throw,new,exception,the,user,code,class,loader,could,not,be,initialized,this,running,jobs,registry,ha,services,get,running,jobs,registry,this,leader,election,service,ha,services,get,job,manager,leader,election,service,job,graph,get,job,id,final,job,master,configuration,job,master,configuration,job,master,configuration,from,configuration,configuration,this,rpc,timeout,job,master,configuration,get,rpc,timeout,this,leader,gateway,future,new,completable,future,final,slot,pool,factory,slot,pool,factory,default,slot,pool,factory,from,configuration,configuration,rpc,service,this,job,master,new,job,master,rpc,service,job,master,configuration,resource,id,job,graph,ha,services,slot,pool,factory,job,manager,shared,services,heartbeat,services,job,manager,job,metric,group,factory,this,fatal,error,handler,user,code,loader,catch,throwable,t,termination,future,complete,exceptionally,t,result,future,complete,exceptionally,t,throw,new,job,execution,exception,job,graph,get,job,id,could,not,set,up,job,manager,t
JobManagerRunner -> public JobManagerRunner( 			final ResourceID resourceId, 			final JobGraph jobGraph, 			final Configuration configuration, 			final RpcService rpcService, 			final HighAvailabilityServices haServices, 			final HeartbeatServices heartbeatServices, 			final JobManagerSharedServices jobManagerSharedServices, 			final JobManagerJobMetricGroupFactory jobManagerJobMetricGroupFactory, 			final FatalErrorHandler fatalErrorHandler) throws Exception;1548688225;Exceptions that occur while creating the JobManager or JobManagerRunner are directly_thrown and not reported to the given {@code FatalErrorHandler}.__@throws Exception Thrown if the runner cannot be set up, because either one of the_required services could not be started, or the Job could not be initialized.;public JobManagerRunner(_			final ResourceID resourceId,_			final JobGraph jobGraph,_			final Configuration configuration,_			final RpcService rpcService,_			final HighAvailabilityServices haServices,_			final HeartbeatServices heartbeatServices,_			final JobManagerSharedServices jobManagerSharedServices,_			final JobManagerJobMetricGroupFactory jobManagerJobMetricGroupFactory,_			final FatalErrorHandler fatalErrorHandler) throws Exception {__		this.resultFuture = new CompletableFuture<>()__		this.terminationFuture = new CompletableFuture<>()___		_		try {_			this.jobGraph = checkNotNull(jobGraph)__			this.jobManagerSharedServices = checkNotNull(jobManagerSharedServices)__			this.fatalErrorHandler = checkNotNull(fatalErrorHandler)___			checkArgument(jobGraph.getNumberOfVertices() > 0, "The given job is empty")___			_			final LibraryCacheManager libraryCacheManager = jobManagerSharedServices.getLibraryCacheManager()__			try {_				libraryCacheManager.registerJob(_						jobGraph.getJobID(), jobGraph.getUserJarBlobKeys(), jobGraph.getClasspaths())__			} catch (IOException e) {_				throw new Exception("Cannot set up the user code libraries: " + e.getMessage(), e)__			}__			final ClassLoader userCodeLoader = libraryCacheManager.getClassLoader(jobGraph.getJobID())__			if (userCodeLoader == null) {_				throw new Exception("The user code class loader could not be initialized.")__			}__			_			this.runningJobsRegistry = haServices.getRunningJobsRegistry()__			this.leaderElectionService = haServices.getJobManagerLeaderElectionService(jobGraph.getJobID())___			final JobMasterConfiguration jobMasterConfiguration = JobMasterConfiguration.fromConfiguration(configuration)___			this.rpcTimeout = jobMasterConfiguration.getRpcTimeout()___			this.leaderGatewayFuture = new CompletableFuture<>()___			final SlotPoolFactory slotPoolFactory = DefaultSlotPoolFactory.fromConfiguration(_				configuration,_				rpcService)___			_			this.jobMasterService = new JobMaster(_				rpcService,_				jobMasterConfiguration,_				resourceId,_				jobGraph,_				haServices,_				slotPoolFactory,_				jobManagerSharedServices,_				heartbeatServices,_				jobManagerJobMetricGroupFactory,_				this,_				fatalErrorHandler,_				userCodeLoader)__		}_		catch (Throwable t) {_			terminationFuture.completeExceptionally(t)__			resultFuture.completeExceptionally(t)___			throw new JobExecutionException(jobGraph.getJobID(), "Could not set up JobManager", t)__		}_	};exceptions,that,occur,while,creating,the,job,manager,or,job,manager,runner,are,directly,thrown,and,not,reported,to,the,given,code,fatal,error,handler,throws,exception,thrown,if,the,runner,cannot,be,set,up,because,either,one,of,the,required,services,could,not,be,started,or,the,job,could,not,be,initialized;public,job,manager,runner,final,resource,id,resource,id,final,job,graph,job,graph,final,configuration,configuration,final,rpc,service,rpc,service,final,high,availability,services,ha,services,final,heartbeat,services,heartbeat,services,final,job,manager,shared,services,job,manager,shared,services,final,job,manager,job,metric,group,factory,job,manager,job,metric,group,factory,final,fatal,error,handler,fatal,error,handler,throws,exception,this,result,future,new,completable,future,this,termination,future,new,completable,future,try,this,job,graph,check,not,null,job,graph,this,job,manager,shared,services,check,not,null,job,manager,shared,services,this,fatal,error,handler,check,not,null,fatal,error,handler,check,argument,job,graph,get,number,of,vertices,0,the,given,job,is,empty,final,library,cache,manager,library,cache,manager,job,manager,shared,services,get,library,cache,manager,try,library,cache,manager,register,job,job,graph,get,job,id,job,graph,get,user,jar,blob,keys,job,graph,get,classpaths,catch,ioexception,e,throw,new,exception,cannot,set,up,the,user,code,libraries,e,get,message,e,final,class,loader,user,code,loader,library,cache,manager,get,class,loader,job,graph,get,job,id,if,user,code,loader,null,throw,new,exception,the,user,code,class,loader,could,not,be,initialized,this,running,jobs,registry,ha,services,get,running,jobs,registry,this,leader,election,service,ha,services,get,job,manager,leader,election,service,job,graph,get,job,id,final,job,master,configuration,job,master,configuration,job,master,configuration,from,configuration,configuration,this,rpc,timeout,job,master,configuration,get,rpc,timeout,this,leader,gateway,future,new,completable,future,final,slot,pool,factory,slot,pool,factory,default,slot,pool,factory,from,configuration,configuration,rpc,service,this,job,master,service,new,job,master,rpc,service,job,master,configuration,resource,id,job,graph,ha,services,slot,pool,factory,job,manager,shared,services,heartbeat,services,job,manager,job,metric,group,factory,this,fatal,error,handler,user,code,loader,catch,throwable,t,termination,future,complete,exceptionally,t,result,future,complete,exceptionally,t,throw,new,job,execution,exception,job,graph,get,job,id,could,not,set,up,job,manager,t
JobManagerRunner -> public JobManagerRunner( 			final ResourceID resourceId, 			final JobGraph jobGraph, 			final Configuration configuration, 			final RpcService rpcService, 			final HighAvailabilityServices haServices, 			final HeartbeatServices heartbeatServices, 			final JobManagerSharedServices jobManagerSharedServices, 			final JobManagerJobMetricGroupFactory jobManagerJobMetricGroupFactory, 			final FatalErrorHandler fatalErrorHandler) throws Exception;1548688235;Exceptions that occur while creating the JobManager or JobManagerRunner are directly_thrown and not reported to the given {@code FatalErrorHandler}.__@throws Exception Thrown if the runner cannot be set up, because either one of the_required services could not be started, or the Job could not be initialized.;public JobManagerRunner(_			final ResourceID resourceId,_			final JobGraph jobGraph,_			final Configuration configuration,_			final RpcService rpcService,_			final HighAvailabilityServices haServices,_			final HeartbeatServices heartbeatServices,_			final JobManagerSharedServices jobManagerSharedServices,_			final JobManagerJobMetricGroupFactory jobManagerJobMetricGroupFactory,_			final FatalErrorHandler fatalErrorHandler) throws Exception {__		this.resultFuture = new CompletableFuture<>()__		this.terminationFuture = new CompletableFuture<>()___		_		try {_			this.jobGraph = checkNotNull(jobGraph)__			this.jobManagerSharedServices = checkNotNull(jobManagerSharedServices)__			this.fatalErrorHandler = checkNotNull(fatalErrorHandler)___			checkArgument(jobGraph.getNumberOfVertices() > 0, "The given job is empty")___			_			final LibraryCacheManager libraryCacheManager = jobManagerSharedServices.getLibraryCacheManager()__			try {_				libraryCacheManager.registerJob(_						jobGraph.getJobID(), jobGraph.getUserJarBlobKeys(), jobGraph.getClasspaths())__			} catch (IOException e) {_				throw new Exception("Cannot set up the user code libraries: " + e.getMessage(), e)__			}__			final ClassLoader userCodeLoader = libraryCacheManager.getClassLoader(jobGraph.getJobID())__			if (userCodeLoader == null) {_				throw new Exception("The user code class loader could not be initialized.")__			}__			_			this.runningJobsRegistry = haServices.getRunningJobsRegistry()__			this.leaderElectionService = haServices.getJobManagerLeaderElectionService(jobGraph.getJobID())___			final JobMasterConfiguration jobMasterConfiguration = JobMasterConfiguration.fromConfiguration(configuration)___			this.leaderGatewayFuture = new CompletableFuture<>()___			final SlotPoolFactory slotPoolFactory = DefaultSlotPoolFactory.fromConfiguration(_				configuration,_				rpcService)___			_			this.jobMasterService = new JobMaster(_				rpcService,_				jobMasterConfiguration,_				resourceId,_				jobGraph,_				haServices,_				slotPoolFactory,_				jobManagerSharedServices,_				heartbeatServices,_				jobManagerJobMetricGroupFactory,_				this,_				fatalErrorHandler,_				userCodeLoader)__		}_		catch (Throwable t) {_			terminationFuture.completeExceptionally(t)__			resultFuture.completeExceptionally(t)___			throw new JobExecutionException(jobGraph.getJobID(), "Could not set up JobManager", t)__		}_	};exceptions,that,occur,while,creating,the,job,manager,or,job,manager,runner,are,directly,thrown,and,not,reported,to,the,given,code,fatal,error,handler,throws,exception,thrown,if,the,runner,cannot,be,set,up,because,either,one,of,the,required,services,could,not,be,started,or,the,job,could,not,be,initialized;public,job,manager,runner,final,resource,id,resource,id,final,job,graph,job,graph,final,configuration,configuration,final,rpc,service,rpc,service,final,high,availability,services,ha,services,final,heartbeat,services,heartbeat,services,final,job,manager,shared,services,job,manager,shared,services,final,job,manager,job,metric,group,factory,job,manager,job,metric,group,factory,final,fatal,error,handler,fatal,error,handler,throws,exception,this,result,future,new,completable,future,this,termination,future,new,completable,future,try,this,job,graph,check,not,null,job,graph,this,job,manager,shared,services,check,not,null,job,manager,shared,services,this,fatal,error,handler,check,not,null,fatal,error,handler,check,argument,job,graph,get,number,of,vertices,0,the,given,job,is,empty,final,library,cache,manager,library,cache,manager,job,manager,shared,services,get,library,cache,manager,try,library,cache,manager,register,job,job,graph,get,job,id,job,graph,get,user,jar,blob,keys,job,graph,get,classpaths,catch,ioexception,e,throw,new,exception,cannot,set,up,the,user,code,libraries,e,get,message,e,final,class,loader,user,code,loader,library,cache,manager,get,class,loader,job,graph,get,job,id,if,user,code,loader,null,throw,new,exception,the,user,code,class,loader,could,not,be,initialized,this,running,jobs,registry,ha,services,get,running,jobs,registry,this,leader,election,service,ha,services,get,job,manager,leader,election,service,job,graph,get,job,id,final,job,master,configuration,job,master,configuration,job,master,configuration,from,configuration,configuration,this,leader,gateway,future,new,completable,future,final,slot,pool,factory,slot,pool,factory,default,slot,pool,factory,from,configuration,configuration,rpc,service,this,job,master,service,new,job,master,rpc,service,job,master,configuration,resource,id,job,graph,ha,services,slot,pool,factory,job,manager,shared,services,heartbeat,services,job,manager,job,metric,group,factory,this,fatal,error,handler,user,code,loader,catch,throwable,t,termination,future,complete,exceptionally,t,result,future,complete,exceptionally,t,throw,new,job,execution,exception,job,graph,get,job,id,could,not,set,up,job,manager,t
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1482522860;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			shutdownInternally()__		}_		finally {_			if (toNotify != null) {_				toNotify.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,shutdown,internally,finally,if,to,notify,null,to,notify,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1482522861;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			shutdownInternally()__		}_		finally {_			if (toNotify != null) {_				toNotify.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,shutdown,internally,finally,if,to,notify,null,to,notify,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1482522861;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			shutdownInternally()__		}_		finally {_			if (toNotify != null) {_				toNotify.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,shutdown,internally,finally,if,to,notify,null,to,notify,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1482522862;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			unregisterJobFromHighAvailability()__			shutdownInternally()__		}_		finally {_			if (toNotifyOnComplete != null) {_				toNotifyOnComplete.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,unregister,job,from,high,availability,shutdown,internally,finally,if,to,notify,on,complete,null,to,notify,on,complete,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1482522863;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			unregisterJobFromHighAvailability()__			shutdownInternally()__		}_		finally {_			if (toNotifyOnComplete != null) {_				toNotifyOnComplete.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,unregister,job,from,high,availability,shutdown,internally,finally,if,to,notify,on,complete,null,to,notify,on,complete,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1482522864;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			unregisterJobFromHighAvailability()__			shutdownInternally()__		}_		finally {_			if (toNotifyOnComplete != null) {_				toNotifyOnComplete.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,unregister,job,from,high,availability,shutdown,internally,finally,if,to,notify,on,complete,null,to,notify,on,complete,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1488304749;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			unregisterJobFromHighAvailability()__			shutdownInternally()__		}_		finally {_			if (toNotifyOnComplete != null) {_				toNotifyOnComplete.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,unregister,job,from,high,availability,shutdown,internally,finally,if,to,notify,on,complete,null,to,notify,on,complete,job,failed,cause
JobManagerRunner -> @Override 	public void jobFailed(Throwable cause);1488304750;Job completion notification triggered by JobManager;@Override_	public void jobFailed(Throwable cause) {_		try {_			unregisterJobFromHighAvailability()__			shutdownInternally()__		}_		finally {_			if (toNotifyOnComplete != null) {_				toNotifyOnComplete.jobFailed(cause)__			}_		}_	};job,completion,notification,triggered,by,job,manager;override,public,void,job,failed,throwable,cause,try,unregister,job,from,high,availability,shutdown,internally,finally,if,to,notify,on,complete,null,to,notify,on,complete,job,failed,cause
