# id;timestamp;commentText;codeText;commentWords;codeWords
MlTasks -> public static String datafeedTaskId(String datafeedId);1532456624;Namespaces the task ids for datafeeds._A job id can be used as a datafeed id, because they are stored separately in cluster state.;public static String datafeedTaskId(String datafeedId) {_        return "datafeed-" + datafeedId__    };namespaces,the,task,ids,for,datafeeds,a,job,id,can,be,used,as,a,datafeed,id,because,they,are,stored,separately,in,cluster,state;public,static,string,datafeed,task,id,string,datafeed,id,return,datafeed,datafeed,id
MlTasks -> public static String datafeedTaskId(String datafeedId);1545155131;Namespaces the task ids for datafeeds._A job id can be used as a datafeed id, because they are stored separately in cluster state.;public static String datafeedTaskId(String datafeedId) {_        return DATAFEED_TASK_ID_PREFIX + datafeedId__    };namespaces,the,task,ids,for,datafeeds,a,job,id,can,be,used,as,a,datafeed,id,because,they,are,stored,separately,in,cluster,state;public,static,string,datafeed,task,id,string,datafeed,id,return,datafeed,id
MlTasks -> public static String datafeedTaskId(String datafeedId);1547030567;Namespaces the task ids for datafeeds._A job id can be used as a datafeed id, because they are stored separately in cluster state.;public static String datafeedTaskId(String datafeedId) {_        return DATAFEED_TASK_ID_PREFIX + datafeedId__    };namespaces,the,task,ids,for,datafeeds,a,job,id,can,be,used,as,a,datafeed,id,because,they,are,stored,separately,in,cluster,state;public,static,string,datafeed,task,id,string,datafeed,id,return,datafeed,id
MlTasks -> public static String datafeedTaskId(String datafeedId);1547576499;Namespaces the task ids for datafeeds._A job id can be used as a datafeed id, because they are stored separately in cluster state.;public static String datafeedTaskId(String datafeedId) {_        return DATAFEED_TASK_ID_PREFIX + datafeedId__    };namespaces,the,task,ids,for,datafeeds,a,job,id,can,be,used,as,a,datafeed,id,because,they,are,stored,separately,in,cluster,state;public,static,string,datafeed,task,id,string,datafeed,id,return,datafeed,id
MlTasks -> public static String datafeedTaskId(String datafeedId);1548688050;Namespaces the task ids for datafeeds._A job id can be used as a datafeed id, because they are stored separately in cluster state.;public static String datafeedTaskId(String datafeedId) {_        return DATAFEED_TASK_ID_PREFIX + datafeedId__    };namespaces,the,task,ids,for,datafeeds,a,job,id,can,be,used,as,a,datafeed,id,because,they,are,stored,separately,in,cluster,state;public,static,string,datafeed,task,id,string,datafeed,id,return,datafeed,id
MlTasks -> public static Set<String> unallocatedJobIds(@Nullable PersistentTasksCustomMetaData tasks,                                                 DiscoveryNodes nodes);1547576499;Get the job Ids of anomaly detector job tasks that do_not have an assignment.__@param tasks Persistent tasks. If null an empty set is returned._@param nodes The cluster nodes_@return The job Ids of tasks to do not have an assignment.;public static Set<String> unallocatedJobIds(@Nullable PersistentTasksCustomMetaData tasks,_                                                DiscoveryNodes nodes) {_        return unallocatedJobTasks(tasks, nodes).stream()_                .map(task -> task.getId().substring(JOB_TASK_ID_PREFIX.length()))_                .collect(Collectors.toSet())__    };get,the,job,ids,of,anomaly,detector,job,tasks,that,do,not,have,an,assignment,param,tasks,persistent,tasks,if,null,an,empty,set,is,returned,param,nodes,the,cluster,nodes,return,the,job,ids,of,tasks,to,do,not,have,an,assignment;public,static,set,string,unallocated,job,ids,nullable,persistent,tasks,custom,meta,data,tasks,discovery,nodes,nodes,return,unallocated,job,tasks,tasks,nodes,stream,map,task,task,get,id,substring,length,collect,collectors,to,set
MlTasks -> public static Set<String> unallocatedJobIds(@Nullable PersistentTasksCustomMetaData tasks,                                                 DiscoveryNodes nodes);1548688050;Get the job Ids of anomaly detector job tasks that do_not have an assignment.__@param tasks Persistent tasks. If null an empty set is returned._@param nodes The cluster nodes_@return The job Ids of tasks to do not have an assignment.;public static Set<String> unallocatedJobIds(@Nullable PersistentTasksCustomMetaData tasks,_                                                DiscoveryNodes nodes) {_        return unallocatedJobTasks(tasks, nodes).stream()_                .map(task -> task.getId().substring(JOB_TASK_ID_PREFIX.length()))_                .collect(Collectors.toSet())__    };get,the,job,ids,of,anomaly,detector,job,tasks,that,do,not,have,an,assignment,param,tasks,persistent,tasks,if,null,an,empty,set,is,returned,param,nodes,the,cluster,nodes,return,the,job,ids,of,tasks,to,do,not,have,an,assignment;public,static,set,string,unallocated,job,ids,nullable,persistent,tasks,custom,meta,data,tasks,discovery,nodes,nodes,return,unallocated,job,tasks,tasks,nodes,stream,map,task,task,get,id,substring,length,collect,collectors,to,set
MlTasks -> public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks);1545155131;The job Ids of anomaly detector job tasks._All anomaly detector jobs are returned regardless of the status of the_task (OPEN, CLOSED, FAILED etc).__@param tasks Persistent tasks. If null an empty set is returned._@return The job Ids of anomaly detector job tasks;public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks) {_        if (tasks == null) {_            return Collections.emptySet()__        }__        return tasks.findTasks(JOB_TASK_NAME, task -> true)_                .stream()_                .map(t -> t.getId().substring(JOB_TASK_ID_PREFIX.length()))_                .collect(Collectors.toSet())__    };the,job,ids,of,anomaly,detector,job,tasks,all,anomaly,detector,jobs,are,returned,regardless,of,the,status,of,the,task,open,closed,failed,etc,param,tasks,persistent,tasks,if,null,an,empty,set,is,returned,return,the,job,ids,of,anomaly,detector,job,tasks;public,static,set,string,open,job,ids,nullable,persistent,tasks,custom,meta,data,tasks,if,tasks,null,return,collections,empty,set,return,tasks,find,tasks,task,true,stream,map,t,t,get,id,substring,length,collect,collectors,to,set
MlTasks -> public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks);1547030567;The job Ids of anomaly detector job tasks._All anomaly detector jobs are returned regardless of the status of the_task (OPEN, CLOSED, FAILED etc).__@param tasks Persistent tasks. If null an empty set is returned._@return The job Ids of anomaly detector job tasks;public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks) {_        if (tasks == null) {_            return Collections.emptySet()__        }__        return tasks.findTasks(JOB_TASK_NAME, task -> true)_                .stream()_                .map(t -> t.getId().substring(JOB_TASK_ID_PREFIX.length()))_                .collect(Collectors.toSet())__    };the,job,ids,of,anomaly,detector,job,tasks,all,anomaly,detector,jobs,are,returned,regardless,of,the,status,of,the,task,open,closed,failed,etc,param,tasks,persistent,tasks,if,null,an,empty,set,is,returned,return,the,job,ids,of,anomaly,detector,job,tasks;public,static,set,string,open,job,ids,nullable,persistent,tasks,custom,meta,data,tasks,if,tasks,null,return,collections,empty,set,return,tasks,find,tasks,task,true,stream,map,t,t,get,id,substring,length,collect,collectors,to,set
MlTasks -> public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks);1547576499;The job Ids of anomaly detector job tasks._All anomaly detector jobs are returned regardless of the status of the_task (OPEN, CLOSED, FAILED etc).__@param tasks Persistent tasks. If null an empty set is returned._@return The job Ids of anomaly detector job tasks;public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks) {_        if (tasks == null) {_            return Collections.emptySet()__        }__        return tasks.findTasks(JOB_TASK_NAME, task -> true)_                .stream()_                .map(t -> t.getId().substring(JOB_TASK_ID_PREFIX.length()))_                .collect(Collectors.toSet())__    };the,job,ids,of,anomaly,detector,job,tasks,all,anomaly,detector,jobs,are,returned,regardless,of,the,status,of,the,task,open,closed,failed,etc,param,tasks,persistent,tasks,if,null,an,empty,set,is,returned,return,the,job,ids,of,anomaly,detector,job,tasks;public,static,set,string,open,job,ids,nullable,persistent,tasks,custom,meta,data,tasks,if,tasks,null,return,collections,empty,set,return,tasks,find,tasks,task,true,stream,map,t,t,get,id,substring,length,collect,collectors,to,set
MlTasks -> public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks);1548688050;The job Ids of anomaly detector job tasks._All anomaly detector jobs are returned regardless of the status of the_task (OPEN, CLOSED, FAILED etc).__@param tasks Persistent tasks. If null an empty set is returned._@return The job Ids of anomaly detector job tasks;public static Set<String> openJobIds(@Nullable PersistentTasksCustomMetaData tasks) {_        if (tasks == null) {_            return Collections.emptySet()__        }__        return tasks.findTasks(JOB_TASK_NAME, task -> true)_                .stream()_                .map(t -> t.getId().substring(JOB_TASK_ID_PREFIX.length()))_                .collect(Collectors.toSet())__    };the,job,ids,of,anomaly,detector,job,tasks,all,anomaly,detector,jobs,are,returned,regardless,of,the,status,of,the,task,open,closed,failed,etc,param,tasks,persistent,tasks,if,null,an,empty,set,is,returned,return,the,job,ids,of,anomaly,detector,job,tasks;public,static,set,string,open,job,ids,nullable,persistent,tasks,custom,meta,data,tasks,if,tasks,null,return,collections,empty,set,return,tasks,find,tasks,task,true,stream,map,t,t,get,id,substring,length,collect,collectors,to,set
