# id;timestamp;commentText;codeText;commentWords;codeWords
StandardTypeConverter -> public StandardTypeConverter();1389887689;Create a StandardTypeConverter for the default ConversionService.;public StandardTypeConverter() {_		synchronized (this) {_			if (defaultConversionService == null) {_				defaultConversionService = new DefaultConversionService()__			}_		}_		this.conversionService = defaultConversionService__	};create,a,standard,type,converter,for,the,default,conversion,service;public,standard,type,converter,synchronized,this,if,default,conversion,service,null,default,conversion,service,new,default,conversion,service,this,conversion,service,default,conversion,service
StandardTypeConverter -> public StandardTypeConverter();1468523424;Create a StandardTypeConverter for the default ConversionService.;public StandardTypeConverter() {_		if (defaultConversionService == null) {_			defaultConversionService = new DefaultConversionService()__		}_		this.conversionService = defaultConversionService__	};create,a,standard,type,converter,for,the,default,conversion,service;public,standard,type,converter,if,default,conversion,service,null,default,conversion,service,new,default,conversion,service,this,conversion,service,default,conversion,service
StandardTypeConverter -> public StandardTypeConverter();1479997757;Create a StandardTypeConverter for the default ConversionService.;public StandardTypeConverter() {_		this.conversionService = DefaultConversionService.getSharedInstance()__	};create,a,standard,type,converter,for,the,default,conversion,service;public,standard,type,converter,this,conversion,service,default,conversion,service,get,shared,instance
StandardTypeConverter -> public StandardTypeConverter();1496837955;Create a StandardTypeConverter for the default ConversionService.;public StandardTypeConverter() {_		this.conversionService = DefaultConversionService.getSharedInstance()__	};create,a,standard,type,converter,for,the,default,conversion,service;public,standard,type,converter,this,conversion,service,default,conversion,service,get,shared,instance
StandardTypeConverter -> public StandardTypeConverter();1502974979;Create a StandardTypeConverter for the default ConversionService.;public StandardTypeConverter() {_		this.conversionService = DefaultConversionService.getSharedInstance()__	};create,a,standard,type,converter,for,the,default,conversion,service;public,standard,type,converter,this,conversion,service,default,conversion,service,get,shared,instance
StandardTypeConverter -> public StandardTypeConverter();1521738567;Create a StandardTypeConverter for the default ConversionService._@see DefaultConversionService#getSharedInstance();public StandardTypeConverter() {_		this.conversionService = DefaultConversionService.getSharedInstance()__	};create,a,standard,type,converter,for,the,default,conversion,service,see,default,conversion,service,get,shared,instance;public,standard,type,converter,this,conversion,service,default,conversion,service,get,shared,instance
StandardTypeConverter -> public StandardTypeConverter(ConversionService conversionService);1389887689;Create a StandardTypeConverter for the given ConversionService._@param conversionService the ConversionService to delegate to;public StandardTypeConverter(ConversionService conversionService) {_		Assert.notNull(conversionService, "ConversionService must not be null")__		this.conversionService = conversionService__	};create,a,standard,type,converter,for,the,given,conversion,service,param,conversion,service,the,conversion,service,to,delegate,to;public,standard,type,converter,conversion,service,conversion,service,assert,not,null,conversion,service,conversion,service,must,not,be,null,this,conversion,service,conversion,service
StandardTypeConverter -> public StandardTypeConverter(ConversionService conversionService);1468523424;Create a StandardTypeConverter for the given ConversionService._@param conversionService the ConversionService to delegate to;public StandardTypeConverter(ConversionService conversionService) {_		Assert.notNull(conversionService, "ConversionService must not be null")__		this.conversionService = conversionService__	};create,a,standard,type,converter,for,the,given,conversion,service,param,conversion,service,the,conversion,service,to,delegate,to;public,standard,type,converter,conversion,service,conversion,service,assert,not,null,conversion,service,conversion,service,must,not,be,null,this,conversion,service,conversion,service
StandardTypeConverter -> public StandardTypeConverter(ConversionService conversionService);1479997757;Create a StandardTypeConverter for the given ConversionService._@param conversionService the ConversionService to delegate to;public StandardTypeConverter(ConversionService conversionService) {_		Assert.notNull(conversionService, "ConversionService must not be null")__		this.conversionService = conversionService__	};create,a,standard,type,converter,for,the,given,conversion,service,param,conversion,service,the,conversion,service,to,delegate,to;public,standard,type,converter,conversion,service,conversion,service,assert,not,null,conversion,service,conversion,service,must,not,be,null,this,conversion,service,conversion,service
StandardTypeConverter -> public StandardTypeConverter(ConversionService conversionService);1496837955;Create a StandardTypeConverter for the given ConversionService._@param conversionService the ConversionService to delegate to;public StandardTypeConverter(ConversionService conversionService) {_		Assert.notNull(conversionService, "ConversionService must not be null")__		this.conversionService = conversionService__	};create,a,standard,type,converter,for,the,given,conversion,service,param,conversion,service,the,conversion,service,to,delegate,to;public,standard,type,converter,conversion,service,conversion,service,assert,not,null,conversion,service,conversion,service,must,not,be,null,this,conversion,service,conversion,service
StandardTypeConverter -> public StandardTypeConverter(ConversionService conversionService);1502974979;Create a StandardTypeConverter for the given ConversionService._@param conversionService the ConversionService to delegate to;public StandardTypeConverter(ConversionService conversionService) {_		Assert.notNull(conversionService, "ConversionService must not be null")__		this.conversionService = conversionService__	};create,a,standard,type,converter,for,the,given,conversion,service,param,conversion,service,the,conversion,service,to,delegate,to;public,standard,type,converter,conversion,service,conversion,service,assert,not,null,conversion,service,conversion,service,must,not,be,null,this,conversion,service,conversion,service
StandardTypeConverter -> public StandardTypeConverter(ConversionService conversionService);1521738567;Create a StandardTypeConverter for the given ConversionService._@param conversionService the ConversionService to delegate to;public StandardTypeConverter(ConversionService conversionService) {_		Assert.notNull(conversionService, "ConversionService must not be null")__		this.conversionService = conversionService__	};create,a,standard,type,converter,for,the,given,conversion,service,param,conversion,service,the,conversion,service,to,delegate,to;public,standard,type,converter,conversion,service,conversion,service,assert,not,null,conversion,service,conversion,service,must,not,be,null,this,conversion,service,conversion,service
