# id;timestamp;commentText;codeText;commentWords;codeWords
ReplicaShardAllocator -> private static boolean isResponsibleFor(final ShardRouting shard);1524684173;Is the allocator responsible for allocating the given {@link ShardRouting}?;private static boolean isResponsibleFor(final ShardRouting shard) {_        return shard.primary() == false _                   && shard.unassigned() _                   _                   && shard.unassignedInfo().getReason() != UnassignedInfo.Reason.INDEX_CREATED__    };is,the,allocator,responsible,for,allocating,the,given,link,shard,routing;private,static,boolean,is,responsible,for,final,shard,routing,shard,return,shard,primary,false,shard,unassigned,shard,unassigned,info,get,reason,unassigned,info,reason
ReplicaShardAllocator -> private static boolean isResponsibleFor(final ShardRouting shard);1540847035;Is the allocator responsible for allocating the given {@link ShardRouting}?;private static boolean isResponsibleFor(final ShardRouting shard) {_        return shard.primary() == false _                   && shard.unassigned() _                   _                   && shard.unassignedInfo().getReason() != UnassignedInfo.Reason.INDEX_CREATED__    };is,the,allocator,responsible,for,allocating,the,given,link,shard,routing;private,static,boolean,is,responsible,for,final,shard,routing,shard,return,shard,primary,false,shard,unassigned,shard,unassigned,info,get,reason,unassigned,info,reason
ReplicaShardAllocator -> private static boolean isResponsibleFor(final ShardRouting shard);1541092382;Is the allocator responsible for allocating the given {@link ShardRouting}?;private static boolean isResponsibleFor(final ShardRouting shard) {_        return shard.primary() == false _                   && shard.unassigned() _                   _                   && shard.unassignedInfo().getReason() != UnassignedInfo.Reason.INDEX_CREATED__    };is,the,allocator,responsible,for,allocating,the,given,link,shard,routing;private,static,boolean,is,responsible,for,final,shard,routing,shard,return,shard,primary,false,shard,unassigned,shard,unassigned,info,get,reason,unassigned,info,reason
ReplicaShardAllocator -> private Tuple<Decision, Map<String, NodeAllocationResult>> canBeAllocatedToAtLeastOneNode(ShardRouting shard,                                                                                               RoutingAllocation allocation);1524684173;Determines if the shard can be allocated on at least one node based on the allocation deciders.__Returns the best allocation decision for allocating the shard on any node (i.e. YES if at least one_node decided YES, THROTTLE if at least one node decided THROTTLE, and NO if none of the nodes decided_YES or THROTTLE).  If in explain mode, also returns the node-level explanations as the second element_in the returned tuple.;private Tuple<Decision, Map<String, NodeAllocationResult>> canBeAllocatedToAtLeastOneNode(ShardRouting shard,_                                                                                              RoutingAllocation allocation) {_        Decision madeDecision = Decision.NO__        final boolean explain = allocation.debugDecision()__        Map<String, NodeAllocationResult> nodeDecisions = explain ? new HashMap<>() : null__        for (ObjectCursor<DiscoveryNode> cursor : allocation.nodes().getDataNodes().values()) {_            RoutingNode node = allocation.routingNodes().node(cursor.value.getId())__            if (node == null) {_                continue__            }_            _            _            Decision decision = allocation.deciders().canAllocate(shard, node, allocation)__            if (decision.type() == Decision.Type.YES && madeDecision.type() != Decision.Type.YES) {_                if (explain) {_                    madeDecision = decision__                } else {_                    return Tuple.tuple(decision, nodeDecisions)__                }_            } else if (madeDecision.type() == Decision.Type.NO && decision.type() == Decision.Type.THROTTLE) {_                madeDecision = decision__            }_            if (explain) {_                nodeDecisions.put(node.nodeId(), new NodeAllocationResult(node.node(), null, decision))__            }_        }_        return Tuple.tuple(madeDecision, nodeDecisions)__    };determines,if,the,shard,can,be,allocated,on,at,least,one,node,based,on,the,allocation,deciders,returns,the,best,allocation,decision,for,allocating,the,shard,on,any,node,i,e,yes,if,at,least,one,node,decided,yes,throttle,if,at,least,one,node,decided,throttle,and,no,if,none,of,the,nodes,decided,yes,or,throttle,if,in,explain,mode,also,returns,the,node,level,explanations,as,the,second,element,in,the,returned,tuple;private,tuple,decision,map,string,node,allocation,result,can,be,allocated,to,at,least,one,node,shard,routing,shard,routing,allocation,allocation,decision,made,decision,decision,no,final,boolean,explain,allocation,debug,decision,map,string,node,allocation,result,node,decisions,explain,new,hash,map,null,for,object,cursor,discovery,node,cursor,allocation,nodes,get,data,nodes,values,routing,node,node,allocation,routing,nodes,node,cursor,value,get,id,if,node,null,continue,decision,decision,allocation,deciders,can,allocate,shard,node,allocation,if,decision,type,decision,type,yes,made,decision,type,decision,type,yes,if,explain,made,decision,decision,else,return,tuple,tuple,decision,node,decisions,else,if,made,decision,type,decision,type,no,decision,type,decision,type,throttle,made,decision,decision,if,explain,node,decisions,put,node,node,id,new,node,allocation,result,node,node,null,decision,return,tuple,tuple,made,decision,node,decisions
ReplicaShardAllocator -> private Tuple<Decision, Map<String, NodeAllocationResult>> canBeAllocatedToAtLeastOneNode(ShardRouting shard,                                                                                               RoutingAllocation allocation);1540847035;Determines if the shard can be allocated on at least one node based on the allocation deciders.__Returns the best allocation decision for allocating the shard on any node (i.e. YES if at least one_node decided YES, THROTTLE if at least one node decided THROTTLE, and NO if none of the nodes decided_YES or THROTTLE).  If in explain mode, also returns the node-level explanations as the second element_in the returned tuple.;private Tuple<Decision, Map<String, NodeAllocationResult>> canBeAllocatedToAtLeastOneNode(ShardRouting shard,_                                                                                              RoutingAllocation allocation) {_        Decision madeDecision = Decision.NO__        final boolean explain = allocation.debugDecision()__        Map<String, NodeAllocationResult> nodeDecisions = explain ? new HashMap<>() : null__        for (ObjectCursor<DiscoveryNode> cursor : allocation.nodes().getDataNodes().values()) {_            RoutingNode node = allocation.routingNodes().node(cursor.value.getId())__            if (node == null) {_                continue__            }_            _            _            Decision decision = allocation.deciders().canAllocate(shard, node, allocation)__            if (decision.type() == Decision.Type.YES && madeDecision.type() != Decision.Type.YES) {_                if (explain) {_                    madeDecision = decision__                } else {_                    return Tuple.tuple(decision, nodeDecisions)__                }_            } else if (madeDecision.type() == Decision.Type.NO && decision.type() == Decision.Type.THROTTLE) {_                madeDecision = decision__            }_            if (explain) {_                nodeDecisions.put(node.nodeId(), new NodeAllocationResult(node.node(), null, decision))__            }_        }_        return Tuple.tuple(madeDecision, nodeDecisions)__    };determines,if,the,shard,can,be,allocated,on,at,least,one,node,based,on,the,allocation,deciders,returns,the,best,allocation,decision,for,allocating,the,shard,on,any,node,i,e,yes,if,at,least,one,node,decided,yes,throttle,if,at,least,one,node,decided,throttle,and,no,if,none,of,the,nodes,decided,yes,or,throttle,if,in,explain,mode,also,returns,the,node,level,explanations,as,the,second,element,in,the,returned,tuple;private,tuple,decision,map,string,node,allocation,result,can,be,allocated,to,at,least,one,node,shard,routing,shard,routing,allocation,allocation,decision,made,decision,decision,no,final,boolean,explain,allocation,debug,decision,map,string,node,allocation,result,node,decisions,explain,new,hash,map,null,for,object,cursor,discovery,node,cursor,allocation,nodes,get,data,nodes,values,routing,node,node,allocation,routing,nodes,node,cursor,value,get,id,if,node,null,continue,decision,decision,allocation,deciders,can,allocate,shard,node,allocation,if,decision,type,decision,type,yes,made,decision,type,decision,type,yes,if,explain,made,decision,decision,else,return,tuple,tuple,decision,node,decisions,else,if,made,decision,type,decision,type,no,decision,type,decision,type,throttle,made,decision,decision,if,explain,node,decisions,put,node,node,id,new,node,allocation,result,node,node,null,decision,return,tuple,tuple,made,decision,node,decisions
ReplicaShardAllocator -> private Tuple<Decision, Map<String, NodeAllocationResult>> canBeAllocatedToAtLeastOneNode(ShardRouting shard,                                                                                               RoutingAllocation allocation);1541092382;Determines if the shard can be allocated on at least one node based on the allocation deciders.__Returns the best allocation decision for allocating the shard on any node (i.e. YES if at least one_node decided YES, THROTTLE if at least one node decided THROTTLE, and NO if none of the nodes decided_YES or THROTTLE).  If in explain mode, also returns the node-level explanations as the second element_in the returned tuple.;private Tuple<Decision, Map<String, NodeAllocationResult>> canBeAllocatedToAtLeastOneNode(ShardRouting shard,_                                                                                              RoutingAllocation allocation) {_        Decision madeDecision = Decision.NO__        final boolean explain = allocation.debugDecision()__        Map<String, NodeAllocationResult> nodeDecisions = explain ? new HashMap<>() : null__        for (ObjectCursor<DiscoveryNode> cursor : allocation.nodes().getDataNodes().values()) {_            RoutingNode node = allocation.routingNodes().node(cursor.value.getId())__            if (node == null) {_                continue__            }_            _            _            Decision decision = allocation.deciders().canAllocate(shard, node, allocation)__            if (decision.type() == Decision.Type.YES && madeDecision.type() != Decision.Type.YES) {_                if (explain) {_                    madeDecision = decision__                } else {_                    return Tuple.tuple(decision, nodeDecisions)__                }_            } else if (madeDecision.type() == Decision.Type.NO && decision.type() == Decision.Type.THROTTLE) {_                madeDecision = decision__            }_            if (explain) {_                nodeDecisions.put(node.nodeId(), new NodeAllocationResult(node.node(), null, decision))__            }_        }_        return Tuple.tuple(madeDecision, nodeDecisions)__    };determines,if,the,shard,can,be,allocated,on,at,least,one,node,based,on,the,allocation,deciders,returns,the,best,allocation,decision,for,allocating,the,shard,on,any,node,i,e,yes,if,at,least,one,node,decided,yes,throttle,if,at,least,one,node,decided,throttle,and,no,if,none,of,the,nodes,decided,yes,or,throttle,if,in,explain,mode,also,returns,the,node,level,explanations,as,the,second,element,in,the,returned,tuple;private,tuple,decision,map,string,node,allocation,result,can,be,allocated,to,at,least,one,node,shard,routing,shard,routing,allocation,allocation,decision,made,decision,decision,no,final,boolean,explain,allocation,debug,decision,map,string,node,allocation,result,node,decisions,explain,new,hash,map,null,for,object,cursor,discovery,node,cursor,allocation,nodes,get,data,nodes,values,routing,node,node,allocation,routing,nodes,node,cursor,value,get,id,if,node,null,continue,decision,decision,allocation,deciders,can,allocate,shard,node,allocation,if,decision,type,decision,type,yes,made,decision,type,decision,type,yes,if,explain,made,decision,decision,else,return,tuple,tuple,decision,node,decisions,else,if,made,decision,type,decision,type,no,decision,type,decision,type,throttle,made,decision,decision,if,explain,node,decisions,put,node,node,id,new,node,allocation,result,node,node,null,decision,return,tuple,tuple,made,decision,node,decisions
ReplicaShardAllocator -> private List<NodeAllocationResult> augmentExplanationsWithStoreInfo(Map<String, NodeAllocationResult> nodeDecisions,                                                                         Map<String, NodeAllocationResult> withShardStores);1524684173;Takes the store info for nodes that have a shard store and adds them to the node decisions,_leaving the node explanations untouched for those nodes that do not have any store information.;private List<NodeAllocationResult> augmentExplanationsWithStoreInfo(Map<String, NodeAllocationResult> nodeDecisions,_                                                                        Map<String, NodeAllocationResult> withShardStores) {_        if (nodeDecisions == null || withShardStores == null) {_            return null__        }_        List<NodeAllocationResult> augmented = new ArrayList<>()__        for (Map.Entry<String, NodeAllocationResult> entry : nodeDecisions.entrySet()) {_            if (withShardStores.containsKey(entry.getKey())) {_                augmented.add(withShardStores.get(entry.getKey()))__            } else {_                augmented.add(entry.getValue())__            }_        }_        return augmented__    };takes,the,store,info,for,nodes,that,have,a,shard,store,and,adds,them,to,the,node,decisions,leaving,the,node,explanations,untouched,for,those,nodes,that,do,not,have,any,store,information;private,list,node,allocation,result,augment,explanations,with,store,info,map,string,node,allocation,result,node,decisions,map,string,node,allocation,result,with,shard,stores,if,node,decisions,null,with,shard,stores,null,return,null,list,node,allocation,result,augmented,new,array,list,for,map,entry,string,node,allocation,result,entry,node,decisions,entry,set,if,with,shard,stores,contains,key,entry,get,key,augmented,add,with,shard,stores,get,entry,get,key,else,augmented,add,entry,get,value,return,augmented
ReplicaShardAllocator -> private List<NodeAllocationResult> augmentExplanationsWithStoreInfo(Map<String, NodeAllocationResult> nodeDecisions,                                                                         Map<String, NodeAllocationResult> withShardStores);1540847035;Takes the store info for nodes that have a shard store and adds them to the node decisions,_leaving the node explanations untouched for those nodes that do not have any store information.;private List<NodeAllocationResult> augmentExplanationsWithStoreInfo(Map<String, NodeAllocationResult> nodeDecisions,_                                                                        Map<String, NodeAllocationResult> withShardStores) {_        if (nodeDecisions == null || withShardStores == null) {_            return null__        }_        List<NodeAllocationResult> augmented = new ArrayList<>()__        for (Map.Entry<String, NodeAllocationResult> entry : nodeDecisions.entrySet()) {_            if (withShardStores.containsKey(entry.getKey())) {_                augmented.add(withShardStores.get(entry.getKey()))__            } else {_                augmented.add(entry.getValue())__            }_        }_        return augmented__    };takes,the,store,info,for,nodes,that,have,a,shard,store,and,adds,them,to,the,node,decisions,leaving,the,node,explanations,untouched,for,those,nodes,that,do,not,have,any,store,information;private,list,node,allocation,result,augment,explanations,with,store,info,map,string,node,allocation,result,node,decisions,map,string,node,allocation,result,with,shard,stores,if,node,decisions,null,with,shard,stores,null,return,null,list,node,allocation,result,augmented,new,array,list,for,map,entry,string,node,allocation,result,entry,node,decisions,entry,set,if,with,shard,stores,contains,key,entry,get,key,augmented,add,with,shard,stores,get,entry,get,key,else,augmented,add,entry,get,value,return,augmented
ReplicaShardAllocator -> private List<NodeAllocationResult> augmentExplanationsWithStoreInfo(Map<String, NodeAllocationResult> nodeDecisions,                                                                         Map<String, NodeAllocationResult> withShardStores);1541092382;Takes the store info for nodes that have a shard store and adds them to the node decisions,_leaving the node explanations untouched for those nodes that do not have any store information.;private List<NodeAllocationResult> augmentExplanationsWithStoreInfo(Map<String, NodeAllocationResult> nodeDecisions,_                                                                        Map<String, NodeAllocationResult> withShardStores) {_        if (nodeDecisions == null || withShardStores == null) {_            return null__        }_        List<NodeAllocationResult> augmented = new ArrayList<>()__        for (Map.Entry<String, NodeAllocationResult> entry : nodeDecisions.entrySet()) {_            if (withShardStores.containsKey(entry.getKey())) {_                augmented.add(withShardStores.get(entry.getKey()))__            } else {_                augmented.add(entry.getValue())__            }_        }_        return augmented__    };takes,the,store,info,for,nodes,that,have,a,shard,store,and,adds,them,to,the,node,decisions,leaving,the,node,explanations,untouched,for,those,nodes,that,do,not,have,any,store,information;private,list,node,allocation,result,augment,explanations,with,store,info,map,string,node,allocation,result,node,decisions,map,string,node,allocation,result,with,shard,stores,if,node,decisions,null,with,shard,stores,null,return,null,list,node,allocation,result,augmented,new,array,list,for,map,entry,string,node,allocation,result,entry,node,decisions,entry,set,if,with,shard,stores,contains,key,entry,get,key,augmented,add,with,shard,stores,get,entry,get,key,else,augmented,add,entry,get,value,return,augmented
ReplicaShardAllocator -> private TransportNodesListShardStoreMetaData.StoreFilesMetaData findStore(ShardRouting shard, RoutingAllocation allocation,                                                                               AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> data);1540847035;Finds the store for the assigned shard in the fetched data, returns null if none is found.;private TransportNodesListShardStoreMetaData.StoreFilesMetaData findStore(ShardRouting shard, RoutingAllocation allocation,_                                                                              AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> data) {_        assert shard.currentNodeId() != null__        DiscoveryNode primaryNode = allocation.nodes().get(shard.currentNodeId())__        if (primaryNode == null) {_            return null__        }_        NodeStoreFilesMetaData primaryNodeFilesStore = data.getData().get(primaryNode)__        if (primaryNodeFilesStore == null) {_            return null__        }_        return primaryNodeFilesStore.storeFilesMetaData()__    };finds,the,store,for,the,assigned,shard,in,the,fetched,data,returns,null,if,none,is,found;private,transport,nodes,list,shard,store,meta,data,store,files,meta,data,find,store,shard,routing,shard,routing,allocation,allocation,async,shard,fetch,fetch,result,node,store,files,meta,data,data,assert,shard,current,node,id,null,discovery,node,primary,node,allocation,nodes,get,shard,current,node,id,if,primary,node,null,return,null,node,store,files,meta,data,primary,node,files,store,data,get,data,get,primary,node,if,primary,node,files,store,null,return,null,return,primary,node,files,store,store,files,meta,data
ReplicaShardAllocator -> private TransportNodesListShardStoreMetaData.StoreFilesMetaData findStore(ShardRouting shard, RoutingAllocation allocation,                                                                               AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> data);1541092382;Finds the store for the assigned shard in the fetched data, returns null if none is found.;private TransportNodesListShardStoreMetaData.StoreFilesMetaData findStore(ShardRouting shard, RoutingAllocation allocation,_                                                                              AsyncShardFetch.FetchResult<NodeStoreFilesMetaData> data) {_        assert shard.currentNodeId() != null__        DiscoveryNode primaryNode = allocation.nodes().get(shard.currentNodeId())__        if (primaryNode == null) {_            return null__        }_        NodeStoreFilesMetaData primaryNodeFilesStore = data.getData().get(primaryNode)__        if (primaryNodeFilesStore == null) {_            return null__        }_        return primaryNodeFilesStore.storeFilesMetaData()__    };finds,the,store,for,the,assigned,shard,in,the,fetched,data,returns,null,if,none,is,found;private,transport,nodes,list,shard,store,meta,data,store,files,meta,data,find,store,shard,routing,shard,routing,allocation,allocation,async,shard,fetch,fetch,result,node,store,files,meta,data,data,assert,shard,current,node,id,null,discovery,node,primary,node,allocation,nodes,get,shard,current,node,id,if,primary,node,null,return,null,node,store,files,meta,data,primary,node,files,store,data,get,data,get,primary,node,if,primary,node,files,store,null,return,null,return,primary,node,files,store,store,files,meta,data
