# id;timestamp;commentText;codeText;commentWords;codeWords
Unmarshaller -> RowIterator -> @Override         public final void remove();1416561667;Warning: it always throws an {@code UnsupportedOperationException};@Override_        public final void remove() {_            throw new UnsupportedOperationException()__        };warning,it,always,throws,an,code,unsupported,operation,exception;override,public,final,void,remove,throw,new,unsupported,operation,exception
Unmarshaller -> RowIterator -> @Override         public final void remove();1425288489;Warning: it always throws an {@code UnsupportedOperationException};@Override_        public final void remove() {_            throw new UnsupportedOperationException()__        };warning,it,always,throws,an,code,unsupported,operation,exception;override,public,final,void,remove,throw,new,unsupported,operation,exception
Unmarshaller -> RowIterator -> @Override         public final void remove();1524063209;Warning: it always throws an {@code UnsupportedOperationException};@Override_        public final void remove() {_            throw new UnsupportedOperationException()__        };warning,it,always,throws,an,code,unsupported,operation,exception;override,public,final,void,remove,throw,new,unsupported,operation,exception
Unmarshaller -> RowIterator -> @Override         public final boolean hasNext();1416561667;{@inheritDoc};@Override_        public final boolean hasNext() {_            return row != null__        };inherit,doc;override,public,final,boolean,has,next,return,row,null
Unmarshaller -> RowIterator -> @Override         public final boolean hasNext();1425288489;{@inheritDoc};@Override_        public final boolean hasNext() {_            return row != null__        };inherit,doc;override,public,final,boolean,has,next,return,row,null
Unmarshaller -> RowIterator -> @Override         public final boolean hasNext();1524063209;{@inheritDoc};@Override_        public final boolean hasNext() {_            return row != null__        };inherit,doc;override,public,final,boolean,has,next,return,row,null
Unmarshaller -> ListRowIterator -> @Override         protected List<String> convertRow(String[] row);1416561667;{@inheritDoc};@Override_        protected List<String> convertRow(String[] row) {_            return Arrays.asList(row)__        };inherit,doc;override,protected,list,string,convert,row,string,row,return,arrays,as,list,row
Unmarshaller -> ListRowIterator -> @Override         protected List<String> convertRow(String[] row);1425288489;{@inheritDoc};@Override_        protected List<String> convertRow(String[] row) {_            return Arrays.asList(row)__        };inherit,doc;override,protected,list,string,convert,row,string,row,return,arrays,as,list,row
Unmarshaller -> ListRowIterator -> @Override         protected List<String> convertRow(String[] row);1524063209;{@inheritDoc};@Override_        protected List<String> convertRow(String[] row) {_            return Arrays.asList(row)__        };inherit,doc;override,protected,list,string,convert,row,string,row,return,arrays,as,list,row
Unmarshaller -> MapRowIterator -> protected MapRowIterator(P parser, HeaderRowProcessor headerRowProcessor);1416561667;Creates a new instance__@param parser             parser to use_@param headerRowProcessor row processor to use in order to retrieve the headers;protected MapRowIterator(P parser, HeaderRowProcessor headerRowProcessor) {_            super(parser)__            this.headerRowProcessor = headerRowProcessor__        };creates,a,new,instance,param,parser,parser,to,use,param,header,row,processor,row,processor,to,use,in,order,to,retrieve,the,headers;protected,map,row,iterator,p,parser,header,row,processor,header,row,processor,super,parser,this,header,row,processor,header,row,processor
Unmarshaller -> MapRowIterator -> protected MapRowIterator(P parser, HeaderRowProcessor headerRowProcessor);1425288489;Creates a new instance__@param parser             parser to use_@param headerRowProcessor row processor to use in order to retrieve the headers;protected MapRowIterator(P parser, HeaderRowProcessor headerRowProcessor) {_            super(parser)__            this.headerRowProcessor = headerRowProcessor__        };creates,a,new,instance,param,parser,parser,to,use,param,header,row,processor,row,processor,to,use,in,order,to,retrieve,the,headers;protected,map,row,iterator,p,parser,header,row,processor,header,row,processor,super,parser,this,header,row,processor,header,row,processor
