commented;modifiers;parameterAmount;loc;comment;code
false;public;1;5;;@Override public void writeTo(StreamOutput out) throws IOException {     out.writeString(field).     out.writeList(values). }
false;public;0;4;;@Override public String getWriteableName() {     return NAME. }
false;public;1;4;;@Override public boolean match(ExpressionModel model) {     return model.test(field, values). }
false;public;0;3;;public String getField() {     return field. }
false;public;0;3;;public List<FieldValue> getValues() {     return Collections.unmodifiableList(values). }
false;public;1;9;;@Override public boolean equals(Object o) {     if (this == o)         return true.     if (o == null || getClass() != o.getClass())         return false.     final FieldExpression that = (FieldExpression) o.     return this.field.equals(that.field) && this.values.equals(that.values). }
false;public;0;6;;@Override public int hashCode() {     int result = field.hashCode().     result = 31 * result + values.hashCode().     return result. }
false;public;2;17;;@Override public XContentBuilder toXContent(XContentBuilder builder, Params params) throws IOException {     builder.startObject().     builder.startObject(ExpressionParser.Fields.FIELD.getPreferredName()).     if (this.values.size() == 1) {         builder.field(this.field).         values.get(0).toXContent(builder, params).     } else {         builder.startArray(this.field).         for (FieldValue fp : values) {             fp.toXContent(builder, params).         }         builder.endArray().     }     builder.endObject().     return builder.endObject(). }
false;private,static;1;9;;private static CharacterRunAutomaton buildAutomaton(Object value) {     if (value instanceof String) {         final String str = (String) value.         if (Regex.isSimpleMatchPattern(str) || isLuceneRegex(str)) {             return new CharacterRunAutomaton(Automatons.patterns(str)).         }     }     return null. }
false;private,static;1;3;;private static boolean isLuceneRegex(String str) {     return str.length() > 1 && str.charAt(0) == '/' && str.charAt(str.length() - 1) == '/'. }
false;public;0;3;;public Object getValue() {     return value. }
false;public;0;3;;public CharacterRunAutomaton getAutomaton() {     return automaton. }
false;public,static;1;3;;public static FieldValue readFrom(StreamInput in) throws IOException {     return new FieldValue(in.readGenericValue()). }
false;public;1;4;;@Override public void writeTo(StreamOutput out) throws IOException {     out.writeGenericValue(value). }
false;public;2;4;;@Override public XContentBuilder toXContent(XContentBuilder builder, Params params) throws IOException {     return builder.value(value). }
