# id;timestamp;commentText;codeText;commentWords;codeWords
OptionalBoolean -> public boolean get();1464173021;Get the boolean state.__@return boolean state;public boolean get() {_		switch (state) {_			case UNSET:_				return valueIfUnset__			case FALSE:_				return false__			case TRUE:_				return true__			case CONFLICTING:_				return valueIfConflicting__			default:_				throw new RuntimeException("Unknown state")__		}_	};get,the,boolean,state,return,boolean,state;public,boolean,get,switch,state,case,unset,return,value,if,unset,case,false,return,false,case,true,return,true,case,conflicting,return,value,if,conflicting,default,throw,new,runtime,exception,unknown,state
OptionalBoolean -> public boolean get();1487885205;Get the boolean state.__@return boolean state;public boolean get() {_		switch (state) {_			case UNSET:_				return valueIfUnset__			case FALSE:_				return false__			case TRUE:_				return true__			case CONFLICTING:_				return valueIfConflicting__			default:_				throw new RuntimeException("Unknown state")__		}_	};get,the,boolean,state,return,boolean,state;public,boolean,get,switch,state,case,unset,return,value,if,unset,case,false,return,false,case,true,return,true,case,conflicting,return,value,if,conflicting,default,throw,new,runtime,exception,unknown,state
OptionalBoolean -> public boolean get();1495653033;Get the boolean state.__@return boolean state;public boolean get() {_		switch (state) {_			case UNSET:_				return valueIfUnset__			case FALSE:_				return false__			case TRUE:_				return true__			case CONFLICTING:_				return valueIfConflicting__			default:_				throw new RuntimeException("Unknown state")__		}_	};get,the,boolean,state,return,boolean,state;public,boolean,get,switch,state,case,unset,return,value,if,unset,case,false,return,false,case,true,return,true,case,conflicting,return,value,if,conflicting,default,throw,new,runtime,exception,unknown,state
OptionalBoolean -> public OptionalBoolean(boolean valueIfUnset, boolean valueIfConflicting);1464173021;An {@code OptionalBoolean} has three possible states: true, false, and_"unset". The value is set when merged with a value of true or false. The_state returns to unset either explicitly or when true is merged with false.__@param valueIfUnset the value to return when the object's state is unset_@param valueIfConflicting the value to return when the object's state is conflicting;public OptionalBoolean(boolean valueIfUnset, boolean valueIfConflicting) {_		this.valueIfUnset = valueIfUnset__		this.valueIfConflicting = valueIfConflicting__	};an,code,optional,boolean,has,three,possible,states,true,false,and,unset,the,value,is,set,when,merged,with,a,value,of,true,or,false,the,state,returns,to,unset,either,explicitly,or,when,true,is,merged,with,false,param,value,if,unset,the,value,to,return,when,the,object,s,state,is,unset,param,value,if,conflicting,the,value,to,return,when,the,object,s,state,is,conflicting;public,optional,boolean,boolean,value,if,unset,boolean,value,if,conflicting,this,value,if,unset,value,if,unset,this,value,if,conflicting,value,if,conflicting
OptionalBoolean -> public OptionalBoolean(boolean valueIfUnset, boolean valueIfConflicting);1487885205;An {@code OptionalBoolean} has three possible states: true, false, and_"unset". The value is set when merged with a value of true or false. The_state returns to unset either explicitly or when true is merged with false.__@param valueIfUnset the value to return when the object's state is unset_@param valueIfConflicting the value to return when the object's state is conflicting;public OptionalBoolean(boolean valueIfUnset, boolean valueIfConflicting) {_		this.valueIfUnset = valueIfUnset__		this.valueIfConflicting = valueIfConflicting__	};an,code,optional,boolean,has,three,possible,states,true,false,and,unset,the,value,is,set,when,merged,with,a,value,of,true,or,false,the,state,returns,to,unset,either,explicitly,or,when,true,is,merged,with,false,param,value,if,unset,the,value,to,return,when,the,object,s,state,is,unset,param,value,if,conflicting,the,value,to,return,when,the,object,s,state,is,conflicting;public,optional,boolean,boolean,value,if,unset,boolean,value,if,conflicting,this,value,if,unset,value,if,unset,this,value,if,conflicting,value,if,conflicting
OptionalBoolean -> public OptionalBoolean(boolean valueIfUnset, boolean valueIfConflicting);1495653033;An {@code OptionalBoolean} has three possible states: true, false, and_"unset". The value is set when merged with a value of true or false. The_state returns to unset either explicitly or when true is merged with false.__@param valueIfUnset the value to return when the object's state is unset_@param valueIfConflicting the value to return when the object's state is conflicting;public OptionalBoolean(boolean valueIfUnset, boolean valueIfConflicting) {_		this.valueIfUnset = valueIfUnset__		this.valueIfConflicting = valueIfConflicting__	};an,code,optional,boolean,has,three,possible,states,true,false,and,unset,the,value,is,set,when,merged,with,a,value,of,true,or,false,the,state,returns,to,unset,either,explicitly,or,when,true,is,merged,with,false,param,value,if,unset,the,value,to,return,when,the,object,s,state,is,unset,param,value,if,conflicting,the,value,to,return,when,the,object,s,state,is,conflicting;public,optional,boolean,boolean,value,if,unset,boolean,value,if,conflicting,this,value,if,unset,value,if,unset,this,value,if,conflicting,value,if,conflicting
OptionalBoolean -> public void unset();1464173021;Reset to the unset state.;public void unset() {_		this.state = State.UNSET__	};reset,to,the,unset,state;public,void,unset,this,state,state,unset
OptionalBoolean -> public void unset();1487885205;Reset to the unset state.;public void unset() {_		this.state = State.UNSET__	};reset,to,the,unset,state;public,void,unset,this,state,state,unset
OptionalBoolean -> public void unset();1495653033;Reset to the unset state.;public void unset() {_		this.state = State.UNSET__	};reset,to,the,unset,state;public,void,unset,this,state,state,unset
OptionalBoolean -> public void mergeWith(OptionalBoolean other);1464173021;State transitions:_if the states are the same then no change_if either state is unset then change to the other state_if the states are conflicting then set to the conflicting state__@param other object from which to merge state;public void mergeWith(OptionalBoolean other) {_		if (state == other.state) {_			_		} else if (state == State.UNSET) {_			state = other.state__		} else if (other.state == State.UNSET) {_			_		} else {_			state = State.CONFLICTING__		}_	};state,transitions,if,the,states,are,the,same,then,no,change,if,either,state,is,unset,then,change,to,the,other,state,if,the,states,are,conflicting,then,set,to,the,conflicting,state,param,other,object,from,which,to,merge,state;public,void,merge,with,optional,boolean,other,if,state,other,state,else,if,state,state,unset,state,other,state,else,if,other,state,state,unset,else,state,state,conflicting
OptionalBoolean -> public void mergeWith(OptionalBoolean other);1487885205;State transitions:_if the states are the same then no change_if either state is unset then change to the other state_if the states are conflicting then set to the conflicting state__@param other object from which to merge state;public void mergeWith(OptionalBoolean other) {_		if (state == other.state) {_			_		} else if (state == State.UNSET) {_			state = other.state__		} else if (other.state == State.UNSET) {_			_		} else {_			state = State.CONFLICTING__		}_	};state,transitions,if,the,states,are,the,same,then,no,change,if,either,state,is,unset,then,change,to,the,other,state,if,the,states,are,conflicting,then,set,to,the,conflicting,state,param,other,object,from,which,to,merge,state;public,void,merge,with,optional,boolean,other,if,state,other,state,else,if,state,state,unset,state,other,state,else,if,other,state,state,unset,else,state,state,conflicting
