# id;timestamp;commentText;codeText;commentWords;codeWords
WeavingTransformer -> public WeavingTransformer(@Nullable ClassLoader classLoader);1496837955;Create a new WeavingTransformer for the given class loader._@param classLoader the ClassLoader to build a transformer for;public WeavingTransformer(@Nullable ClassLoader classLoader) {_		this.classLoader = classLoader__	};create,a,new,weaving,transformer,for,the,given,class,loader,param,class,loader,the,class,loader,to,build,a,transformer,for;public,weaving,transformer,nullable,class,loader,class,loader,this,class,loader,class,loader
WeavingTransformer -> public WeavingTransformer(@Nullable ClassLoader classLoader);1498780456;Create a new WeavingTransformer for the given class loader._@param classLoader the ClassLoader to build a transformer for;public WeavingTransformer(@Nullable ClassLoader classLoader) {_		this.classLoader = classLoader__	};create,a,new,weaving,transformer,for,the,given,class,loader,param,class,loader,the,class,loader,to,build,a,transformer,for;public,weaving,transformer,nullable,class,loader,class,loader,this,class,loader,class,loader
WeavingTransformer -> public WeavingTransformer(@Nullable ClassLoader classLoader);1537186939;Create a new WeavingTransformer for the given class loader._@param classLoader the ClassLoader to build a transformer for;public WeavingTransformer(@Nullable ClassLoader classLoader) {_		this.classLoader = classLoader__	};create,a,new,weaving,transformer,for,the,given,class,loader,param,class,loader,the,class,loader,to,build,a,transformer,for;public,weaving,transformer,nullable,class,loader,class,loader,this,class,loader,class,loader
WeavingTransformer -> public WeavingTransformer(ClassLoader classLoader);1328020251;Create a new WeavingTransformer for the given class loader._@param classLoader the ClassLoader to build a transformer for;public WeavingTransformer(ClassLoader classLoader) {_		if (classLoader == null) {_			throw new IllegalArgumentException("ClassLoader must not be null")__		}_		this.classLoader = classLoader__	};create,a,new,weaving,transformer,for,the,given,class,loader,param,class,loader,the,class,loader,to,build,a,transformer,for;public,weaving,transformer,class,loader,class,loader,if,class,loader,null,throw,new,illegal,argument,exception,class,loader,must,not,be,null,this,class,loader,class,loader
WeavingTransformer -> public WeavingTransformer(ClassLoader classLoader);1467730834;Create a new WeavingTransformer for the given class loader._@param classLoader the ClassLoader to build a transformer for;public WeavingTransformer(ClassLoader classLoader) {_		if (classLoader == null) {_			throw new IllegalArgumentException("ClassLoader must not be null")__		}_		this.classLoader = classLoader__	};create,a,new,weaving,transformer,for,the,given,class,loader,param,class,loader,the,class,loader,to,build,a,transformer,for;public,weaving,transformer,class,loader,class,loader,if,class,loader,null,throw,new,illegal,argument,exception,class,loader,must,not,be,null,this,class,loader,class,loader
WeavingTransformer -> public WeavingTransformer(ClassLoader classLoader);1496259743;Create a new WeavingTransformer for the given class loader._@param classLoader the ClassLoader to build a transformer for;public WeavingTransformer(ClassLoader classLoader) {_		if (classLoader == null) {_			throw new IllegalArgumentException("ClassLoader must not be null")__		}_		this.classLoader = classLoader__	};create,a,new,weaving,transformer,for,the,given,class,loader,param,class,loader,the,class,loader,to,build,a,transformer,for;public,weaving,transformer,class,loader,class,loader,if,class,loader,null,throw,new,illegal,argument,exception,class,loader,must,not,be,null,this,class,loader,class,loader
WeavingTransformer -> public byte[] transformIfNecessary(String className, byte[] bytes);1328020251;Apply transformation on a given class byte definition._The method will always return a non-null byte array (if no transformation has taken place_the array content will be identical to the original one)._@param className the full qualified name of the class in dot format (i.e. some.package.SomeClass)_@param bytes class byte definition_@return (possibly transformed) class byte definition;public byte[] transformIfNecessary(String className, byte[] bytes) {_		String internalName = className.replace(".", "/")__		return transformIfNecessary(className, internalName, bytes, null)__	};apply,transformation,on,a,given,class,byte,definition,the,method,will,always,return,a,non,null,byte,array,if,no,transformation,has,taken,place,the,array,content,will,be,identical,to,the,original,one,param,class,name,the,full,qualified,name,of,the,class,in,dot,format,i,e,some,package,some,class,param,bytes,class,byte,definition,return,possibly,transformed,class,byte,definition;public,byte,transform,if,necessary,string,class,name,byte,bytes,string,internal,name,class,name,replace,return,transform,if,necessary,class,name,internal,name,bytes,null
WeavingTransformer -> public byte[] transformIfNecessary(String className, byte[] bytes);1467730834;Apply transformation on a given class byte definition._The method will always return a non-null byte array (if no transformation has taken place_the array content will be identical to the original one)._@param className the full qualified name of the class in dot format (i.e. some.package.SomeClass)_@param bytes class byte definition_@return (possibly transformed) class byte definition;public byte[] transformIfNecessary(String className, byte[] bytes) {_		String internalName = className.replace(".", "/")__		return transformIfNecessary(className, internalName, bytes, null)__	};apply,transformation,on,a,given,class,byte,definition,the,method,will,always,return,a,non,null,byte,array,if,no,transformation,has,taken,place,the,array,content,will,be,identical,to,the,original,one,param,class,name,the,full,qualified,name,of,the,class,in,dot,format,i,e,some,package,some,class,param,bytes,class,byte,definition,return,possibly,transformed,class,byte,definition;public,byte,transform,if,necessary,string,class,name,byte,bytes,string,internal,name,class,name,replace,return,transform,if,necessary,class,name,internal,name,bytes,null
WeavingTransformer -> public byte[] transformIfNecessary(String className, byte[] bytes);1496259743;Apply transformation on a given class byte definition._The method will always return a non-null byte array (if no transformation has taken place_the array content will be identical to the original one)._@param className the full qualified name of the class in dot format (i.e. some.package.SomeClass)_@param bytes class byte definition_@return (possibly transformed) class byte definition;public byte[] transformIfNecessary(String className, byte[] bytes) {_		String internalName = className.replace(".", "/")__		return transformIfNecessary(className, internalName, bytes, null)__	};apply,transformation,on,a,given,class,byte,definition,the,method,will,always,return,a,non,null,byte,array,if,no,transformation,has,taken,place,the,array,content,will,be,identical,to,the,original,one,param,class,name,the,full,qualified,name,of,the,class,in,dot,format,i,e,some,package,some,class,param,bytes,class,byte,definition,return,possibly,transformed,class,byte,definition;public,byte,transform,if,necessary,string,class,name,byte,bytes,string,internal,name,class,name,replace,return,transform,if,necessary,class,name,internal,name,bytes,null
WeavingTransformer -> public byte[] transformIfNecessary(String className, byte[] bytes);1496837955;Apply transformation on a given class byte definition._The method will always return a non-null byte array (if no transformation has taken place_the array content will be identical to the original one)._@param className the full qualified name of the class in dot format (i.e. some.package.SomeClass)_@param bytes class byte definition_@return (possibly transformed) class byte definition;public byte[] transformIfNecessary(String className, byte[] bytes) {_		String internalName = className.replace(".", "/")__		return transformIfNecessary(className, internalName, bytes, null)__	};apply,transformation,on,a,given,class,byte,definition,the,method,will,always,return,a,non,null,byte,array,if,no,transformation,has,taken,place,the,array,content,will,be,identical,to,the,original,one,param,class,name,the,full,qualified,name,of,the,class,in,dot,format,i,e,some,package,some,class,param,bytes,class,byte,definition,return,possibly,transformed,class,byte,definition;public,byte,transform,if,necessary,string,class,name,byte,bytes,string,internal,name,class,name,replace,return,transform,if,necessary,class,name,internal,name,bytes,null
WeavingTransformer -> public byte[] transformIfNecessary(String className, byte[] bytes);1498780456;Apply transformation on a given class byte definition._The method will always return a non-null byte array (if no transformation has taken place_the array content will be identical to the original one)._@param className the full qualified name of the class in dot format (i.e. some.package.SomeClass)_@param bytes class byte definition_@return (possibly transformed) class byte definition;public byte[] transformIfNecessary(String className, byte[] bytes) {_		String internalName = className.replace(".", "/")__		return transformIfNecessary(className, internalName, bytes, null)__	};apply,transformation,on,a,given,class,byte,definition,the,method,will,always,return,a,non,null,byte,array,if,no,transformation,has,taken,place,the,array,content,will,be,identical,to,the,original,one,param,class,name,the,full,qualified,name,of,the,class,in,dot,format,i,e,some,package,some,class,param,bytes,class,byte,definition,return,possibly,transformed,class,byte,definition;public,byte,transform,if,necessary,string,class,name,byte,bytes,string,internal,name,class,name,replace,return,transform,if,necessary,class,name,internal,name,bytes,null
