# id;timestamp;commentText;codeText;commentWords;codeWords
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1524684173;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1525859433;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1526449283;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1528304883;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1531179852;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1533295538;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1535552903;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1538067637;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1539723533;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1539796943;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
NativeUsersStore -> public static String getIdForUser(final String docType, final String userName);1540238977;Gets the document id for the given user and user type (reserved user or regular user).;public static String getIdForUser(final String docType, final String userName) {_        return docType + "-" + userName__    };gets,the,document,id,for,the,given,user,and,user,type,reserved,user,or,regular,user;public,static,string,get,id,for,user,final,string,doc,type,final,string,user,name,return,doc,type,user,name
