# id;timestamp;commentText;codeText;commentWords;codeWords
ClusterPlugin -> default Map<String, Supplier<ClusterState.Custom>> getInitialClusterStateCustomSupplier();1524684173;Returns a map of {@link ClusterState.Custom} supplier that should be invoked to initialize the initial clusterstate._This allows custom clusterstate extensions to be always present and prevents invariants where clusterstates are published_but customs are not initialized.;default Map<String, Supplier<ClusterState.Custom>> getInitialClusterStateCustomSupplier() { return Collections.emptyMap()_ };returns,a,map,of,link,cluster,state,custom,supplier,that,should,be,invoked,to,initialize,the,initial,clusterstate,this,allows,custom,clusterstate,extensions,to,be,always,present,and,prevents,invariants,where,clusterstates,are,published,but,customs,are,not,initialized;default,map,string,supplier,cluster,state,custom,get,initial,cluster,state,custom,supplier,return,collections,empty,map
ClusterPlugin -> default Map<String, Supplier<ClusterState.Custom>> getInitialClusterStateCustomSupplier();1527096592;Returns a map of {@link ClusterState.Custom} supplier that should be invoked to initialize the initial clusterstate._This allows custom clusterstate extensions to be always present and prevents invariants where clusterstates are published_but customs are not initialized.__TODO: Remove this whole concept of InitialClusterStateCustomSupplier, it's not used anymore;default Map<String, Supplier<ClusterState.Custom>> getInitialClusterStateCustomSupplier() { return Collections.emptyMap()_ };returns,a,map,of,link,cluster,state,custom,supplier,that,should,be,invoked,to,initialize,the,initial,clusterstate,this,allows,custom,clusterstate,extensions,to,be,always,present,and,prevents,invariants,where,clusterstates,are,published,but,customs,are,not,initialized,todo,remove,this,whole,concept,of,initial,cluster,state,custom,supplier,it,s,not,used,anymore;default,map,string,supplier,cluster,state,custom,get,initial,cluster,state,custom,supplier,return,collections,empty,map
ClusterPlugin -> default Collection<AllocationDecider> createAllocationDeciders(Settings settings, ClusterSettings clusterSettings);1524684173;Return deciders used to customize where shards are allocated.__@param settings Settings for the node_@param clusterSettings Settings for the cluster_@return Custom {@link AllocationDecider} instances;default Collection<AllocationDecider> createAllocationDeciders(Settings settings, ClusterSettings clusterSettings) {_        return Collections.emptyList()__    };return,deciders,used,to,customize,where,shards,are,allocated,param,settings,settings,for,the,node,param,cluster,settings,settings,for,the,cluster,return,custom,link,allocation,decider,instances;default,collection,allocation,decider,create,allocation,deciders,settings,settings,cluster,settings,cluster,settings,return,collections,empty,list
ClusterPlugin -> default Collection<AllocationDecider> createAllocationDeciders(Settings settings, ClusterSettings clusterSettings);1527096592;Return deciders used to customize where shards are allocated.__@param settings Settings for the node_@param clusterSettings Settings for the cluster_@return Custom {@link AllocationDecider} instances;default Collection<AllocationDecider> createAllocationDeciders(Settings settings, ClusterSettings clusterSettings) {_        return Collections.emptyList()__    };return,deciders,used,to,customize,where,shards,are,allocated,param,settings,settings,for,the,node,param,cluster,settings,settings,for,the,cluster,return,custom,link,allocation,decider,instances;default,collection,allocation,decider,create,allocation,deciders,settings,settings,cluster,settings,cluster,settings,return,collections,empty,list
ClusterPlugin -> default Collection<AllocationDecider> createAllocationDeciders(Settings settings, ClusterSettings clusterSettings);1533230566;Return deciders used to customize where shards are allocated.__@param settings Settings for the node_@param clusterSettings Settings for the cluster_@return Custom {@link AllocationDecider} instances;default Collection<AllocationDecider> createAllocationDeciders(Settings settings, ClusterSettings clusterSettings) {_        return Collections.emptyList()__    };return,deciders,used,to,customize,where,shards,are,allocated,param,settings,settings,for,the,node,param,cluster,settings,settings,for,the,cluster,return,custom,link,allocation,decider,instances;default,collection,allocation,decider,create,allocation,deciders,settings,settings,cluster,settings,cluster,settings,return,collections,empty,list
ClusterPlugin -> default void onNodeStarted();1524684173;Called when the node is started;default void onNodeStarted() {_    };called,when,the,node,is,started;default,void,on,node,started
ClusterPlugin -> default void onNodeStarted();1527096592;Called when the node is started;default void onNodeStarted() {_    };called,when,the,node,is,started;default,void,on,node,started
ClusterPlugin -> default void onNodeStarted();1533230566;Called when the node is started;default void onNodeStarted() {_    };called,when,the,node,is,started;default,void,on,node,started
ClusterPlugin -> default Map<String, Supplier<ShardsAllocator>> getShardsAllocators(Settings settings, ClusterSettings clusterSettings);1524684173;Return {@link ShardsAllocator} implementations added by this plugin.__The key of the returned {@link Map} is the name of the allocator, and the value_is a function to construct the allocator.__@param settings Settings for the node_@param clusterSettings Settings for the cluster_@return A map of allocator implementations;default Map<String, Supplier<ShardsAllocator>> getShardsAllocators(Settings settings, ClusterSettings clusterSettings) {_        return Collections.emptyMap()__    };return,link,shards,allocator,implementations,added,by,this,plugin,the,key,of,the,returned,link,map,is,the,name,of,the,allocator,and,the,value,is,a,function,to,construct,the,allocator,param,settings,settings,for,the,node,param,cluster,settings,settings,for,the,cluster,return,a,map,of,allocator,implementations;default,map,string,supplier,shards,allocator,get,shards,allocators,settings,settings,cluster,settings,cluster,settings,return,collections,empty,map
ClusterPlugin -> default Map<String, Supplier<ShardsAllocator>> getShardsAllocators(Settings settings, ClusterSettings clusterSettings);1527096592;Return {@link ShardsAllocator} implementations added by this plugin.__The key of the returned {@link Map} is the name of the allocator, and the value_is a function to construct the allocator.__@param settings Settings for the node_@param clusterSettings Settings for the cluster_@return A map of allocator implementations;default Map<String, Supplier<ShardsAllocator>> getShardsAllocators(Settings settings, ClusterSettings clusterSettings) {_        return Collections.emptyMap()__    };return,link,shards,allocator,implementations,added,by,this,plugin,the,key,of,the,returned,link,map,is,the,name,of,the,allocator,and,the,value,is,a,function,to,construct,the,allocator,param,settings,settings,for,the,node,param,cluster,settings,settings,for,the,cluster,return,a,map,of,allocator,implementations;default,map,string,supplier,shards,allocator,get,shards,allocators,settings,settings,cluster,settings,cluster,settings,return,collections,empty,map
ClusterPlugin -> default Map<String, Supplier<ShardsAllocator>> getShardsAllocators(Settings settings, ClusterSettings clusterSettings);1533230566;Return {@link ShardsAllocator} implementations added by this plugin.__The key of the returned {@link Map} is the name of the allocator, and the value_is a function to construct the allocator.__@param settings Settings for the node_@param clusterSettings Settings for the cluster_@return A map of allocator implementations;default Map<String, Supplier<ShardsAllocator>> getShardsAllocators(Settings settings, ClusterSettings clusterSettings) {_        return Collections.emptyMap()__    };return,link,shards,allocator,implementations,added,by,this,plugin,the,key,of,the,returned,link,map,is,the,name,of,the,allocator,and,the,value,is,a,function,to,construct,the,allocator,param,settings,settings,for,the,node,param,cluster,settings,settings,for,the,cluster,return,a,map,of,allocator,implementations;default,map,string,supplier,shards,allocator,get,shards,allocators,settings,settings,cluster,settings,cluster,settings,return,collections,empty,map
