# id;timestamp;commentText;codeText;commentWords;codeWords
GoogleBigQueryComponent -> public void setDatasetId(String datasetId);1504943497;BigQuery Dataset Id;public void setDatasetId(String datasetId) {_        this.datasetId = datasetId__    };big,query,dataset,id;public,void,set,dataset,id,string,dataset,id,this,dataset,id,dataset,id
GoogleBigQueryComponent -> public void setDatasetId(String datasetId);1540108158;BigQuery Dataset Id;public void setDatasetId(String datasetId) {_        this.datasetId = datasetId__    };big,query,dataset,id;public,void,set,dataset,id,string,dataset,id,this,dataset,id,dataset,id
GoogleBigQueryComponent -> public void setDatasetId(String datasetId);1540108163;BigQuery Dataset Id;public void setDatasetId(String datasetId) {_        this.datasetId = datasetId__    };big,query,dataset,id;public,void,set,dataset,id,string,dataset,id,this,dataset,id,dataset,id
GoogleBigQueryComponent -> public void setDatasetId(String datasetId);1547241305;BigQuery Dataset Id;public void setDatasetId(String datasetId) {_        this.datasetId = datasetId__    };big,query,dataset,id;public,void,set,dataset,id,string,dataset,id,this,dataset,id,dataset,id
GoogleBigQueryComponent -> public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory);1504943497;ConnectionFactory to obtain connection to Bigquery Service. If non provided the default one will be used;public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory) {_        this.connectionFactory = connectionFactory__    };connection,factory,to,obtain,connection,to,bigquery,service,if,non,provided,the,default,one,will,be,used;public,void,set,connection,factory,google,big,query,connection,factory,connection,factory,this,connection,factory,connection,factory
GoogleBigQueryComponent -> public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory);1540108158;ConnectionFactory to obtain connection to Bigquery Service. If non provided the default one will be used;public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory) {_        this.connectionFactory = connectionFactory__    };connection,factory,to,obtain,connection,to,bigquery,service,if,non,provided,the,default,one,will,be,used;public,void,set,connection,factory,google,big,query,connection,factory,connection,factory,this,connection,factory,connection,factory
GoogleBigQueryComponent -> public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory);1540108163;ConnectionFactory to obtain connection to Bigquery Service. If non provided the default one will be used;public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory) {_        this.connectionFactory = connectionFactory__    };connection,factory,to,obtain,connection,to,bigquery,service,if,non,provided,the,default,one,will,be,used;public,void,set,connection,factory,google,big,query,connection,factory,connection,factory,this,connection,factory,connection,factory
GoogleBigQueryComponent -> public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory);1547241305;ConnectionFactory to obtain connection to Bigquery Service. If non provided the default one will be used;public void setConnectionFactory(GoogleBigQueryConnectionFactory connectionFactory) {_        this.connectionFactory = connectionFactory__    };connection,factory,to,obtain,connection,to,bigquery,service,if,non,provided,the,default,one,will,be,used;public,void,set,connection,factory,google,big,query,connection,factory,connection,factory,this,connection,factory,connection,factory
GoogleBigQueryComponent -> public GoogleBigQueryConnectionFactory getConnectionFactory();1501835186;Sets the connection factory to use:_provides the ability to explicitly manage connection credentials:_- the path to the key file_- the Service Account Key / Email pair;public GoogleBigQueryConnectionFactory getConnectionFactory() {_        if (connectionFactory == null) {_            connectionFactory = new GoogleBigQueryConnectionFactory()__        }_        return connectionFactory__    };sets,the,connection,factory,to,use,provides,the,ability,to,explicitly,manage,connection,credentials,the,path,to,the,key,file,the,service,account,key,email,pair;public,google,big,query,connection,factory,get,connection,factory,if,connection,factory,null,connection,factory,new,google,big,query,connection,factory,return,connection,factory
GoogleBigQueryComponent -> public GoogleBigQueryConnectionFactory getConnectionFactory();1501835187;Sets the connection factory to use:_provides the ability to explicitly manage connection credentials:_- the path to the key file_- the Service Account Key / Email pair;public GoogleBigQueryConnectionFactory getConnectionFactory() {_        if (connectionFactory == null) {_            connectionFactory = new GoogleBigQueryConnectionFactory()__        }_        return connectionFactory__    };sets,the,connection,factory,to,use,provides,the,ability,to,explicitly,manage,connection,credentials,the,path,to,the,key,file,the,service,account,key,email,pair;public,google,big,query,connection,factory,get,connection,factory,if,connection,factory,null,connection,factory,new,google,big,query,connection,factory,return,connection,factory
GoogleBigQueryComponent -> public void setProjectId(String projectId);1504943497;Google Cloud Project Id;public void setProjectId(String projectId) {_        this.projectId = projectId__    };google,cloud,project,id;public,void,set,project,id,string,project,id,this,project,id,project,id
GoogleBigQueryComponent -> public void setProjectId(String projectId);1540108158;Google Cloud Project Id;public void setProjectId(String projectId) {_        this.projectId = projectId__    };google,cloud,project,id;public,void,set,project,id,string,project,id,this,project,id,project,id
GoogleBigQueryComponent -> public void setProjectId(String projectId);1540108163;Google Cloud Project Id;public void setProjectId(String projectId) {_        this.projectId = projectId__    };google,cloud,project,id;public,void,set,project,id,string,project,id,this,project,id,project,id
GoogleBigQueryComponent -> public void setProjectId(String projectId);1547241305;Google Cloud Project Id;public void setProjectId(String projectId) {_        this.projectId = projectId__    };google,cloud,project,id;public,void,set,project,id,string,project,id,this,project,id,project,id
