# id;timestamp;commentText;codeText;commentWords;codeWords
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1386297052;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.support.converter.MessageConverter},_wrap it as a message and send it to a default destination.__@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,support,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1386350678;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message and send it to a default destination._@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1400489173;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message and send it to a default destination._@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1427240641;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message and send it to a default destination._@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1496259743;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message and send it to a default destination._@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1508532146;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message and send it to a default destination._@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload) throws MessagingException_;1530174524;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message and send it to a default destination._@param payload the Object to use as payload;void convertAndSend(Object payload) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,and,send,it,to,a,default,destination,param,payload,the,object,to,use,as,payload;void,convert,and,send,object,payload,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload, @Nullable MessagePostProcessor postProcessor) throws MessagingException_;1496259743;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message, apply the given post processor, and send_the resulting message to a default destination._@param payload the Object to use as payload_@param postProcessor the post processor to apply to the message;void convertAndSend(Object payload, @Nullable MessagePostProcessor postProcessor) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,apply,the,given,post,processor,and,send,the,resulting,message,to,a,default,destination,param,payload,the,object,to,use,as,payload,param,post,processor,the,post,processor,to,apply,to,the,message;void,convert,and,send,object,payload,nullable,message,post,processor,post,processor,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload, @Nullable MessagePostProcessor postProcessor) throws MessagingException_;1508532146;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message, apply the given post processor, and send_the resulting message to a default destination._@param payload the Object to use as payload_@param postProcessor the post processor to apply to the message;void convertAndSend(Object payload, @Nullable MessagePostProcessor postProcessor) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,apply,the,given,post,processor,and,send,the,resulting,message,to,a,default,destination,param,payload,the,object,to,use,as,payload,param,post,processor,the,post,processor,to,apply,to,the,message;void,convert,and,send,object,payload,nullable,message,post,processor,post,processor,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(Object payload, @Nullable MessagePostProcessor postProcessor) throws MessagingException_;1530174524;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.converter.MessageConverter},_wrap it as a message, apply the given post processor, and send_the resulting message to a default destination._@param payload the Object to use as payload_@param postProcessor the post processor to apply to the message;void convertAndSend(Object payload, @Nullable MessagePostProcessor postProcessor) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,converter,message,converter,wrap,it,as,a,message,apply,the,given,post,processor,and,send,the,resulting,message,to,a,default,destination,param,payload,the,object,to,use,as,payload,param,post,processor,the,post,processor,to,apply,to,the,message;void,convert,and,send,object,payload,nullable,message,post,processor,post,processor,throws,messaging,exception
MessageSendingOperations -> void convertAndSend(D destination, Object payload, MessagePostProcessor postProcessor) throws MessagingException_;1386297052;Convert the given Object to serialized form, possibly using a_{@link org.springframework.messaging.support.converter.MessageConverter},_wrap it as a message, apply the given post processor, and send_the resulting message to the given destination.__@param destination the target destination_@param payload the Object to use as payload_@param postProcessor the post processor to apply to the message;void convertAndSend(D destination, Object payload, MessagePostProcessor postProcessor) throws MessagingException_;convert,the,given,object,to,serialized,form,possibly,using,a,link,org,springframework,messaging,support,converter,message,converter,wrap,it,as,a,message,apply,the,given,post,processor,and,send,the,resulting,message,to,the,given,destination,param,destination,the,target,destination,param,payload,the,object,to,use,as,payload,param,post,processor,the,post,processor,to,apply,to,the,message;void,convert,and,send,d,destination,object,payload,message,post,processor,post,processor,throws,messaging,exception
