# id;timestamp;commentText;codeText;commentWords;codeWords
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1367865989;Create a new {@link BinaryMessage} instance._@param payload a non-null payload;public BinaryMessage(ByteBuffer payload) {_		this(payload, true)__	};create,a,new,link,binary,message,instance,param,payload,a,non,null,payload;public,binary,message,byte,buffer,payload,this,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1368556345;Create a new {@link BinaryMessage} instance._@param payload a non-null payload_@param isLast if the message is the last of a series of partial messages;public BinaryMessage(ByteBuffer payload) {_		super(payload)__		this.bytes = null__	};create,a,new,link,binary,message,instance,param,payload,a,non,null,payload,param,is,last,if,the,message,is,the,last,of,a,series,of,partial,messages;public,binary,message,byte,buffer,payload,super,payload,this,bytes,null
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1368564107;Create a new {@link BinaryMessage} instance._@param payload a non-null payload_@param isLast if the message is the last of a series of partial messages;public BinaryMessage(ByteBuffer payload) {_		super(payload)__		this.bytes = null__	};create,a,new,link,binary,message,instance,param,payload,a,non,null,payload,param,is,last,if,the,message,is,the,last,of,a,series,of,partial,messages;public,binary,message,byte,buffer,payload,super,payload,this,bytes,null
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1368721060;Create a new {@link BinaryMessage} instance._@param payload a non-null payload;public BinaryMessage(ByteBuffer payload) {_		this(payload, true)__	};create,a,new,link,binary,message,instance,param,payload,a,non,null,payload;public,binary,message,byte,buffer,payload,this,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1369942122;Create a new {@link BinaryMessage} instance._@param payload a non-null payload;public BinaryMessage(ByteBuffer payload) {_		this(payload, true)__	};create,a,new,link,binary,message,instance,param,payload,a,non,null,payload;public,binary,message,byte,buffer,payload,this,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1372363092;Create a new {@link BinaryMessage} instance._@param payload a non-null payload;public BinaryMessage(ByteBuffer payload) {_		this(payload, true)__	};create,a,new,link,binary,message,instance,param,payload,a,non,null,payload;public,binary,message,byte,buffer,payload,this,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1377803463;Create a new {@link BinaryMessage} instance._@param payload the non-null payload;public BinaryMessage(ByteBuffer payload) {_		this(payload, true)__	};create,a,new,link,binary,message,instance,param,payload,the,non,null,payload;public,binary,message,byte,buffer,payload,this,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1383097069;Create a new binary WebSocket message with the given ByteBuffer payload.__@param payload the non-null payload;public BinaryMessage(ByteBuffer payload) {_		super(payload, true)__	};create,a,new,binary,web,socket,message,with,the,given,byte,buffer,payload,param,payload,the,non,null,payload;public,binary,message,byte,buffer,payload,super,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1385507478;Create a new binary WebSocket message with the given ByteBuffer payload._@param payload the non-null payload;public BinaryMessage(ByteBuffer payload) {_		super(payload, true)__	};create,a,new,binary,web,socket,message,with,the,given,byte,buffer,payload,param,payload,the,non,null,payload;public,binary,message,byte,buffer,payload,super,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1395364758;Create a new binary WebSocket message with the given ByteBuffer payload._@param payload the non-null payload;public BinaryMessage(ByteBuffer payload) {_		super(payload, true)__	};create,a,new,binary,web,socket,message,with,the,given,byte,buffer,payload,param,payload,the,non,null,payload;public,binary,message,byte,buffer,payload,super,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1412681738;Create a new binary WebSocket message with the given ByteBuffer payload._@param payload the non-null payload;public BinaryMessage(ByteBuffer payload) {_		super(payload, true)__	};create,a,new,binary,web,socket,message,with,the,given,byte,buffer,payload,param,payload,the,non,null,payload;public,binary,message,byte,buffer,payload,super,payload,true
BinaryMessage -> public BinaryMessage(ByteBuffer payload);1496837955;Create a new binary WebSocket message with the given ByteBuffer payload._@param payload the non-null payload;public BinaryMessage(ByteBuffer payload) {_		super(payload, true)__	};create,a,new,binary,web,socket,message,with,the,given,byte,buffer,payload,param,payload,the,non,null,payload;public,binary,message,byte,buffer,payload,super,payload,true
BinaryMessage -> public BinaryMessage(byte[] payload, int offset, int len, boolean isLast);1367865989;Create a new {@link BinaryMessage} instance by wrapping an existing byte array._@param payload a non-null payload, NOTE: this value is not copied so care must be_taken not to modify the array._@param offset the offet into the array where the payload starts_@param len the length of the array considered for the payload_@param isLast if the message is the last of a series of partial messages;public BinaryMessage(byte[] payload, int offset, int len, boolean isLast) {_		super(payload != null ? ByteBuffer.wrap(payload, offset, len) : null)__		if(offset == 0 && len == payload.length) {_			this.bytes = payload__		}_		this.last = isLast__	};create,a,new,link,binary,message,instance,by,wrapping,an,existing,byte,array,param,payload,a,non,null,payload,note,this,value,is,not,copied,so,care,must,be,taken,not,to,modify,the,array,param,offset,the,offet,into,the,array,where,the,payload,starts,param,len,the,length,of,the,array,considered,for,the,payload,param,is,last,if,the,message,is,the,last,of,a,series,of,partial,messages;public,binary,message,byte,payload,int,offset,int,len,boolean,is,last,super,payload,null,byte,buffer,wrap,payload,offset,len,null,if,offset,0,len,payload,length,this,bytes,payload,this,last,is,last
BinaryMessage -> public BinaryMessage(byte[] payload, int offset, int len, boolean isLast);1368721060;Create a new {@link BinaryMessage} instance by wrapping an existing byte array._@param payload a non-null payload, NOTE: this value is not copied so care must be_taken not to modify the array._@param offset the offet into the array where the payload starts_@param len the length of the array considered for the payload_@param isLast if the message is the last of a series of partial messages;public BinaryMessage(byte[] payload, int offset, int len, boolean isLast) {_		super(payload != null ? ByteBuffer.wrap(payload, offset, len) : null, isLast)__		if(offset == 0 && len == payload.length) {_			this.bytes = payload__		}_	};create,a,new,link,binary,message,instance,by,wrapping,an,existing,byte,array,param,payload,a,non,null,payload,note,this,value,is,not,copied,so,care,must,be,taken,not,to,modify,the,array,param,offset,the,offet,into,the,array,where,the,payload,starts,param,len,the,length,of,the,array,considered,for,the,payload,param,is,last,if,the,message,is,the,last,of,a,series,of,partial,messages;public,binary,message,byte,payload,int,offset,int,len,boolean,is,last,super,payload,null,byte,buffer,wrap,payload,offset,len,null,is,last,if,offset,0,len,payload,length,this,bytes,payload
BinaryMessage -> public BinaryMessage(byte[] payload, int offset, int len, boolean isLast);1369942122;Create a new {@link BinaryMessage} instance by wrapping an existing byte array._@param payload a non-null payload, NOTE: this value is not copied so care must be_taken not to modify the array._@param offset the offet into the array where the payload starts_@param len the length of the array considered for the payload_@param isLast if the message is the last of a series of partial messages;public BinaryMessage(byte[] payload, int offset, int len, boolean isLast) {_		super(payload != null ? ByteBuffer.wrap(payload, offset, len) : null, isLast)__		if(offset == 0 && len == payload.length) {_			this.bytes = payload__		}_	};create,a,new,link,binary,message,instance,by,wrapping,an,existing,byte,array,param,payload,a,non,null,payload,note,this,value,is,not,copied,so,care,must,be,taken,not,to,modify,the,array,param,offset,the,offet,into,the,array,where,the,payload,starts,param,len,the,length,of,the,array,considered,for,the,payload,param,is,last,if,the,message,is,the,last,of,a,series,of,partial,messages;public,binary,message,byte,payload,int,offset,int,len,boolean,is,last,super,payload,null,byte,buffer,wrap,payload,offset,len,null,is,last,if,offset,0,len,payload,length,this,bytes,payload
