# id;timestamp;commentText;codeText;commentWords;codeWords
GetJobStatsRequest -> public List<String> getJobIds();1535965276;All the jobIds for which to get statistics;public List<String> getJobIds() {_        return jobIds__    };all,the,job,ids,for,which,to,get,statistics;public,list,string,get,job,ids,return,job,ids
GetJobStatsRequest -> public List<String> getJobIds();1537202470;All the jobIds for which to get statistics;public List<String> getJobIds() {_        return jobIds__    };all,the,job,ids,for,which,to,get,statistics;public,list,string,get,job,ids,return,job,ids
GetJobStatsRequest -> public List<String> getJobIds();1540238977;All the jobIds for which to get statistics;public List<String> getJobIds() {_        return jobIds__    };all,the,job,ids,for,which,to,get,statistics;public,list,string,get,job,ids,return,job,ids
GetJobStatsRequest -> public static GetJobStatsRequest getAllJobStatsRequest();1535965276;Explicitly gets all jobs statistics__@return a {@link GetJobStatsRequest} for all existing jobs;public static GetJobStatsRequest getAllJobStatsRequest(){_        return new GetJobStatsRequest(ALL_JOBS)__    };explicitly,gets,all,jobs,statistics,return,a,link,get,job,stats,request,for,all,existing,jobs;public,static,get,job,stats,request,get,all,job,stats,request,return,new,get,job,stats,request
GetJobStatsRequest -> public static GetJobStatsRequest getAllJobStatsRequest();1537202470;Explicitly gets all jobs statistics__@return a {@link GetJobStatsRequest} for all existing jobs;public static GetJobStatsRequest getAllJobStatsRequest(){_        return new GetJobStatsRequest(ALL_JOBS)__    };explicitly,gets,all,jobs,statistics,return,a,link,get,job,stats,request,for,all,existing,jobs;public,static,get,job,stats,request,get,all,job,stats,request,return,new,get,job,stats,request
GetJobStatsRequest -> public static GetJobStatsRequest getAllJobStatsRequest();1540238977;Explicitly gets all jobs statistics__@return a {@link GetJobStatsRequest} for all existing jobs;public static GetJobStatsRequest getAllJobStatsRequest(){_        return new GetJobStatsRequest(ALL_JOBS)__    };explicitly,gets,all,jobs,statistics,return,a,link,get,job,stats,request,for,all,existing,jobs;public,static,get,job,stats,request,get,all,job,stats,request,return,new,get,job,stats,request
GetJobStatsRequest -> public GetJobStatsRequest(String... jobIds);1535965276;Get the specified Job's statistics via their unique jobIds__@param jobIds must be non-null and each jobId must be non-null;public GetJobStatsRequest(String... jobIds) {_        this(Arrays.asList(jobIds))__    };get,the,specified,job,s,statistics,via,their,unique,job,ids,param,job,ids,must,be,non,null,and,each,job,id,must,be,non,null;public,get,job,stats,request,string,job,ids,this,arrays,as,list,job,ids
GetJobStatsRequest -> public GetJobStatsRequest(String... jobIds);1537202470;Get the specified Job's statistics via their unique jobIds__@param jobIds must be non-null and each jobId must be non-null;public GetJobStatsRequest(String... jobIds) {_        this(Arrays.asList(jobIds))__    };get,the,specified,job,s,statistics,via,their,unique,job,ids,param,job,ids,must,be,non,null,and,each,job,id,must,be,non,null;public,get,job,stats,request,string,job,ids,this,arrays,as,list,job,ids
GetJobStatsRequest -> public GetJobStatsRequest(String... jobIds);1540238977;Get the specified Job's statistics via their unique jobIds__@param jobIds must be non-null and each jobId must be non-null;public GetJobStatsRequest(String... jobIds) {_        this(Arrays.asList(jobIds))__    };get,the,specified,job,s,statistics,via,their,unique,job,ids,param,job,ids,must,be,non,null,and,each,job,id,must,be,non,null;public,get,job,stats,request,string,job,ids,this,arrays,as,list,job,ids
GetJobStatsRequest -> public void setAllowNoJobs(boolean allowNoJobs);1535965276;Whether to ignore if a wildcard expression matches no jobs.__This includes `_all` string or when no jobs have been specified__@param allowNoJobs When {@code true} ignore if wildcard or `_all` matches no jobs. Defaults to {@code true};public void setAllowNoJobs(boolean allowNoJobs) {_        this.allowNoJobs = allowNoJobs__    };whether,to,ignore,if,a,wildcard,expression,matches,no,jobs,this,includes,string,or,when,no,jobs,have,been,specified,param,allow,no,jobs,when,code,true,ignore,if,wildcard,or,matches,no,jobs,defaults,to,code,true;public,void,set,allow,no,jobs,boolean,allow,no,jobs,this,allow,no,jobs,allow,no,jobs
GetJobStatsRequest -> public void setAllowNoJobs(boolean allowNoJobs);1537202470;Whether to ignore if a wildcard expression matches no jobs.__This includes {@code _all} string or when no jobs have been specified__@param allowNoJobs When {@code true} ignore if wildcard or {@code _all} matches no jobs. Defaults to {@code true};public void setAllowNoJobs(boolean allowNoJobs) {_        this.allowNoJobs = allowNoJobs__    };whether,to,ignore,if,a,wildcard,expression,matches,no,jobs,this,includes,code,string,or,when,no,jobs,have,been,specified,param,allow,no,jobs,when,code,true,ignore,if,wildcard,or,code,matches,no,jobs,defaults,to,code,true;public,void,set,allow,no,jobs,boolean,allow,no,jobs,this,allow,no,jobs,allow,no,jobs
GetJobStatsRequest -> public void setAllowNoJobs(boolean allowNoJobs);1540238977;Whether to ignore if a wildcard expression matches no jobs.__This includes {@code _all} string or when no jobs have been specified__@param allowNoJobs When {@code true} ignore if wildcard or {@code _all} matches no jobs. Defaults to {@code true};public void setAllowNoJobs(boolean allowNoJobs) {_        this.allowNoJobs = allowNoJobs__    };whether,to,ignore,if,a,wildcard,expression,matches,no,jobs,this,includes,code,string,or,when,no,jobs,have,been,specified,param,allow,no,jobs,when,code,true,ignore,if,wildcard,or,code,matches,no,jobs,defaults,to,code,true;public,void,set,allow,no,jobs,boolean,allow,no,jobs,this,allow,no,jobs,allow,no,jobs
