# id;timestamp;commentText;codeText;commentWords;codeWords
Engine -> Result -> public Translog.Location getTranslogLocation();1524684173;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1525162917;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1525334055;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1527583663;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1528706846;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1528762805;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1531910483;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1532685069;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1533295538;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1535046779;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1535723122;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
Engine -> Result -> public Translog.Location getTranslogLocation();1535965276;get the translog location after executing the operation;public Translog.Location getTranslogLocation() {_            return translogLocation__        };get,the,translog,location,after,executing,the,operation;public,translog,location,get,translog,location,return,translog,location
