# id;timestamp;commentText;codeText;commentWords;codeWords
FutureAdapter -> @Nullable 	protected abstract T adapt(S adapteeResult) throws ExecutionException_;1496837955;Adapts the given adaptee's result into T._@return the adapted result;@Nullable_	protected abstract T adapt(S adapteeResult) throws ExecutionException_;adapts,the,given,adaptee,s,result,into,t,return,the,adapted,result;nullable,protected,abstract,t,adapt,s,adaptee,result,throws,execution,exception
FutureAdapter -> @Nullable 	protected abstract T adapt(S adapteeResult) throws ExecutionException_;1498780456;Adapts the given adaptee's result into T._@return the adapted result;@Nullable_	protected abstract T adapt(S adapteeResult) throws ExecutionException_;adapts,the,given,adaptee,s,result,into,t,return,the,adapted,result;nullable,protected,abstract,t,adapt,s,adaptee,result,throws,execution,exception
FutureAdapter -> @Nullable 	protected abstract T adapt(S adapteeResult) throws ExecutionException_;1506097334;Adapts the given adaptee's result into T._@return the adapted result;@Nullable_	protected abstract T adapt(S adapteeResult) throws ExecutionException_;adapts,the,given,adaptee,s,result,into,t,return,the,adapted,result;nullable,protected,abstract,t,adapt,s,adaptee,result,throws,execution,exception
FutureAdapter -> protected Future<S> getAdaptee();1378298362;Returns the adaptee.;protected Future<S> getAdaptee() {_		return adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1385501137;Returns the adaptee.;protected Future<S> getAdaptee() {_		return adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1405696918;Returns the adaptee.;protected Future<S> getAdaptee() {_		return adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1428663135;Returns the adaptee.;protected Future<S> getAdaptee() {_		return adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1441035112;Returns the adaptee.;protected Future<S> getAdaptee() {_		return this.adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,this,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1467811755;Returns the adaptee.;protected Future<S> getAdaptee() {_		return this.adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,this,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1496837955;Returns the adaptee.;protected Future<S> getAdaptee() {_		return this.adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,this,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1498780456;Returns the adaptee.;protected Future<S> getAdaptee() {_		return this.adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,this,adaptee
FutureAdapter -> protected Future<S> getAdaptee();1506097334;Returns the adaptee.;protected Future<S> getAdaptee() {_		return this.adaptee__	};returns,the,adaptee;protected,future,s,get,adaptee,return,this,adaptee
FutureAdapter -> protected FutureAdapter(Future<S> adaptee);1378298362;Constructs a new {@code FutureAdapter} with the given adaptee._@param adaptee the future to delegate to;protected FutureAdapter(Future<S> adaptee) {_		Assert.notNull(adaptee, "'delegate' must not be null")__		this.adaptee = adaptee__	};constructs,a,new,code,future,adapter,with,the,given,adaptee,param,adaptee,the,future,to,delegate,to;protected,future,adapter,future,s,adaptee,assert,not,null,adaptee,delegate,must,not,be,null,this,adaptee,adaptee
FutureAdapter -> protected FutureAdapter(Future<S> adaptee);1385501137;Constructs a new {@code FutureAdapter} with the given adaptee._@param adaptee the future to delegate to;protected FutureAdapter(Future<S> adaptee) {_		Assert.notNull(adaptee, "'delegate' must not be null")__		this.adaptee = adaptee__	};constructs,a,new,code,future,adapter,with,the,given,adaptee,param,adaptee,the,future,to,delegate,to;protected,future,adapter,future,s,adaptee,assert,not,null,adaptee,delegate,must,not,be,null,this,adaptee,adaptee
FutureAdapter -> protected FutureAdapter(Future<S> adaptee);1405696918;Constructs a new {@code FutureAdapter} with the given adaptee._@param adaptee the future to delegate to;protected FutureAdapter(Future<S> adaptee) {_		Assert.notNull(adaptee, "'delegate' must not be null")__		this.adaptee = adaptee__	};constructs,a,new,code,future,adapter,with,the,given,adaptee,param,adaptee,the,future,to,delegate,to;protected,future,adapter,future,s,adaptee,assert,not,null,adaptee,delegate,must,not,be,null,this,adaptee,adaptee
FutureAdapter -> protected FutureAdapter(Future<S> adaptee);1428663135;Constructs a new {@code FutureAdapter} with the given adaptee._@param adaptee the future to delegate to;protected FutureAdapter(Future<S> adaptee) {_		Assert.notNull(adaptee, "'delegate' must not be null")__		this.adaptee = adaptee__	};constructs,a,new,code,future,adapter,with,the,given,adaptee,param,adaptee,the,future,to,delegate,to;protected,future,adapter,future,s,adaptee,assert,not,null,adaptee,delegate,must,not,be,null,this,adaptee,adaptee
FutureAdapter -> protected FutureAdapter(Future<S> adaptee);1441035112;Constructs a new {@code FutureAdapter} with the given adaptee._@param adaptee the future to delegate to;protected FutureAdapter(Future<S> adaptee) {_		Assert.notNull(adaptee, "'delegate' must not be null")__		this.adaptee = adaptee__	};constructs,a,new,code,future,adapter,with,the,given,adaptee,param,adaptee,the,future,to,delegate,to;protected,future,adapter,future,s,adaptee,assert,not,null,adaptee,delegate,must,not,be,null,this,adaptee,adaptee
FutureAdapter -> protected FutureAdapter(Future<S> adaptee);1467811755;Constructs a new {@code FutureAdapter} with the given adaptee._@param adaptee the future to delegate to;protected FutureAdapter(Future<S> adaptee) {_		Assert.notNull(adaptee, "'delegate' must not be null")__		this.adaptee = adaptee__	};constructs,a,new,code,future,adapter,with,the,given,adaptee,param,adaptee,the,future,to,delegate,to;protected,future,adapter,future,s,adaptee,assert,not,null,adaptee,delegate,must,not,be,null,this,adaptee,adaptee
