# id;timestamp;commentText;codeText;commentWords;codeWords
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1462819376;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1463493767;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1464172872;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1464173021;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1464291269;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1469452167;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1472831588;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1487885205;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1488305420;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1492096511;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism);1495653033;Override the parallelism of operators processing small amounts of data.__@param littleParallelism operator parallelism_@return this;public TriangleListing<K, VV, EV> setLittleParallelism(int littleParallelism) {_		Preconditions.checkArgument(littleParallelism > 0 || littleParallelism == PARALLELISM_DEFAULT,_			"The parallelism must be greater than zero.")___		this.littleParallelism = littleParallelism___		return this__	};override,the,parallelism,of,operators,processing,small,amounts,of,data,param,little,parallelism,operator,parallelism,return,this;public,triangle,listing,k,vv,ev,set,little,parallelism,int,little,parallelism,preconditions,check,argument,little,parallelism,0,little,parallelism,the,parallelism,must,be,greater,than,zero,this,little,parallelism,little,parallelism,return,this
TriangleListing -> Result -> public String toPrintableString();1488305420;Format values into a human-readable string.__@return verbose string;public String toPrintableString() {_			return "1st vertex ID: " + getVertexId0()_				+ ", 2nd vertex ID: " + getVertexId1()_				+ ", 3rd vertex ID: " + getVertexId2()__		};format,values,into,a,human,readable,string,return,verbose,string;public,string,to,printable,string,return,1st,vertex,id,get,vertex,id0,2nd,vertex,id,get,vertex,id1,3rd,vertex,id,get,vertex,id2
TriangleListing -> Result -> public String toPrintableString();1492096511;Format values into a human-readable string.__@return verbose string;public String toPrintableString() {_			return "1st vertex ID: " + getVertexId0()_				+ ", 2nd vertex ID: " + getVertexId1()_				+ ", 3rd vertex ID: " + getVertexId2()__		};format,values,into,a,human,readable,string,return,verbose,string;public,string,to,printable,string,return,1st,vertex,id,get,vertex,id0,2nd,vertex,id,get,vertex,id1,3rd,vertex,id,get,vertex,id2
TriangleListing -> Result -> public String toPrintableString();1495653033;Format values into a human-readable string.__@return verbose string;public String toPrintableString() {_			return "1st vertex ID: " + getVertexId0()_				+ ", 2nd vertex ID: " + getVertexId1()_				+ ", 3rd vertex ID: " + getVertexId2()__		};format,values,into,a,human,readable,string,return,verbose,string;public,string,to,printable,string,return,1st,vertex,id,get,vertex,id0,2nd,vertex,id,get,vertex,id1,3rd,vertex,id,get,vertex,id2
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1462819376;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices = sortTriangleVertices___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1463493767;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices = sortTriangleVertices___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1464172872;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices = sortTriangleVertices___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1464173021;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1464291269;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices = sortTriangleVertices___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1469452167;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1472831588;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1487885205;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1488305420;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1492096511;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
TriangleListing -> public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices);1495653033;Normalize the triangle listing such that for each result (K0, K1, K2)_the vertex IDs are sorted K0 < K1 < K2.__@param sortTriangleVertices whether to output each triangle's vertices in sorted order_@return this;public TriangleListing<K, VV, EV> setSortTriangleVertices(boolean sortTriangleVertices) {_		this.sortTriangleVertices.set(sortTriangleVertices)___		return this__	};normalize,the,triangle,listing,such,that,for,each,result,k0,k1,k2,the,vertex,ids,are,sorted,k0,k1,k2,param,sort,triangle,vertices,whether,to,output,each,triangle,s,vertices,in,sorted,order,return,this;public,triangle,listing,k,vv,ev,set,sort,triangle,vertices,boolean,sort,triangle,vertices,this,sort,triangle,vertices,set,sort,triangle,vertices,return,this
