# id;timestamp;commentText;codeText;commentWords;codeWords
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1377627757;Shutdown hook that closes the underlying_{@link org.apache.http.conn.ClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		getHttpClient().getConnectionManager().shutdown()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,get,http,client,get,connection,manager,shutdown
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1377782656;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1383229571;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        this.httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1383232235;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        this.httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1391439900;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        this.httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1394111906;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        this.httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1394469729;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        this.httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1394472663;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_        this.httpClient.close()__    };shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1412780546;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		this.httpClient.close()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1414442939;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		this.httpClient.close()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
HttpComponentsClientHttpRequestFactory -> @Override 	public void destroy() throws Exception;1419262267;Shutdown hook that closes the underlying_{@link org.apache.http.conn.HttpClientConnectionManager ClientConnectionManager}'s_connection pool, if any.;@Override_	public void destroy() throws Exception {_		this.httpClient.close()__	};shutdown,hook,that,closes,the,underlying,link,org,apache,http,conn,http,client,connection,manager,client,connection,manager,s,connection,pool,if,any;override,public,void,destroy,throws,exception,this,http,client,close
